"","42916.0","42825.0","42734.0","42643.0","42552.0","42461.0","42370.0","42279.0","42181.0","42090.0","41999.0","41908.0","41817.0","41726.0","41635.0","41544.0","41453.0","41362.0","41271.0","41180.0","41089.0","40998.0","40907.0","40816.0","40725.0","40634.0","40543.0","40452.0","40361.0","40270.0","40179.0","40088.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","35.09","33.985","33.708","35.126","36.29","35.712","35.13","34.667","34.662","34.049","33.996","33.589","34.031","33.505","32.821","32.047","31.282","30.345","29.437","28.692","28.34","27.592","26.84","25.974","24.776","24.06","23.373","22.739","22.493","22.529","21.859","21.192","21.134","20.079","19.113","18.29","18.283","17.381","16.476"
"Tangible Book Value per Share","33.494","32.244","32.876","32.476","32.867","35.252","34.358","35.41","36.17","34.982","36.628","37.481","37.166","36.684","38.667","38.287","38.49","37.334","37.864","37.221","34.795","34.665","33.914","33.919","33.87","30.906","29.701","28.354","28.336","28.297","28.529","28.236","28.378","26.491","27.499","27.4","25.922","25.043","23.705"
"FCF per Share","1.27","0.587","0.698","1.704","1.401","1.831","0.089","0.594","2.173","-0.456","0.832","1.547","1.995","-1.2","2.191","-0.213","1.217","-0.243","1.705","0.968","-0.099","-0.325","0.985","0.768","-0.035","-0.732","1.116","-0.166","0.83","-1.11","1.965","0.34","2.185","-0.147","1.502","0.917","1.013","0.035","-0.338"
"Interest Debt per Share","2.3668","2.7906","3.229","3.1933","4.002","4.3475","5.0974","4.8288","5.4525","5.8878","5.752","6.0185","6.2811","7.5535","8.3101","3.3307","3.402","3.4584","3.9841","4.0716","3.9716","4.2116","4.1809","4.4537","4.3466","3.4358","0.6536","0.6355","0.7529","0.7717","0.9176","0.1471","0.3872","0.2165","0.3448","0.4627","0.3236","0.2724","0.3061"
"Cash per Share","6.2968","5.5719","6.0997","5.4","5.0555","4.5678","3.6205","3.7226","4.4079","3.6238","5.1326","5.5063","5.8414","5.2406","7.6775","9.5569","9.9047","8.9466","9.5463","7.9578","6.9643","7.1716","7.4862","7.1001","6.1021","5.9178","8.2449","7.467","7.5323","6.735","8.4852","8.3415","8.582","6.2775","6.4124","4.9374","4.4023","3.2347","3.3004"
"Debt to Equity Ratio","0.0674","0.0821","0.0958","0.0909","0.1103","0.1217","0.1451","0.1393","0.1573","0.1729","0.1692","0.1792","0.1846","0.2254","0.2532","0.1039","0.1088","0.114","0.1353","0.1419","0.1401","0.1526","0.1558","0.1715","0.1754","0.1428","0.028","0.0279","0.0335","0.0343","0.042","0.0069","0.0183","0.0108","0.018","0.0253","0.0177","0.0157","0.0186"
"Total Debt To Total Assets","0.0393","0.0477","0.0548","0.0527","0.0658","0.069","0.082","0.0768","0.086","0.0952","0.0911","0.0947","0.0997","0.121","0.1297","0.0602","0.0631","0.0656","0.0747","0.0772","0.079","0.0855","0.0874","0.0916","0.0913","0.077","0.0168","0.0171","0.0202","0.0207","0.0244","0.0041","0.0108","0.0064","0.0099","0.0132","0.0098","0.0085","0.0101"
"Interest Coverage","32.5242","18.6682","25.2362","8.1656","23.0746","42.9623","16.2399","11.1441","17.5079","28.0051","28.9389","148.6494","21.0501","25.4437","-740.9058","50.9074","60.2983","53.4613","41.8224","66.5733","50.5923","52.6034","38.6374","54.7217","55.5331","47.0993","125.364","315.1044","5.5317","172.7631","185.9412","254.9611","369.8582","215.2334","148.9373","115.7881","173.0436","273.7135","119.1437"
"Current Ratio","1.598","1.628","1.671","1.607","1.621","1.602","1.744","1.576","1.66","1.704","1.646","1.656","1.73","1.84","1.824","2.14","2.192","2.201","2.111","2.068","2.104","1.785","1.561","1.466","1.467","1.974","2.261","2.232","2.029","2.004","1.912","2.175","2.028","2.017","1.803","1.744","1.742","1.687","1.674"
