"","42918.0","42827.0","42736.0","42645.0","42554.0","42463.0","42372.0","42274.0","42183.0","42092.0","42001.0","41910.0","41819.0","41728.0","41637.0","41546.0","41455.0","41364.0","41273.0","41182.0","41091.0","41000.0","40909.0","40818.0","40727.0","40636.0","40545.0","40454.0","40363.0","40272.0","40181.0","40083.0","39992.0","39901.0","39810.0","39719.0","39628.0","39537.0","39446.0"
"Book Value per Share","26.718","25.989","25.725","26.64","26.398","26.348","25.669","25.847","25.658","24.394","24.777","27.214","27.614","27.091","26.361","24.767","24.794","23.961","23.387","23.124","21.997","22.422","20.92","22.467","22.672","21.861","20.564","20.821","19.173","19.204","18.342","18.28","16.779","15.832","15.322","16.264","16.526","16.109","15.137"
"Tangible Book Value per Share","24.752","33.477","33.437","32.785","33.516","32.113","31.033","31.065","30.129","28.829","28.88","29.902","30.459","29.542","29.168","26.829","26.438","25.51","25.315","24.8","23.709","29.851","29.089","28.317","28.277","26.781","25.768","23.915","22.206","22.38","23.023","21.734","21.249","20.672","20.622","21.037","20.967","19.97","18.237"
"FCF per Share","1.888","0.869","2.031","1.693","1.387","0.562","1.342","1.933","1.698","0.837","1.019","1.387","1.66","1.165","0.965","1.823","1.523","0.606","0.802","1.559","1.327","0.838","0.851","1.428","1.201","0.687","1.041","1.638","1.211","1.195","1.611","1.66","1.014","0.865","1.035","1.466","0.767","0.973","0.999"
"Interest Debt per Share","12.843","11.9597","9.9098","9.8803","9.5589","8.4684","7.1654","7.1341","6.9643","6.822","6.6638","5.4246","6.0579","6.1172","6.4716","5.3601","5.3322","5.6956","5.8317","6.1112","6.3933","7.1062","7.1933","6.7033","6.8331","6.5111","6.0962","4.3702","4.2269","4.3925","5.2723","4.2085","4.9394","5.0884","4.2717","5.2064","4.9562","4.0306","3.3326"
"Cash per Share","4.68","7.7252","6.9309","6.6646","6.7895","5.0272","4.9542","4.9267","3.8376","4.3082","5.1588","4.9097","5.0368","6.9768","7.4495","6.1042","6.1597","5.324","5.3793","5.6162","5.111","11.0589","8.9947","5.7028","5.464","8.1639","7.0346","5.2108","4.6118","4.9877","5.7324","4.3014","4.2399","4.5515","3.881","4.9852","4.5007","3.721","2.7151"
"Debt to Equity Ratio","0.4807","0.4602","0.3852","0.3709","0.3621","0.3214","0.2791","0.276","0.2714","0.2797","0.269","0.1993","0.2194","0.2258","0.2455","0.2164","0.2151","0.2377","0.2494","0.2643","0.2906","0.3169","0.3439","0.2984","0.3014","0.2978","0.2965","0.2099","0.2205","0.2287","0.2874","0.2302","0.2944","0.3214","0.2788","0.3201","0.2999","0.2502","0.2202"
"Total Debt To Total Assets","0.2262","0.2234","0.1921","0.1923","0.1877","0.1714","0.1489","0.1482","0.1462","0.1476","0.1439","0.1156","0.1266","0.1297","0.137","0.119","0.1205","0.1308","0.1332","0.1417","0.1517","0.1674","0.1727","0.1642","0.167","0.1649","0.163","0.1224","0.1262","0.1295","0.1536","0.1267","0.1557","0.1635","0.1396","0.1669","0.158","0.1328","0.1178"
"Interest Coverage","21.9163","28.3284","24.5","28.5052","26.8105","34.0875","24.4875","34.5122","44.8244","41.3986","20.446","53.3846","44.9531","40.8824","21.5224","35.9238","41.6186","35.088","29.972","30.1407","15.2308","35.3197","2.7377","31.6791","27.5271","37.08","17.1449","40.0648","42.7822","59.1481","29.0","30.8944","39.7545","44.8019","32.9727","36.1639","42.6667","49.4388","26.0753"
"Current Ratio","1.343","2.522","2.474","2.726","3.078","2.834","2.17","2.514","2.489","2.441","2.227","2.61","2.468","2.406","2.197","2.02","2.157","2.097","1.901","1.871","1.745","2.689","2.381","2.464","2.51","2.05","2.05","2.453","2.274","2.101","1.82","1.85","1.785","1.634","1.649","1.61","1.644","1.532","1.51"
"Income Quality","1.5082","0.6588","1.672","1.2549","1.1419","0.4911","1.5816","1.8285","1.2117","0.6648","1.7315","0.98","1.2781","0.8299","1.1762","1.9943","1.3178","0.6511","1.3152","1.6779","3.0149","0.7148","15.8303","1.4435","1.4081","0.6663","1.9691","1.4732","1.1125","0.8153","2.3966","1.5229","1.0483","0.8061","1.4742","1.4782","0.8542","0.8994","1.7258"
"Payout Ratio","0.592","0.491","0.548","0.513","0.548","0.463","0.641","0.62","0.46","0.452","0.769","0.414","0.458","0.395","0.528","0.623","0.485","0.488","0.663","0.565","1.196","0.399","6.333","0.487","0.564","0.425","0.75","0.435","0.432","0.299","0.605","0.405","0.422","0.362","0.469","0.387","0.39","0.323","0.494"
"Intangible Assets out of Total Assets","0.564","0.3748","0.3518","0.362","0.3419","0.3501","0.3552","0.3547","0.3674","0.3762","0.3763","0.3629","0.3632","0.3737","0.3825","0.4043","0.4025","0.4143","0.4217","0.4251","0.4372","0.2969","0.3016","0.3065","0.3088","0.3219","0.3111","0.3302","0.3368","0.3401","0.3294","0.3457","0.3302","0.3359","0.3262","0.3257","0.3314","0.3423","0.3553"
"Selling, General and Administrative Expense of Revenue","0.2793","0.2666","0.2932","0.2678","0.2801","0.2682","0.3308","0.2971","0.3027","0.279","0.3189","0.2961","0.2811","0.2861","0.3224","0.3024","0.3007","0.2984","0.3224","0.3066","0.3014","0.3107","0.3358","0.3274","0.3142","0.3126","0.3311","0.3143","0.3102","0.3057","0.3401","0.3161","0.3148","0.3067","0.3731","0.3263","0.3348","0.3164","0.3585"
"Research and Development Expense of Revenue","0.1213","0.116","0.1458","0.1222","0.1225","0.1151","0.1608","0.126","0.1197","0.1093","0.1444","0.1095","0.1028","0.1011","0.1314","0.1162","0.1089","0.1019","0.1328","0.1128","0.1072","0.1019","0.1326","0.1108","0.1134","0.1075","0.1267","0.1106","0.1075","0.0996","0.1337","0.1072","0.1075","0.101","0.1388","0.1169","0.1153","0.1057","0.1459"
"Working Capital","9917000000.0","38228000000.0","38745000000.0","40089000000.0","44755000000.0","40604000000.0","32463000000.0","38234000000.0","36489000000.0","34356000000.0","30713000000.0","36991000000.0","35760000000.0","33529000000.0","30732000000.0","26341000000.0","27506000000.0","24704000000.0","21854000000.0","20856000000.0","17767000000.0","35809000000.0","31505000000.0","31757000000.0","31688000000.0","25210000000.0","24235000000.0","25303000000.0","21859000000.0","20362000000.0","17810000000.0","16357000000.0","15608000000.0","13514000000.0","13525000000.0","13860000000.0","14037000000.0","11747000000.0","10108000000.0"
"Tangible Asset Value","66631000000.0","90608000000.0","91527000000.0","89556000000.0","92016000000.0","88543000000.0","86018000000.0","85999000000.0","83526000000.0","80220000000.0","81304000000.0","84157000000.0","86089000000.0","83509000000.0","81938000000.0","75614000000.0","74284000000.0","71178000000.0","70171000000.0","68384000000.0","65139000000.0","81698000000.0","79368000000.0","77547000000.0","77493000000.0","73337000000.0","70898000000.0","65804000000.0","61213000000.0","61665000000.0","63497000000.0","59905000000.0","58566000000.0","57177000000.0","57217000000.0","59153000000.0","58912000000.0","56562000000.0","52191000000.0"
"Net Current Asset Value","-42096000000.0","-11230000000.0","-5758000000.0","-4281000000.0","-1050000000.0","-846000000.0","-2051000000.0","1782000000.0","96000000.0","-2520000000.0","-4862000000.0","4467000000.0","2967000000.0","621000000.0","-2223000000.0","-4953000000.0","-3387000000.0","-7453000000.0","-10405000000.0","-10399000000.0","-13701000000.0","2179000000.0","-2248000000.0","3149000000.0","2691000000.0","934000000.0","978000000.0","1761000000.0","-426000000.0","-1666000000.0","-4553000000.0","-5572000000.0","-5697000000.0","-7470000000.0","-8024000000.0","-5400000000.0","-5861000000.0","-6552000000.0","-7690000000.0"
"Invested Capital","59733000000.0","76950000000.0","73394000000.0","75110000000.0","78083000000.0","75897000000.0","64400000000.0","66850000000.0","67682000000.0","63379000000.0","60510000000.0","62624000000.0","64616000000.0","57239000000.0","53516000000.0","47682000000.0","48192000000.0","49691000000.0","47163000000.0","45814000000.0","44814000000.0","49682000000.0","51642000000.0","58601000000.0","60260000000.0","44800000000.0","45244000000.0","46077000000.0","42988000000.0","41526000000.0","40497000000.0","40404000000.0","40608000000.0","37337000000.0","37449000000.0","37045000000.0","38412000000.0","35368000000.0","34121000000.0"
"Average Receivables","12672500000.0","11853000000.0","11216500000.0","11582000000.0","12015000000.0","11469500000.0","10859500000.0","11490500000.0","12112500000.0","11824500000.0","11349000000.0","11821000000.0","11935500000.0","11815500000.0","11511000000.0","11601000000.0","11303000000.0","11248500000.0","10945000000.0","10863500000.0","10987000000.0","10921500000.0","10177500000.0","10421000000.0","10305500000.0","10439500000.0","9710000000.0","10284500000.0","9881000000.0","9924500000.0","9682500000.0","10217500000.0","10336000000.0","10107500000.0","9581500000.0","9770000000.0","10004500000.0","9838500000.0","9078000000.0"
"Average Payables","6098000000.0","6023500000.0","6793000000.0","5949500000.0","6100500000.0","6342000000.0","7150500000.0","6265500000.0","6166500000.0","6416000000.0","6949500000.0","6329000000.0","5940000000.0","5742500000.0","6048500000.0","5699500000.0","5416000000.0","5228500000.0","5778000000.0","5537000000.0","5417000000.0","5393000000.0","5674000000.0","5603500000.0","5280000000.0","5413500000.0","5582000000.0","5948000000.0","5351500000.0","5760500000.0","6522000000.0","6401500000.0","6227500000.0","6941000000.0","7206000000.0","6173500000.0","6040500000.0","6565000000.0","6300000000.0"
"Average Inventory","9111000000.0","8524000000.0","8098500000.0","8347000000.0","8410500000.0","8127500000.0","8118500000.0","8312500000.0","8226500000.0","8047000000.0","8031000000.0","8271500000.0","7988500000.0","7850000000.0","7686500000.0","7966500000.0","7759500000.0","7245500000.0","6890000000.0","7118500000.0","7055000000.0","6500000000.0","5831500000.0","5918500000.0","5742000000.0","5754000000.0","5279000000.0","5488500000.0","5271500000.0","5333500000.0","5116000000.0","5520500000.0","5586000000.0","5467000000.0","5081000000.0","5443500000.0","5427500000.0","5311000000.0","4999500000.0"
