"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","72.321","71.04","71.186","70.699","68.677","67.417","67.385","66.514","65.053","63.314","62.112","61.585","60.126","57.999","56.135","54.863","55.319","54.237","53.612","52.505","50.296","49.562","48.283","47.23","46.2","45.358","44.959","43.96","42.957","41.486","41.905","41.203","40.605","45.316","44.656","42.34","38.87","36.993","36.579"
"Tangible Book Value per Share","702.077","691.915","682.403","686.024","656.456","638.684","625.136","639.336","645.521","676.973","674.386","657.593","651.362","638.699","626.363","638.148","629.27","610.563","604.539","595.111","586.018","592.041","580.53","577.736","551.223","535.552","523.631","525.649","489.436","520.721","497.562","501.321","513.885","536.519","565.155","633.693","499.796","466.076","445.926"
"FCF per Share","1.962","-5.563","10.897","1.165","-0.415","-5.763","4.4","6.801","4.665","3.994","7.705","-0.652","-1.156","3.873","-1.838","7.004","18.115","5.229","-1.185","-4.38","11.022","1.117","7.736","2.019","16.346","-1.502","0.284","-12.794","7.113","4.381","3.019","1.936","13.775","13.514","-2.268","2.448","7.704","-0.713","-8.682"
"Interest Debt per Share","143.1793","142.1712","138.7235","143.0605","135.7353","131.7701","130.1023","140.779","145.609","150.827","151.4544","148.9373","154.7392","154.3964","142.1834","150.3257","161.8523","157.8338","150.0447","151.4703","150.5548","152.9771","143.0421","153.5558","155.2951","160.1833","157.5147","166.9077","143.4884","165.6121","158.4474","174.4806","180.9133","182.9283","169.5095","203.7433","159.0462","140.4688","128.1954"
"Cash per Share","125.6711","127.8271","109.117","116.0811","99.3892","101.9803","98.1233","107.5828","114.0574","142.0567","137.3185","117.0805","111.4723","105.3158","94.5832","106.7452","90.0307","79.3984","46.1163","41.4606","46.0104","44.6242","38.1065","48.099","50.6129","26.1983","12.5708","13.9183","18.1338","22.777","22.6638","20.4909","22.8296","31.0318","44.161","25.7568","14.4198","17.4623","15.3209"
"Debt to Equity Ratio","1.9798","2.0013","1.9488","2.0235","1.9764","1.9546","1.9307","2.1165","2.2383","2.3822","2.4384","2.4184","2.5736","2.662","2.5329","2.74","2.9258","2.9101","2.7987","2.8849","2.9934","3.0866","2.9626","3.2513","3.3613","3.5315","3.5035","3.7968","3.3403","3.992","3.7811","4.2347","4.4554","4.0367","3.7959","4.8121","4.0918","3.7972","3.5046"
"Total Debt To Total Assets","0.1996","0.2011","0.1989","0.2041","0.2023","0.2017","0.2033","0.2152","0.2204","0.218","0.2197","0.2213","0.2321","0.2361","0.2214","0.2299","0.2509","0.2522","0.2421","0.2482","0.2504","0.2518","0.24","0.2589","0.2736","0.2901","0.2914","0.3082","0.2838","0.3079","0.3077","0.3366","0.3402","0.3304","0.2912","0.3117","0.3069","0.2904","0.2764"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","1.0697","-3.3533","6.2963","0.7294","-0.2661","-4.2376","3.294","4.007","2.9945","2.7291","6.4037","-0.4776","-0.785","2.9975","-1.4107","-40.5892","11.2309","3.2562","-0.8478","-3.1162","9.0598","0.9321","8.583","1.9799","12.7697","-1.1641","0.2519","-12.5877","6.4939","5.8487","4.0397","2.3534","48.9767","33.4141","-33.9","26.5157","14.3223","-1.0581","-11.5464"
