"","42917.0","42826.0","42735.0","42645.0","42554.0","42463.0","42372.0","42274.0","42183.0","42092.0","","",""
"Book Value per Share","47.907","47.433","47.12","47.339","47.556","47.765","47.538","48.491","17.734","","","",""
"Tangible Book Value per Share","12.689","14.109","14.013","13.914","14.212","14.551","14.67","15.129","22.05","","","",""
"FCF per Share","0.591","-0.426","1.611","0.361","1.335","-0.027","1.186","0.109","1.011","","","",""
"Interest Debt per Share","25.5315","26.8499","26.6202","26.8386","26.936","20.7103","20.7952","20.819","35.8895","","","",""
"Cash per Share","1.1867","2.6636","3.4536","3.2193","3.4845","3.4554","3.9861","3.6584","5.65","","","",""
"Debt to Equity Ratio","0.5329","0.5661","0.5649","0.5669","0.5664","0.4336","0.4374","0.4293","2.0237","1.8769","","",""
"Total Debt To Total Assets","0.2603","0.2705","0.269","0.2699","0.2692","0.2042","0.2052","0.2073","0.3782","0.3653","","",""
"Interest Coverage","6.1759","5.0","5.129","4.5498","6.1553","6.0924","4.8609","0.6261","0.4949","2.7114","1.9286","2.2695","1.9583"
"Current Ratio","0.966","0.946","0.921","0.95","0.974","1.458","1.411","1.812","1.73","1.59","","",""
"Income Quality","0.8991","-0.1691","2.5127","0.905","2.3818","0.3013","6.0386","-1.1056","-1.436","-0.8646","-47.5882","-60.5",""
"Payout Ratio","0.0","0.822","0.769","0.87","0.905","0.77","2.17","-2.037","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.8706","0.8579","0.8584","0.8601","0.858","0.8566","0.8552","0.8493","0.7677","0.7697","","",""
"Selling, General and Administrative Expense of Revenue","0.1138","0.1179","0.1282","0.1285","0.1318","0.1317","0.1568","0.2008","0.1674","0.1364","0.194","0.138","0.1872"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-248000000.0","-508000000.0","-748000000.0","-471000000.0","-246000000.0","3082000000.0","2848000000.0","4665000000.0","1936000000.0","1823000000.0","","",""
"Tangible Asset Value","15451000000.0","17172000000.0","17058000000.0","16942000000.0","17281000000.0","17682000000.0","17802000000.0","18349000000.0","8379000000.0","8424000000.0","","",""
"Net Current Asset Value","-53762000000.0","-53983000000.0","-54153000000.0","-54269000000.0","-54290000000.0","-46861000000.0","-46957000000.0","-44022000000.0","-24519000000.0","-15971000000.0","","",""
"Invested Capital","37738000000.0","37227000000.0","35757000000.0","36288000000.0","36204000000.0","31920000000.0","31267000000.0","33416000000.0","17217000000.0","16392000000.0","","",""
"Average Receivables","1347000000.0","1609000000.0","1176000000.0","1338000000.0","1140500000.0","1297500000.0","","","","","","",""
"Average Payables","4237000000.0","4057500000.0","4209000000.0","3627500000.0","2894000000.0","2825500000.0","","","","","","",""
"Average Inventory","2973000000.0","3021500000.0","2651000000.0","3044500000.0","2021500000.0","2038500000.0","","","","","","",""
