"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","12.348","12.309","12.422","12.62","12.721","12.56","12.258","11.975","12.092","12.214","11.653","11.513","11.315","11.307","11.35","11.512","11.584","11.773","11.727","12.5","12.365","12.522","11.527","11.684","12.036","12.063","12.152","12.178","11.855","11.913","12.663","12.051","12.088","14.247","14.843","16.612","15.22","15.342","15.409"
"Tangible Book Value per Share","27.283","26.568","26.542","26.677","27.271","27.263","27.556","27.738","27.879","28.589","25.043","25.147","24.921","24.081","23.677","24.391","24.503","24.743","23.997","24.928","24.731","24.187","23.684","23.565","23.87","24.346","24.211","24.182","24.36","25.304","26.57","24.666","25.358","34.65","35.014","38.088","37.811","37.289","35.997"
"FCF per Share","0.088","0.214","0.226","0.32","0.1","0.383","0.271","0.369","0.319","-0.792","0.8","0.646","-0.154","0.332","-0.065","0.832","0.238","0.206","0.278","0.27","0.102","0.269","0.007","0.192","0.219","0.191","0.134","0.286","0.534","0.283","-0.601","0.213","0.079","0.238","0.005","0.44","-0.131","0.16","-0.155"
"Interest Debt per Share","12.7232","12.1047","11.9738","11.9028","12.4209","12.5111","13.0598","13.3627","13.4635","13.9395","11.2166","11.4757","11.5685","10.7265","10.3428","10.7353","10.9527","10.9454","10.3244","10.3945","10.3354","9.6329","10.1201","9.8023","9.7904","10.2108","9.993","9.9481","10.5009","11.156","11.5704","10.5485","11.2386","17.1603","16.978","17.1612","18.6796","17.9458","16.6828"
"Cash per Share","0.3378","0.3955","0.3368","0.406","0.8087","0.538","0.4604","0.4397","0.3545","0.5384","0.4572","0.3767","0.47","0.6585","0.3645","0.9845","0.3838","0.4104","0.3491","1.0584","0.9462","0.5964","0.2777","0.4432","0.3544","0.3642","0.3081","0.3896","0.3335","0.3389","0.3185","0.3738","0.513","0.5533","0.5074","0.4844","0.4855","0.5968","0.3462"
"Debt to Equity Ratio","1.0304","0.9834","0.9639","0.9431","0.9764","0.9961","1.0654","1.1158","1.1134","1.1412","0.9626","0.9968","1.0224","0.9487","0.9113","0.9325","0.9455","0.9297","0.8804","0.8315","0.8359","0.7693","0.8779","0.8389","0.8134","0.8465","0.8223","0.8169","0.8858","0.9364","0.9137","0.8753","0.9298","1.2045","1.1438","1.0331","1.2273","1.1697","1.0826"
"Total Debt To Total Assets","0.4663","0.4556","0.4511","0.4462","0.4555","0.4589","0.4739","0.4817","0.4829","0.4876","0.4479","0.4564","0.4642","0.4454","0.4368","0.4401","0.447","0.4424","0.4302","0.417","0.4179","0.3983","0.4273","0.416","0.4101","0.4194","0.4128","0.4114","0.4311","0.4409","0.4355","0.4277","0.4432","0.4952","0.4849","0.4506","0.494","0.4813","0.4635"
"Interest Coverage","4.0892","2.6402","2.8001","1.3841","5.0247","3.9137","8.6132","2.4883","3.198","7.1444","2.2148","4.9036","2.7239","2.9011","2.358","2.4741","1.7077","2.5579","2.6894","2.0707","2.2754","2.0071","2.0492","2.0589","1.7976","1.5991","1.7072","1.5726","1.4214","1.9358","1.6148","1.7228","-1.6572","1.8114","-0.6153","3.2912","2.7395","2.9992","2.5065"
"Income Quality","1.0843","2.4096","2.2118","-4.1503","0.4112","1.0604","0.0863","2.804","1.0932","0.5514","3.1235","1.0209","1.9294","2.5062","0.7695","6.514","3.1626","2.8175","1.2065","4.8756","2.4561","4.1213","2.5573","3.7887","4.2313","8.1321","5.4715","7.3533","6.7674","3.6701","2.0229","4.3837","-0.567","4.3194","-1.3939","2.1496","1.4246","1.7739","1.4653"
