"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","0.287","0.382","-0.285","0.831","0.544","0.302","-0.479","0.148","1.417","0.528","1.877","10.936","11.741","11.796","12.199","11.682","10.901","11.625","12.215","13.439","13.294","13.037","12.77","12.673","13.559","12.884","13.912","13.258","11.615","12.427","12.478","12.007","10.407","8.283","8.986","11.534","12.839","12.703","11.838"
"Tangible Book Value per Share","38.157","37.134","36.638","37.207","36.829","36.913","36.904","37.041","37.883","36.98","35.776","39.826","40.497","39.321","38.927","39.759","40.11","40.031","39.916","39.962","39.202","38.781","38.361","39.909","41.472","39.278","38.027","37.802","35.901","36.204","36.063","35.888","35.103","34.432","35.56","36.47","37.872","36.272","35.118"
"FCF per Share","1.843","0.62","1.904","2.122","1.897","0.923","1.121","1.587","1.453","-0.722","0.723","1.756","1.682","0.452","1.771","1.842","0.917","1.007","1.941","1.377","1.267","0.796","0.567","1.351","1.391","0.038","1.411","1.167","0.952","0.645","1.69","1.46","1.877","1.121","1.043","0.979","1.24","0.509","1.131"
"Interest Debt per Share","22.6046","21.7613","21.1417","21.2659","21.3174","21.8981","21.4191","20.8222","20.8707","21.1537","17.9061","16.4256","16.6797","15.9508","14.4731","16.2073","16.6749","16.0256","15.1552","15.5485","15.3234","15.5816","14.9181","15.123","15.6965","14.5223","12.8466","12.745","12.9675","12.4088","12.4688","13.0738","13.5712","14.3395","13.8222","14.4097","14.536","13.061","12.4449"
"Cash per Share","2.9612","2.3437","2.5771","2.458","1.8216","1.7595","1.7053","1.7651","1.6561","1.6062","2.031","3.6692","3.4835","2.944","2.6479","2.9511","2.8917","2.7431","2.71","3.0325","2.4304","1.9118","1.8587","3.0148","2.2159","1.387","2.0596","1.2485","1.3549","1.5407","1.8419","1.7348","1.368","1.3716","1.1702","1.2102","1.2506","1.197","1.6859"
"Debt to Equity Ratio","78.6569","57.0074","-74.2353","25.5786","39.1684","72.5046","-44.6839","140.463","14.7267","40.057","9.5418","1.502","1.4207","1.3522","1.1864","1.3874","1.5296","1.3785","1.2407","1.157","1.1527","1.1952","1.1682","1.1933","1.1577","1.1272","0.9234","0.9613","1.1165","0.9985","0.9993","1.0888","1.304","1.7312","1.5382","1.2493","1.1322","1.0282","1.0513"
"Total Debt To Total Assets","0.5324","0.5253","0.5186","0.5133","0.5198","0.5333","0.5239","0.5081","0.4952","0.5136","0.448","0.3394","0.3383","0.3322","0.3045","0.3344","0.3428","0.3281","0.3112","0.3196","0.3198","0.3271","0.3165","0.3148","0.3141","0.3064","0.2751","0.2792","0.2992","0.2836","0.2812","0.3041","0.3231","0.3522","0.3298","0.3337","0.3232","0.3027","0.2978"
"Interest Coverage","9.6235","10.2771","10.5802","10.5926","10.6667","10.8947","8.6974","10.9189","-7.0274","10.6944","2.3333","12.4167","11.1944","11.338","10.6056","11.5479","11.7606","12.2537","5.1918","11.5714","11.0141","10.1972","8.8056","9.6571","9.1831","8.8438","11.5238","12.2542","12.3167","11.2459","11.5625","13.2687","8.9014","8.8219","7.8","8.4605","8.9865","9.1892","8.201"
"Current Ratio","0.915","0.872","0.875","0.92","0.978","0.955","0.855","0.878","0.816","0.87","0.893","1.106","1.169","1.062","1.12","1.193","1.091","0.98","1.082","1.15","1.284","1.203","1.164","1.124","1.086","1.088","1.185","1.181","1.03","1.088","1.191","1.089","1.269","1.152","1.223","1.068","1.21","1.241","1.237"
"Income Quality","1.5537","0.7744","1.7248","1.7236","1.5194","1.0147","1.997","1.6422","-2.5311","0.0427","-7.1084","1.7367","1.6542","0.8123","1.7532","1.6703","1.0951","1.1431","4.191","1.6325","1.4859","1.25","1.2893","1.7361","1.8897","0.7143","1.9268","1.5885","1.1787","1.2083","2.0346","1.3591","2.4739","1.7002","1.6181","1.5521","1.8058","1.0068","1.5027"
"Payout Ratio","0.647","0.614","0.648","0.601","0.586","0.609","0.967","0.62","-1.048","0.688","-26.714","0.556","0.622","0.592","0.509","0.591","0.618","0.618","0.881","0.587","0.607","0.649","0.714","0.667","0.7","0.843","0.574","0.606","0.574","0.75","0.531","0.448","0.645","0.638","0.598","0.611","0.611","0.574","0.52"
"Intangible Assets out of Total Assets","0.1013","0.1035","0.1014","0.1019","0.102","0.1011","0.0974","0.0961","0.1012","0.1022","0.1049","0.1772","0.1787","0.1811","0.181","0.1797","0.1755","0.1804","0.1803","0.1786","0.1818","0.1858","0.1861","0.1692","0.1702","0.1714","0.1858","0.1718","0.1716","0.1725","0.1866","0.1653","0.1643","0.1543","0.1516","0.1554","0.1578","0.1593","0.1595"
"Selling, General and Administrative Expense of Revenue","0.1849","0.1814","0.1807","0.1813","0.1846","0.1843","0.1888","0.184","0.1872","0.181","0.2011","0.1788","0.1894","0.1833","0.1804","0.1881","0.1921","0.1931","0.2032","0.1883","0.1934","0.19","0.1849","0.1752","0.1787","0.1831","0.188","0.1826","0.1913","0.1822","0.1955","0.1734","0.1953","0.1667","0.1777","0.1697","0.1652","0.166","0.1665"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-499000000.0","-752000000.0","-731000000.0","-460000000.0","-114000000.0","-240000000.0","-923000000.0","-759000000.0","-1247000000.0","-803000000.0","-667000000.0","661000000.0","1022000000.0","389000000.0","702000000.0","1114000000.0","561000000.0","-137000000.0","498000000.0","901000000.0","1459000000.0","1068000000.0","886000000.0","723000000.0","534000000.0","508000000.0","990000000.0","933000000.0","165000000.0","463000000.0","941000000.0","472000000.0","1158000000.0","725000000.0","1061000000.0","387300000.0","1096500000.0","1213000000.0","1168000000.0"
"Tangible Asset Value","13543000000.0","13230000000.0","13122000000.0","13381000000.0","13263000000.0","13322000000.0","13396000000.0","13493000000.0","13793000000.0","13515000000.0","13898000000.0","15532000000.0","15915000000.0","15560000000.0","15495000000.0","15884000000.0","16090000000.0","16184000000.0","16290000000.0","16459000000.0","16033000000.0","15924000000.0","15768000000.0","16309000000.0","16994000000.0","16566000000.0","16174000000.0","16138000000.0","15501000000.0","15720000000.0","15624000000.0","15515000000.0","15165000000.0","14861000000.0","15346000000.0","15794200000.0","16528400000.0","15898900000.0","15498000000.0"
"Net Current Asset Value","-9349000000.0","-9284000000.0","-9370000000.0","-9088000000.0","-9232000000.0","-9340000000.0","-9376000000.0","-9210000000.0","-9084000000.0","-9258000000.0","-8968000000.0","-7407000000.0","-7409000000.0","-7429000000.0","-7229000000.0","-7494000000.0","-8123000000.0","-8047000000.0","-7997000000.0","-7272000000.0","-7280000000.0","-7602000000.0","-7561000000.0","-7628000000.0","-7901000000.0","-7971000000.0","-7334000000.0","-7460000000.0","-7805000000.0","-7600000000.0","-7655000000.0","-7305000000.0","-7905000000.0","-8255000000.0","-8015000000.0","-7663400000.0","-7711100000.0","-7091100000.0","-7119000000.0"
"Invested Capital","14626000000.0","14284000000.0","13925000000.0","14425000000.0","15056000000.0","15199000000.0","14203000000.0","14234000000.0","14024000000.0","14473000000.0","13839000000.0","14247000000.0","15051000000.0","14448000000.0","14354000000.0","15400000000.0","15449000000.0","14703000000.0","15278000000.0","15589000000.0","16173000000.0","16288000000.0","15739000000.0","15441000000.0","16330000000.0","16314000000.0","15424000000.0","15887000000.0","15059000000.0","15183000000.0","15305000000.0","15105000000.0","16131000000.0","15678000000.0","16054000000.0","15855000000.0","17112000000.0","16059100000.0","15317000000.0"
"Average Receivables","2235000000.0","2239500000.0","2228500000.0","2253000000.0","2267500000.0","2249500000.0","2252000000.0","2413000000.0","2440500000.0","2431000000.0","2384000000.0","2522000000.0","2740000000.0","2865000000.0","2791000000.0","2618000000.0","2783000000.0","2892000000.0","3016500000.0","2584000000.0","2609000000.0","2684000000.0","2930500000.0","2423500000.0","2463500000.0","2626500000.0","2715500000.0","2431000000.0","2360500000.0","2471000000.0","2529000000.0","2463550000.0","2465000000.0","2495900000.0","2526500000.0","2497500000.0","2500300000.0","2451750000.0","2448850000.0"
"Average Payables","2875500000.0","2845000000.0","2934000000.0","2811000000.0","2849500000.0","2798500000.0","2928000000.0","2874000000.0","2947500000.0","2847000000.0","2916500000.0","2790000000.0","2878000000.0","2827000000.0","2819500000.0","2506500000.0","2576000000.0","2582500000.0","2698500000.0","2302500000.0","2364500000.0","2288500000.0","2570000000.0","2192500000.0","2206500000.0","2095000000.0","2322500000.0","1895500000.0","1783500000.0","1711000000.0","2006500000.0","1705300000.0","1631800000.0","1582100000.0","1917500000.0","1728100000.0","1731300000.0","1638650000.0","1873400000.0"
"Average Inventory","1772500000.0","1815000000.0","1794000000.0","1809500000.0","1877500000.0","1897500000.0","1900500000.0","2082000000.0","2153000000.0","2089000000.0","2062500000.0","2263000000.0","2342500000.0","2324500000.0","2290500000.0","2309000000.0","2347500000.0","2359000000.0","2352000000.0","2397000000.0","2444500000.0","2377000000.0","2364500000.0","2411500000.0","2377000000.0","2252000000.0","2203000000.0","2208000000.0","2145500000.0","2145500000.0","2263000000.0","2291900000.0","2343900000.0","2399800000.0","2468500000.0","2478050000.0","2436650000.0","2349200000.0","2224250000.0"
