"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","","","",""
"Book Value per Share","15.762","15.536","15.419","15.518","15.752","15.783","15.755","16.121","16.171","16.361","29.97","12.203","12.276","12.439","12.638","12.804","13.18","13.2","30.078","23.382","44.438","18.222","23.892","31.131","30.881","29.714","4.249","","","",""
"Tangible Book Value per Share","24.59","24.384","24.557","25.138","25.606","25.541","25.466","25.922","26.192","26.854","49.334","48.773","48.0","47.705","46.567","45.953","45.504","42.073","94.234","74.883","140.563","142.556","175.957","216.356","214.423","209.501","29.326","","","",""
"FCF per Share","0.273","0.131","0.268","0.243","0.387","0.105","0.401","-0.036","0.126","0.168","0.036","0.319","0.207","0.265","0.152","0.178","0.237","0.16","0.807","0.562","0.069","1.205","2.942","3.144","1.955","1.928","0.547","","","",""
"Interest Debt per Share","17.1857","17.6646","17.9355","18.5928","19.5693","19.6532","19.393","20.2601","20.4841","21.1392","37.6552","36.9095","36.1323","36.1623","34.9353","34.7597","34.3108","33.195","74.6226","60.314","116.0375","101.8713","124.3022","152.7423","138.8387","140.5865","19.5939","","","",""
"Cash per Share","0.2027","0.1776","0.3063","0.1601","0.0808","0.0785","0.1027","0.0813","0.0749","0.121","0.277","0.4591","0.3531","0.4985","0.5772","0.7876","0.9817","1.0676","1.5488","1.281","2.1094","2.8889","2.9568","2.4676","3.1928","1.7072","0.6207","","","",""
"Debt to Equity Ratio","1.0903","1.137","1.1632","1.1981","1.2423","1.2452","1.2309","1.2568","1.2667","1.292","1.2564","3.0246","2.9433","2.9071","2.7643","2.7147","2.6033","2.5148","2.481","2.5795","2.6113","5.5905","5.2026","4.9065","4.4959","4.7314","4.6118","4.4185","3.3679","",""
"Total Debt To Total Assets","0.4778","0.4937","0.4987","0.5081","0.5173","0.5201","0.514","0.5209","0.5204","0.5253","0.5155","0.492","0.4864","0.4893","0.4814","0.4829","0.4796","0.5035","0.5041","0.5209","0.5337","0.5736","0.5625","0.5622","0.532","0.5493","0.5487","0.5538","0.5093","",""
"Interest Coverage","2.2786","2.4753","1.9052","1.4004","2.242","2.0635","-0.2372","1.5444","2.1059","2.2754","1.3138","2.331","2.05","2.0871","1.9463","2.0933","2.1756","2.4204","1.4778","1.4971","0.5979","1.6536","2.6899","2.2386","2.2586","2.4425","2.4834","1.1794","1.5608","-0.6415","2.1621"
"Current Ratio","0.428","0.4","0.545","0.556","0.376","0.564","0.695","0.495","0.452","0.485","0.59","0.573","0.519","0.603","0.637","0.56","0.514","0.66","0.703","0.747","0.869","1.052","0.367","0.336","0.539","0.379","0.49","0.314","0.595","",""
"Income Quality","3.7982","2.2095","7.6","-5.0705","3.8889","3.8043","-2.491","5.2097","3.8498","2.9277","7.7381","3.9179","3.8204","3.8955","3.9349","3.6993","3.491","2.6267","4.0045","4.57","-3.5952","26.6667","4.9677","4.2237","3.5682","3.1161","10.9716","45.5849","6.4478","-2.7265","5.1943"
