"","42978.0","42886.0","42794.0","42704.0","42613.0","42521.0","42429.0","42338.0","42247.0","42155.0","42063.0","41973.0","41882.0","41790.0","41698.0","41608.0","41517.0","41425.0","41333.0","41243.0","41152.0","41060.0","40968.0","40877.0","40786.0","40694.0","40602.0","40512.0","40421.0","40329.0","40237.0","40147.0","40056.0","39964.0","39872.0","39782.0","39691.0","39599.0","39507.0","39416.0"
"Book Value per Share","17.504","17.02","16.616","15.938","15.988","15.358","14.834","14.465","15.493","15.691","15.049","14.854","15.391","15.115","14.884","14.729","14.243","13.692","13.28","13.209","12.916","12.382","11.785","11.645","11.278","10.775","9.962","9.75","9.284","8.812","8.743","8.383","7.974","7.461","7.316","7.182","7.173","7.079","6.871","6.724"
"Tangible Book Value per Share","92.284","88.962","87.019","83.298","80.946","76.421","73.843","71.445","67.323","65.505","62.919","59.952","56.833","55.155","52.531","50.631","48.897","46.525","43.497","40.618","38.847","37.749","36.733","33.71","32.519","31.742","31.701","29.896","29.513","28.674","11.558","10.946","11.828","11.7","10.927","10.189","10.405","10.945","10.767","9.752"
"FCF per Share","-1.017","0.605","-1.217","-2.137","-1.241","-0.051","0.807","-1.947","-1.392","0.278","-1.213","-2.108","-1.417","-1.193","-0.976","-1.372","-1.252","-0.533","-1.451","-1.286","-0.993","-0.716","-0.596","0.249","-0.663","-0.027","-0.099","-0.162","-0.319","0.209","-0.005","0.471","0.089","-0.39","-0.293","0.281","0.357","0.017","-0.646","-0.344"
"Interest Debt per Share","68.906","66.2806","65.0511","62.4145","59.945","56.0363","54.316","52.6923","47.4532","45.4533","43.4262","41.151","37.7757","36.1546","34.0272","32.7422","31.6391","29.9091","27.3114","25.0694","23.8346","22.7874","22.2767","19.8482","19.1281","18.4961","19.5524","18.1094","18.1147","17.5718","0.6808","0.6672","1.7349","1.9154","1.5479","1.2661","1.0923","1.4529","1.5128","0.8597"
"Cash per Share","0.1409","0.3244","0.2053","0.1253","1.65","0.2717","0.191","0.1657","0.4848","1.6852","0.1316","0.8863","1.6253","2.4161","2.8174","2.9775","3.3542","3.2289","1.9766","1.9445","2.008","2.0038","1.9516","1.6932","0.8039","0.6916","0.1829","0.3322","0.2475","0.0617","0.0826","0.0691","0.5593","0.6127","0.6457","0.6345","0.0502","0.0548","0.0598","0.0387"
"Debt to Equity Ratio","3.9365","3.8942","3.9149","3.9162","3.7494","3.6486","3.6616","3.6426","3.0628","2.8968","2.8856","2.7704","2.4544","2.392","2.2862","2.223","2.2215","2.1845","2.0565","1.8979","1.8453","1.8403","1.8902","1.7045","1.696","1.7166","1.9627","1.8574","1.9512","1.994","0.0779","0.0796","0.2176","0.2567","0.2116","0.1763","0.1523","0.2052","0.2202","0.1279"
"Total Debt To Total Assets","0.7467","0.745","0.7476","0.7493","0.7406","0.7333","0.7356","0.7375","0.7049","0.6939","0.6902","0.6864","0.6647","0.6555","0.6478","0.6467","0.6471","0.6429","0.6279","0.6172","0.6135","0.6037","0.6065","0.5888","0.5882","0.5827","0.6168","0.6057","0.6138","0.6128","0.0589","0.061","0.1467","0.1637","0.1417","0.1243","0.105","0.1327","0.1405","0.0882"
"Interest Coverage","18.2388","21.0768","15.8178","15.5751","19.8245","26.4954","20.1943","21.7521","38.56","42.6696","107.6569","29.7321","35.0962","37.1823","22.1646","23.6435","30.2649","31.1205","22.5269","19.9045","23.2157","25.0247","19.2924","16.7466","22.25","24.7311","5.1775","167.4732","124.9738","2283.7639","4.5149","172.9585","125.1832","45.5525","60.3938","-21.5548","16.2343","24.2046","18.9044","1113.7955"
"Current Ratio","2.333","2.344","2.599","2.612","2.541","2.231","2.459","2.853","2.499","2.667","2.598","2.772","2.775","2.74","3.019","3.418","3.4","3.456","3.377","3.622","3.73","3.122","2.868","3.102","3.051","2.671","2.698","2.85","2.541","2.033","3.261","3.256","2.738","2.27","2.624","2.978","2.965","2.768","2.769","2.377"
"Income Quality","-0.6085","0.9045","-0.8192","-2.2195","-0.7429","0.4996","1.6499","-2.3154","-1.1746","0.646","-1.2821","-2.6759","-1.4726","-1.2324","-1.2098","-2.1562","-1.3262","-0.529","-2.6041","-2.2528","-1.5265","-0.9567","-0.7208","1.0018","-0.9071","0.1984","0.1826","-0.1581","-0.6032","0.5499","0.0426","1.4448","0.2732","-2.7625","-1.1203","-4.0106","9.9632","2.6848","-3.6372","-0.4727"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.0923","0.0888","0.0952","0.0964","0.0916","0.0921","0.0901","0.0952","0.0851","0.0871","0.0939","0.093","0.0827","0.0836","0.0967","0.0967","0.0873","0.0876","0.0939","0.0989","0.0923","0.0914","0.0983","0.0999","0.0888","0.0902","0.092","0.1037","0.0962","0.1002","0.0958","0.1113","0.105","0.1124","0.1338","0.1494","0.1224","0.11","0.1075","0.1117"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","1601778000.0","1567874000.0","1767843000.0","1656561000.0","1670984000.0","1333206000.0","1466588000.0","1711329000.0","1501748000.0","1666252000.0","1593765000.0","1645070000.0","1609515000.0","1674578000.0","1767727000.0","1810193000.0","1751491000.0","1744539000.0","1625958000.0","1509672000.0","1435709000.0","1312491000.0","1207135000.0","1117083000.0","1005529000.0","964124000.0","887427000.0","868246000.0","748734000.0","587312000.0","1079061000.0","964701000.0","965847000.0","813289000.0","796982000.0","750763000.0","771018000.0","845096000.0","866901000.0","702149000.0"
"Tangible Asset Value","16875733000.0","16475689000.0","16279356000.0","15760067000.0","15504332000.0","14789927000.0","14459911000.0","14381165000.0","13952565000.0","13670677000.0","13198201000.0","12843406000.0","12399913000.0","12148960000.0","11707157000.0","11303875000.0","10933774000.0","10450454000.0","9888602000.0","9297683000.0","8871440000.0","8598163000.0","8331543000.0","7633401000.0","7358975000.0","7160031000.0","7125549000.0","6695392000.0","6577179000.0","6371950000.0","2556191000.0","2410267000.0","2587300000.0","2550676000.0","2379187000.0","2218182000.0","2264152000.0","2376073000.0","2333161000.0","2109392000.0"
"Net Current Asset Value","-10871412000.0","-10589017000.0","-10297146000.0","-10060405000.0","-9686640000.0","-9401062000.0","-9083344000.0","-8834527000.0","-8237856000.0","-7730186000.0","-7450478000.0","-7088002000.0","-6525484000.0","-6182852000.0","-5746936000.0","-5456712000.0","-5267585000.0","-4920299000.0","-4559304000.0","-4188650000.0","-3960305000.0","-3846808000.0","-3804983000.0","-3348150000.0","-3310934000.0","-3188652000.0","-3476202000.0","-3174407000.0","-3273604000.0","-3257905000.0","933803000.0","828048000.0","678509000.0","529294000.0","501632000.0","475777000.0","460105000.0","483955000.0","512690000.0","557174000.0"
"Invested Capital","28249105000.0","27524106000.0","27304857000.0","26517468000.0","25585746000.0","24498745000.0","24053491000.0","24030748000.0","22684736000.0","21805413000.0","21282674000.0","20541037000.0","19380293000.0","18618305000.0","17787169000.0","17200500000.0","16528653000.0","15733075000.0","14964101000.0","14015359000.0","13330049000.0","12713592000.0","12295278000.0","11213213000.0","11015453000.0","10599370000.0","10956654000.0","10207400000.0","10073168000.0","9694615000.0","2211133000.0","2114339000.0","2288726000.0","2194453000.0","2084867000.0","1976196000.0","2098635000.0","2201499000.0","2158003000.0","1776882000.0"
"Average Receivables","10749009000.0","10476749000.0","10208763500.0","9916082000.0","9721649500.0","9436227500.0","9121128500.0","8816665000.0","8585235500.0","8281010500.0","7900482500.0","7593412500.0","7352330500.0","7013186500.0","6607825000.0","6287516500.0","6068596000.0","5789383000.0","5517080000.0","5238510500.0","5074790500.0","4883269000.0","4743226500.0","4601471500.0","4546247500.0","4395023500.0","2269803000.0","2204465500.0","2203841000.0","2148034500.0","87655000.0","57065000.0","69129500.0","75042500.0","74552000.0","49292500.0","57657000.0","71880000.0","72320500.0","52930500.0"
"Average Payables","527489500.0","482548000.0","468367500.0","448806500.0","470403500.0","450487500.0","448278000.0","440392500.0","436066500.0","439784000.0","441151000.0","413703500.0","382210500.0","374877500.0","382106500.0","320142500.0","283791000.0","305282000.0","330774000.0","259600000.0","232451500.0","290998500.0","297295000.0","232215000.0","240235000.0","269617500.0","261515000.0","204603500.0","230916000.0","251932000.0","245289500.0","184157000.0","226706500.0","263631000.0","271662500.0","221538500.0","238670000.0","261943500.0","280454000.0","244069000.0"
"Average Inventory","2075286000.0","2006619000.0","2096296000.0","2161722500.0","1915176000.0","1854534000.0","2009451500.0","2058971500.0","1810252000.0","1762938500.0","1864149000.0","1760475000.0","1536485500.0","1540000000.0","1579618500.0","1447660500.0","1281014500.0","1304198000.0","1305202500.0","1176113500.0","1129661000.0","1163268500.0","1071034500.0","1008082500.0","995239500.0","1005503000.0","946305000.0","877139500.0","859625500.0","837875000.0","773145000.0","676401500.0","763106000.0","857521000.0","839467000.0","746867000.0","778151000.0","898734000.0","905946500.0","826522000.0"
