"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","55.849","54.88","53.927","54.185","52.979","52.589","50.681","51.935","51.357","51.788","51.538","51.649","51.48","50.829","50.257","49.979","49.258","49.738","49.534","50.292","49.205","48.965","47.342","47.316","46.474","45.256","44.365","45.153","43.486","41.417","39.616","39.277","34.514","30.729","30.115","36.081","31.679","32.579","33.216"
"Tangible Book Value per Share","232.863","227.879","226.383","231.808","232.744","226.7","218.341","213.848","210.065","209.887","208.487","205.407","213.987","210.278","205.548","202.755","203.341","203.431","201.163","199.288","192.785","192.383","187.532","188.147","184.427","181.911","181.357","181.878","177.248","177.035","171.634","171.302","162.673","158.099","158.256","165.171","138.612","142.607","141.167"
"FCF per Share","2.87","-0.629","1.042","1.943","0.056","-0.422","3.59","2.46","0.733","-1.102","-0.225","0.738","0.972","-0.865","0.87","1.728","-1.68","0.015","0.868","2.208","0.371","0.227","4.0","2.259","-1.304","1.623","-4.756","0.23","1.997","0.194","3.441","0.727","-0.671","1.312","2.142","-5.987","0.763","1.223","0.804"
"Interest Debt per Share","33.4986","31.7324","32.0002","32.3922","32.6671","31.2209","30.4762","29.8412","29.3607","28.2971","28.5172","28.6424","28.0048","29.1992","26.7169","25.7579","25.906","24.1115","23.4447","22.4752","23.0474","22.789","22.7","23.0219","22.483","22.991","22.7884","22.6878","21.632","22.6867","22.2355","20.0794","19.9278","19.351","18.9364","17.5901","13.9604","13.8854","13.7047"
"Cash per Share","1.0596","1.223","0.9709","1.0202","1.0274","0.9083","1.2698","0.9088","0.6737","0.7269","0.973","1.6737","0.7181","0.7771","0.7594","0.6636","0.427","0.4573","0.5804","0.4284","0.3431","0.2495","0.3253","0.3192","0.3629","0.2979","0.2886","0.316","0.2174","0.3187","0.4454","0.3599","0.3126","0.3172","0.3004","0.541","0.3172","0.3908","0.2644"
"Debt to Equity Ratio","0.5998","0.5782","0.5934","0.5978","0.6166","0.5937","0.6013","0.5746","0.5717","0.5464","0.5533","0.5546","0.544","0.5745","0.5316","0.5154","0.5259","0.4848","0.4733","0.4469","0.4684","0.4654","0.4795","0.4866","0.4838","0.508","0.5137","0.5025","0.4974","0.5478","0.5613","0.5112","0.5774","0.6297","0.6288","0.4875","0.4407","0.4262","0.4126"
"Total Debt To Total Assets","0.1427","0.1386","0.1407","0.1391","0.1397","0.1371","0.1389","0.1389","0.1391","0.1342","0.1361","0.1388","0.1303","0.1383","0.1294","0.1255","0.1258","0.1171","0.1151","0.1114","0.1181","0.1171","0.1196","0.121","0.1205","0.125","0.1242","0.1234","0.1207","0.1267","0.1281","0.1159","0.121","0.1209","0.1182","0.1045","0.0989","0.0957","0.0954"
"Interest Coverage","3.1583","3.9155","3.5489","4.7692","0.5923","1.6853","-2.2598","2.9375","2.6269","2.2595","3.4651","3.5372","3.0714","2.3279","0.8165","5.1619","5.0","4.25","2.5158","3.5321","1.6486","6.3063","3.9397","3.2619","4.0543","4.8013","6.5789","1.9449","5.9449","6.3308","6.3543","7.2735","5.8818","-10.0851","-16.3023","-1.3537","61.2614","11.2809","13.7753"
"Income Quality","5.3333","-0.0034","1.8517","2.8899","-9.5692","1.4608","-6.7264","6.0879","6.1471","0.3853","4.2981","4.3462","6.6293","7.1695","-3.8737","2.9291","-0.3903","2.5124","-23.5","5.6271","13.8929","0.8937","7.1624","6.8395","-0.852","2.9789","-2.0171","2.6389","1.3825","0.7","4.5335","2.3761","1.5118","-1.7589","-2.0814","10.6131","0.2708","2.2462","1.4159"
