"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","8.332","7.778","8.166","8.015","7.716","7.758","7.977","7.759","7.777","7.801","8.331","8.654","8.864","9.569","9.853","10.045","9.773","9.814","10.154","9.616","9.269","9.277","9.324","9.236","9.856","9.646","10.293","9.898","9.671","9.947","10.216","10.078","10.194","9.952","10.583","11.47","12.146","12.058","12.537"
"Tangible Book Value per Share","16.831","15.586","15.17","15.226","14.924","14.573","14.469","14.605","14.95","14.674","15.306","15.2","15.543","14.718","14.007","14.508","14.309","15.301","14.56","14.235","14.141","14.013","13.454","13.615","13.769","13.263","13.101","13.319","13.298","13.127","12.898","12.532","12.275","12.15","13.373","15.624","17.841","17.028","17.101"
"FCF per Share","0.394","0.171","0.943","0.716","0.875","0.601","0.57","0.731","0.461","0.073","0.982","0.765","0.564","-0.244","1.115","0.673","0.529","0.029","1.353","0.544","0.427","0.331","0.781","0.571","0.227","0.202","0.922","0.477","0.332","0.246","0.771","0.802","0.89","0.578","1.316","0.306","0.244","0.115","0.811"
"Interest Debt per Share","8.7272","8.2113","7.1798","7.6885","7.6045","7.4443","6.9429","7.0691","7.3083","7.0486","7.0365","7.108","7.831","6.9691","6.1574","6.6156","6.692","7.9178","7.4703","7.3546","7.0985","7.3071","6.0072","6.2545","5.8984","5.5235","5.2201","5.5959","5.7083","5.4535","5.2555","4.8485","4.8904","5.0298","5.5929","6.131","7.2347","6.7591","6.4035"
"Cash per Share","2.464","1.9635","2.1088","2.3093","2.0668","1.7987","1.8605","1.7892","1.9455","1.8478","2.4182","1.7251","2.1513","1.8862","1.9312","2.0628","1.9225","3.0802","2.5418","1.8345","1.7661","1.8189","1.6984","1.5216","1.3963","1.3097","1.6697","1.8361","1.6073","1.6199","1.7126","1.387","1.3759","0.9944","1.0544","1.2766","1.1856","1.0867","1.2075"
"Debt to Equity Ratio","1.0475","1.0557","0.8793","0.9593","0.9855","0.9596","0.8704","0.9111","0.9398","0.9036","0.8447","0.8213","0.8835","0.7283","0.625","0.6586","0.6847","0.8068","0.7357","0.7649","0.7659","0.7876","0.6443","0.6772","0.5984","0.5726","0.5071","0.5654","0.5902","0.5483","0.5144","0.4811","0.4797","0.5054","0.5285","0.5345","0.5956","0.5606","0.5108"
"Total Debt To Total Assets","0.3617","0.3601","0.3216","0.3441","0.3456","0.3424","0.3188","0.3237","0.3287","0.3223","0.3083","0.3143","0.3414","0.3081","0.2798","0.29","0.2976","0.337","0.3242","0.3272","0.3173","0.3266","0.2867","0.2976","0.2775","0.2687","0.2547","0.2739","0.2808","0.2693","0.2611","0.2501","0.2573","0.2683","0.2763","0.2722","0.2938","0.2852","0.2675"
"Interest Coverage","11.9038","11.1226","12.5532","13.2323","16.4272","13.7391","13.2326","13.7476","10.8214","10.1273","4.1509","6.8942","0.9712","8.1058","0.1731","9.9906","9.7706","6.3906","5.3308","9.354","10.0","7.9789","2.4388","7.5625","8.5745","7.8316","5.0606","8.043","9.2826","8.1613","7.3958","10.1505","4.5824","2.0638","-2.4752","6.8655","6.5344","5.6842","-11.9226"
"Current Ratio","2.077","1.972","1.875","2.058","1.974","1.973","1.87","1.837","1.49","1.479","1.441","1.254","1.722","1.69","1.545","2.204","2.199","1.924","1.832","1.733","1.601","2.157","2.089","2.138","2.281","2.203","2.331","2.379","2.287","2.258","2.268","2.32","2.429","2.46","2.493","2.5","2.637","2.421","2.294"
