"","42916.0","42825.0","42735.0","42636.0","42545.0","42454.0","42369.0","42272.0","42181.0","42090.0","42004.0","41908.0","41817.0","41726.0","41639.0","41544.0","41453.0","41362.0","41274.0","41180.0","41089.0","40998.0","40908.0","40816.0","40725.0","40634.0","40543.0","40445.0","40354.0","40263.0","40178.0","40081.0","39990.0","39899.0","39813.0","39717.0","39626.0","39535.0","39447.0"
"Book Value per Share","63.877","60.888","58.824","59.018","58.109","56.272","55.619","56.245","63.301","63.524","61.885","69.365","68.571","70.383","66.902","64.23","62.291","61.052","56.604","60.0","69.66","68.172","63.554","64.696","65.259","63.005","59.178","60.614","59.211","57.843","56.224","54.656","52.455","49.231","48.333","51.033","49.664","48.32","47.95"
"Tangible Book Value per Share","69.281","67.477","65.465","69.07","67.409","69.537","71.379","69.546","69.647","73.876","82.061","70.435","69.733","68.792","66.286","67.321","65.25","64.85","59.294","64.183","66.698","64.768","74.023","60.773","59.727","58.415","54.689","54.649","57.556","56.488","54.007","55.756","54.163","51.334","49.818","50.223","47.287","47.879","46.317"
"FCF per Share","3.517","0.566","-1.085","-5.375","2.953","0.36","-0.779","-4.086","2.253","0.863","-7.143","4.042","2.799","-1.057","6.611","2.065","2.191","1.085","4.694","3.288","2.294","1.111","4.195","4.087","2.413","1.714","3.5","3.219","2.435","2.114","3.185","3.479","2.884","0.946","2.368","2.81","4.115","0.449","2.282"
"Interest Debt per Share","42.7086","42.8057","42.9587","43.0362","43.1218","46.6067","46.3091","48.3436","47.9903","47.8615","46.1241","46.275","45.7375","42.1719","40.604","40.5134","40.3782","40.1883","37.6843","40.3538","42.4486","41.6768","39.5115","39.8647","38.8878","38.0276","36.1942","36.2456","39.2114","35.5306","35.2055","38.7457","38.6609","37.9983","37.071","37.5041","37.1885","37.0065","36.3251"
"Cash per Share","4.9422","2.9601","4.6899","5.3101","4.5596","6.8638","2.6437","3.9632","4.2996","3.8518","5.1756","5.9694","3.4727","2.6365","5.5928","4.2076","3.6485","3.0565","3.6241","5.3486","4.9486","4.9798","7.318","5.1981","5.1649","5.0507","5.3106","5.7018","8.8648","9.7929","8.6986","10.232","7.6996","5.3885","7.1535","7.0826","5.0984","4.3719","6.245"
"Debt to Equity Ratio","0.6686","0.703","0.7303","0.7292","0.7421","0.8282","0.8326","0.8595","0.7581","0.7534","0.7453","0.6671","0.667","0.5992","0.6069","0.6308","0.6482","0.6583","0.6657","0.6726","0.6094","0.6113","0.6217","0.6162","0.5959","0.6036","0.6116","0.598","0.6622","0.6143","0.6262","0.7089","0.737","0.7718","0.767","0.7349","0.7488","0.7659","0.7576"
"Total Debt To Total Assets","0.2676","0.2734","0.2802","0.282","0.2845","0.3044","0.3004","0.3022","0.289","0.2858","0.2872","0.2805","0.279","0.2589","0.2592","0.2579","0.2619","0.2615","0.263","0.2731","0.2624","0.2628","0.266","0.267","0.2649","0.265","0.2677","0.2686","0.2884","0.2729","0.2764","0.2993","0.3036","0.3089","0.3102","0.307","0.3124","0.3132","0.3153"
"Interest Coverage","7.2326","6.0476","6.6136","5.3171","5.6512","7.7073","-4.4667","-4.4884","3.7619","4.8718","9.0345","5.5106","6.1282","6.7209","9.9231","6.9545","6.7273","7.2558","6.913","6.6667","7.7333","7.6","8.5143","7.66","7.25","5.8889","9.4444","6.75","6.0278","6.4531","5.7763","6.1471","6.1014","5.7121","5.7763","5.625","7.6515","4.9079","4.3441"
"Current Ratio","1.832","1.737","1.732","1.458","1.441","1.517","1.47","1.743","1.78","1.866","2.151","1.946","1.887","1.866","1.807","1.917","1.876","1.827","1.75","1.933","1.943","1.892","2.345","1.878","1.941","1.862","1.858","1.539","1.473","1.657","2.049","1.637","1.558","1.464","1.833","1.876","1.864","1.813","1.845"
"Income Quality","1.3168","0.5183","0.0","-2.4932","1.7959","0.2467","0.012","0.9365","1.9","1.0476","-2.7143","2.5325","2.0219","-0.3647","3.4919","1.105","1.4286","0.7644","2.8978","1.8698","1.322","0.6816","1.8116","1.9787","1.2355","1.0837","1.7865","1.6667","1.4009","1.2374","1.9067","1.8145","1.6861","0.7716","1.364","1.9469","1.9597","0.4947","1.7539"
"Payout Ratio","0.29","0.355","0.288","0.365","0.366","0.24","-0.316","-0.178","0.445","0.508","0.249","0.331","0.377","0.305","0.262","0.247","0.282","0.259","0.25","1.735","0.237","0.246","0.164","0.198","0.197","0.241","0.169","0.192","0.203","0.212","0.179","0.164","0.183","0.211","0.137","0.175","0.134","0.196","0.163"
"Intangible Assets out of Total Assets","0.5659","0.569","0.5729","0.5474","0.5552","0.5458","0.5369","0.5652","0.5806","0.5588","0.489","0.5731","0.5747","0.5777","0.5769","0.5714","0.5768","0.5781","0.5862","0.5656","0.5877","0.5916","0.5017","0.593","0.5932","0.5929","0.5954","0.595","0.5766","0.5662","0.5759","0.5693","0.5747","0.5827","0.5831","0.5889","0.6027","0.5948","0.598"
"Selling, General and Administrative Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
