"","42951.0","42860.0","42769.0","42671.0","42580.0","42489.0","42398.0","42307.0","42216.0","42125.0","42034.0","41943.0","41852.0","41761.0","41670.0","41579.0","41488.0","41397.0","41306.0","41215.0","41124.0","41033.0","40942.0","40844.0","40753.0","40662.0","40571.0","40480.0","40389.0","40298.0","40207.0","40116.0","40025.0","39934.0","39843.0","39752.0","39661.0","39570.0","39479.0","39388.0"
"Book Value per Share","6.583","6.454","7.397","7.559","7.829","8.04","8.364","9.126","9.331","9.976","10.246","10.971","11.296","11.312","11.334","12.083","12.242","12.18","12.321","12.633","12.812","12.606","13.199","13.447","13.16","13.187","13.125","13.591","13.559","13.226","12.954","13.246","13.098","12.611","12.287","12.308","12.032","11.43","11.006","10.921"
"Tangible Book Value per Share","42.108","42.628","38.312","39.331","40.087","41.274","33.998","36.481","34.997","36.121","32.604","34.798","33.304","33.723","31.298","32.547","31.31","31.922","29.045","30.154","30.278","30.852","26.792","27.093","26.702","27.103","24.419","24.706","24.441","26.018","22.421","23.43","23.307","23.357","22.202","22.638","22.37","22.458","21.106","20.537"
"FCF per Share","1.794","3.616","0.011","0.369","1.282","3.37","-0.119","0.151","1.466","2.367","-0.041","0.591","1.756","1.789","-0.062","0.271","1.148","1.656","0.013","0.393","0.055","1.79","-0.065","0.097","0.328","1.597","-0.215","0.479","-0.197","1.709","-0.473","0.179","0.63","1.22","-0.653","-0.29","0.365","1.195","-0.362","-0.328"
"Interest Debt per Share","19.1249","18.7456","18.048","17.4055","17.906","17.1739","13.8225","13.7124","12.1912","11.9474","11.6743","11.6125","10.1678","9.9773","10.06","9.6858","8.493","8.3392","8.0708","8.0364","8.299","7.9693","6.0891","5.292","5.1922","4.9668","4.763","4.0108","3.9308","4.2191","3.451","3.4632","3.4672","3.4713","4.124","3.6511","3.622","3.9594","4.5672","3.8306"
"Cash per Share","2.0166","2.2905","0.6415","1.0997","2.2514","5.0847","0.4426","1.3366","0.9678","1.5095","0.479","1.5971","1.0442","0.6483","0.3739","1.0516","1.0169","0.9936","0.481","0.9689","1.478","2.5473","0.8095","0.54","0.4455","1.1299","0.4725","0.7755","0.8405","1.8616","0.4293","0.7783","0.7425","0.4665","0.1667","0.2207","0.3278","0.6279","0.1921","0.2286"
"Debt to Equity Ratio","2.9053","2.9045","2.44","2.3026","2.2871","2.136","1.6526","1.5025","1.3066","1.1976","1.1394","1.0584","0.9001","0.882","0.8876","0.8016","0.6938","0.6847","0.655","0.6361","0.6477","0.6322","0.4613","0.3935","0.3945","0.3767","0.3629","0.2951","0.2899","0.319","0.2664","0.2614","0.2647","0.2753","0.3356","0.2967","0.301","0.3464","0.415","0.3508"
"Total Debt To Total Assets","0.4386","0.4271","0.4563","0.4296","0.4335","0.4144","0.4046","0.3742","0.3467","0.3308","0.3581","0.3337","0.3053","0.2959","0.3214","0.2976","0.2713","0.2612","0.2779","0.2665","0.2741","0.2583","0.2273","0.1953","0.1944","0.1833","0.1951","0.1623","0.1608","0.1622","0.1539","0.1478","0.1488","0.1486","0.1857","0.1613","0.1619","0.1763","0.2164","0.1865"
"Interest Coverage","14.9811","6.8012","7.9811","5.7607","12.3554","10.1667","3.0629","9.4184","14.8271","9.194","6.2045","8.1194","14.4365","8.5968","4.8984","7.392","14.6909","8.6814","5.1364","6.5702","13.4688","9.2524","5.7549","4.8681","15.7667","9.4091","6.3023","9.1375","16.8929","10.5854","6.7321","7.8571","17.0","10.7436","4.7","12.9692","22.6957","13.7895","15.1957","21.6"
"Current Ratio","1.03","1.04","1.002","1.008","1.013","1.167","1.007","0.998","0.915","0.967","1.054","1.123","1.106","1.105","1.16","1.209","1.168","1.151","1.269","1.257","1.286","1.239","1.276","1.138","1.172","1.207","1.4","1.336","1.391","1.259","1.323","1.229","1.186","1.207","1.216","1.129","1.091","1.132","1.121","1.22"
"Income Quality","1.2537","5.4734","0.5249","1.6913","1.2065","3.6425","21.6364","0.519","1.4973","3.682","0.5444","1.3009","1.8566","3.1955","0.8235","1.008","1.4495","3.6889","0.8789","1.798","0.4404","4.6812","1.4193","2.6622","1.0482","5.256","0.0667","2.6015","0.0553","5.5951","-1.5268","1.8924","1.8063","4.9265","-1.4568","1.0041","1.4179","4.1812","1.3775","1.0995"
"Payout Ratio","0.244","0.5","0.473","0.814","0.265","0.286","9.333","0.35","0.233","0.329","0.489","0.39","0.221","0.295","0.6","0.383","0.205","0.327","0.615","0.457","0.25","0.326","0.538","0.778","0.215","0.314","0.524","0.379","0.19","0.265","0.643","0.391","0.176","0.281","0.818","0.273","0.141","0.19","0.286","0.182"
"Intangible Assets out of Total Assets","0.0342","0.0287","0.0314","0.0292","0.0294","0.0041","0.0049","0.0046","0.0047","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.2016","0.2299","0.2392","0.2599","0.2117","0.2226","0.2849","0.2289","0.2095","0.2417","0.2517","0.2379","0.2133","0.2476","0.2611","0.2457","0.2173","0.2462","0.2542","0.2504","0.2226","0.2464","0.2588","0.2728","0.2222","0.2561","0.2664","0.253","0.2221","0.2497","0.2729","0.2534","0.2256","0.2499","0.2716","0.2324","0.2077","0.2269","0.2398","0.2164"
