"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","",""
"Book Value per Share","17.045","16.053","14.841","14.63","14.724","14.678","14.574","15.73","16.748","15.672","16.606","19.212","20.393","21.573","22.539","20.937","20.907","20.235","19.366","21.414","19.999","19.714","18.345","24.537","23.906","22.316","20.392","19.237","",""
"Tangible Book Value per Share","57.249","56.443","54.878","53.675","52.27","51.842","48.017","48.829","49.421","47.738","45.711","47.345","47.821","48.215","46.582","44.573","40.823","40.146","39.276","40.779","38.053","38.112","36.501","46.244","46.731","45.434","41.273","41.568","",""
"FCF per Share","3.024","0.549","2.812","1.794","1.636","1.789","1.506","2.994","2.468","2.435","3.222","2.139","2.621","0.838","2.373","1.222","1.493","0.709","1.73","3.089","0.472","1.194","-0.358","2.192","1.461","0.009","1.225","1.709","",""
"Interest Debt per Share","22.4898","22.438","22.038","21.8608","21.3368","21.0597","17.8621","17.8546","17.5639","17.3261","14.0712","13.2942","12.9415","12.491","10.5396","10.3838","7.6819","7.6881","7.6498","7.5693","7.5754","7.0175","6.9825","10.205","10.3254","10.7592","10.7518","12.9492","",""
"Cash per Share","1.8371","1.2074","2.1545","1.7897","2.4934","3.0588","2.0714","3.1661","2.8058","3.391","2.0632","2.313","3.8536","4.9492","8.056","7.7901","5.6211","5.0147","4.7585","6.1674","3.4179","2.9266","1.9361","10.324","8.6917","7.7194","7.4831","8.542","",""
"Debt to Equity Ratio","1.3194","1.3977","1.485","1.4942","1.4491","1.4347","1.2256","1.1351","1.0487","1.1055","0.8474","0.692","0.6346","0.579","0.4676","0.496","0.3674","0.38","0.395","0.3535","0.3788","0.356","0.3806","0.4159","0.4319","0.4821","0.5273","0.6731","-0.7781","-3.9416"
"Total Debt To Total Assets","0.3756","0.38","0.3831","0.3881","0.3885","0.3861","0.3528","0.3475","0.3379","0.3444","0.2909","0.2657","0.256","0.2453","0.2138","0.2196","0.1765","0.1792","0.1817","0.1734","0.1849","0.1705","0.1765","0.2064","0.206","0.2186","0.2404","0.2814","0.2516","0.8366"
"Interest Coverage","17.7368","6.372","13.2941","18.75","18.3133","18.8293","14.7273","20.6706","24.6835","24.2754","16.1528","19.3913","17.6979","15.4348","14.8391","15.716","20.1286","18.7183","13.3919","19.0423","3.618","10.101","0.4299","9.9808","7.7727","6.681","3.9289","5.0","",""
"Current Ratio","2.439","2.211","2.114","2.216","2.294","2.325","2.251","2.156","2.293","2.302","2.142","2.295","2.435","2.621","2.65","2.719","2.588","2.478","2.411","2.776","2.914","2.446","2.279","3.229","2.762","2.511","2.852","2.763","0.797","0.26"
