"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","-2.465","-2.48","-2.677","-1.93","0.741","4.346","7.756","8.932","11.079","11.871","13.3","13.922","16.361","16.317","16.137","15.206","15.149","15.187","15.259","13.8","13.844","14.398","14.082","12.965","14.439","13.866","13.873","12.854","12.249","13.12","13.025","12.162","12.07","11.43","11.997","11.689","12.952","12.582","13.02"
"Tangible Book Value per Share","37.506","36.42","34.836","35.634","35.472","35.128","38.76","32.654","33.907","30.775","32.587","33.932","35.323","33.829","34.022","32.786","31.631","31.25","32.508","30.892","30.234","30.068","29.687","28.809","29.073","28.214","27.86","27.0","24.495","25.422","25.8","25.509","24.485","23.083","23.509","23.162","24.926","24.922","23.083"
"FCF per Share","1.076","1.443","0.275","2.194","1.066","1.537","1.093","1.65","1.151","1.361","0.852","1.2","0.909","1.353","0.977","1.367","0.909","1.05","0.853","1.239","0.761","1.026","0.828","1.436","1.016","1.002","0.862","1.34","0.797","0.949","0.691","1.246","0.898","0.646","0.678","1.049","0.691","0.937","0.477"
"Interest Debt per Share","34.9443","33.228","31.5188","30.9092","30.1042","26.2713","26.3947","19.3384","18.7805","14.878","15.455","15.4595","15.6275","14.0732","14.2423","13.5243","13.3511","12.7634","13.6012","13.1837","13.3885","12.5515","12.2325","12.1788","11.86","11.5509","10.9065","10.7785","9.9116","9.759","9.8175","10.2187","10.0251","9.408","9.1598","8.847","9.7976","10.2426","7.9253"
"Cash per Share","2.9478","2.946","1.4856","2.694","3.6204","3.7238","8.4096","2.6362","4.1948","1.7019","2.1501","2.8873","3.7174","2.7726","2.821","2.5512","2.2752","1.8643","2.3307","2.1653","2.4508","2.2482","2.2856","2.3219","1.9988","1.861","2.2628","2.3516","1.5535","1.8655","1.6668","2.0295","1.969","1.7833","1.8498","1.3319","2.075","2.5508","1.6882"
"Debt to Equity Ratio","-14.1761","-13.3972","-11.775","-16.0132","40.6406","6.0452","3.4033","2.165","1.6951","1.2533","1.162","1.1104","0.9552","0.8625","0.8826","0.8894","0.8813","0.8404","0.8914","0.9553","0.9671","0.8717","0.8687","0.9394","0.8214","0.8331","0.7862","0.8386","0.8092","0.7438","0.7538","0.8402","0.8306","0.8231","0.7635","0.7569","0.7564","0.8141","0.6087"
"Total Debt To Total Assets","0.865","0.847","0.8366","0.8005","0.7847","0.691","0.6358","0.5458","0.5122","0.4445","0.4364","0.42","0.4084","0.3829","0.3858","0.3794","0.3881","0.375","0.3852","0.3921","0.4072","0.3834","0.3789","0.3882","0.3741","0.3753","0.3598","0.3669","0.3706","0.3521","0.35","0.3685","0.3766","0.3754","0.359","0.3511","0.3624","0.3795","0.3165"
"Interest Coverage","9.9277","9.2685","8.8431","9.6021","8.3703","8.2213","10.4572","12.6743","12.4772","9.5139","11.3845","13.8674","16.0218","14.1609","15.7432","18.4146","16.8698","15.1827","16.9568","17.8119","16.4608","15.3328","16.632","19.2516","17.9655","15.1457","15.8171","18.1995","17.0527","15.0261","15.7656","16.4635","14.3445","12.3515","13.0232","13.9096","12.6118","11.6086","12.3454"
"Current Ratio","2.148","1.834","1.398","0.961","1.892","1.767","3.268","1.52","2.163","1.306","1.523","1.247","1.744","1.559","1.593","1.239","1.651","1.389","1.446","1.014","1.242","1.167","1.255","0.871","1.019","0.899","1.494","1.279","1.226","1.351","1.143","1.018","1.265","1.559","1.386","0.98","1.284","1.174","0.796"
"Income Quality","0.8698","1.271","0.6828","1.765","1.1423","1.5516","1.143","1.4875","1.2587","2.0943","1.3696","1.7156","1.072","1.5831","1.3411","1.3471","1.0811","1.3281","1.3252","1.3742","1.101","1.2896","1.2964","1.4394","1.1649","1.2846","1.3892","1.4005","1.0187","1.3055","1.1325","1.445","1.2984","1.1544","1.4922","1.4324","1.0601","1.5627","1.009"
"Payout Ratio","0.547","0.635","0.648","0.586","0.701","0.701","0.679","0.603","0.675","1.012","0.752","0.743","0.579","0.664","0.579","0.503","0.554","0.606","0.554","0.483","0.526","0.565","0.519","0.415","0.449","0.526","0.517","0.42","0.482","0.545","0.487","0.431","0.5","0.568","0.562","0.355","0.362","0.458","1.389"
"Intangible Assets out of Total Assets","0.0715","0.0716","0.0753","0.0771","0.0754","0.076","0.0663","0.0783","0.0752","0.0807","0.0799","0.078","0.0768","0.0795","0.0784","0.0803","0.0806","0.0817","0.0792","0.0811","0.0804","0.0816","0.0804","0.0817","0.083","0.0832","0.0809","0.0809","0.0842","0.0829","0.0802","0.0801","0.0801","0.079","0.0786","0.0808","0.0781","0.0767","0.0783"
"Selling, General and Administrative Expense of Revenue","0.0868","0.0918","0.1041","0.0907","0.0951","0.0979","0.1065","0.0883","0.0912","0.0978","0.1008","0.0824","0.0876","0.0926","0.0885","0.0757","0.0857","0.0903","0.0898","0.0868","0.0893","0.0905","0.0969","0.0811","0.0852","0.0922","0.1071","0.0882","0.095","0.0974","0.1098","0.0909","0.0941","0.0979","0.1118","0.0929","0.0985","0.0984","0.1148"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","3149200000.0","2686500000.0","1380300000.0","-174600000.0","2379400000.0","2192900000.0","6692600000.0","1536100000.0","3211400000.0","840900000.0","1437600000.0","1030800000.0","2522000000.0","1735100000.0","1880100000.0","911800000.0","1827100000.0","1174100000.0","1519000000.0","56600000.0","877800000.0","608400000.0","893800000.0","-656300000.0","76600000.0","-429900000.0","1443800000.0","910200000.0","583700000.0","903000000.0","427600000.0","62400000.0","753500000.0","1237500000.0","979700000.0","-56900000.0","858100000.0","642300000.0","-916600000.0"
"Tangible Asset Value","30440000000.0","29821100000.0","28687400000.0","29982200000.0","30647900000.0","31225600000.0","35422400000.0","30377900000.0","32320400000.0","29562100000.0","31492100000.0","33209600000.0","34878300000.0","33477600000.0","33753600000.0","32697500000.0","31674800000.0","31334300000.0","32582500000.0","31080300000.0","30651700000.0","30615100000.0","30336700000.0","29639100000.0","30107600000.0","29410600000.0","29389100000.0","28647000000.0","26261500000.0","27354500000.0","27799700000.0","27664200000.0","26867700000.0","25612600000.0","26224100000.0","25862400000.0","28138800000.0","28550500000.0","27090400000.0"
"Net Current Asset Value","-28893300000.0","-28243900000.0","-28379600000.0","-29808900000.0","-27459900000.0","-24880800000.0","-21207800000.0","-20157100000.0","-18414800000.0","-17159500000.0","-17188500000.0","-17184500000.0","-15712000000.0","-15385100000.0","-15566500000.0","-15652300000.0","-14650600000.0","-14704400000.0","-15170800000.0","-15732500000.0","-14797200000.0","-14418900000.0","-14196700000.0","-14517400000.0","-13854800000.0","-13802400000.0","-12972500000.0","-13354200000.0","-12377100000.0","-12236500000.0","-12774700000.0","-13280000000.0","-12365500000.0","-11677100000.0","-11561300000.0","-12271200000.0","-12016400000.0","-12182200000.0","-10530000000.0"
"Invested Capital","53665100000.0","51395300000.0","49951400000.0","49245800000.0","50862700000.0","48409400000.0","48908600000.0","42959400000.0","43462700000.0","39467200000.0","41602000000.0","41334400000.0","43246600000.0","41559400000.0","41914700000.0","39818700000.0","39961200000.0","39245800000.0","40475800000.0","38014600000.0","38118100000.0","37459500000.0","36992200000.0","34701700000.0","36371000000.0","35257300000.0","35582700000.0","34321700000.0","32639400000.0","33278600000.0","33593400000.0","33005000000.0","32864100000.0","31860100000.0","31840600000.0","31385300000.0","33831600000.0","33678900000.0","29911700000.0"
"Average Receivables","1362200000.0","1249400000.0","1386400000.0","1243000000.0","1222850000.0","1126950000.0","1256550000.0","1181450000.0","1236550000.0","1160750000.0","1267100000.0","1256000000.0","1298200000.0","1229850000.0","1347550000.0","1281300000.0","1296250000.0","1232200000.0","1355000000.0","1240600000.0","1269850000.0","1197350000.0","1256900000.0","1108750000.0","1106600000.0","1045150000.0","1119750000.0","946500000.0","947300000.0","916700000.0","995800000.0","868100000.0","980550000.0","899650000.0","992500000.0","822400000.0","907600000.0","871950000.0","930350000.0"
"Average Payables","555300000.0","666450000.0","815350000.0","1213850000.0","707350000.0","678250000.0","867400000.0","1232700000.0","902600000.0","765050000.0","973050000.0","1662050000.0","885150000.0","829850000.0","1113950000.0","1632450000.0","814300000.0","769950000.0","1051600000.0","1534800000.0","766650000.0","704600000.0","952600000.0","1352950000.0","643950000.0","586500000.0","789950000.0","1173600000.0","533900000.0","480450000.0","628200000.0","1072800000.0","545600000.0","534200000.0","622250000.0","1721250000.0","559050000.0","624400000.0","646400000.0"
"Average Inventory","72050000.0","75250000.0","79500000.0","94900000.0","94850000.0","96250000.0","105050000.0","102150000.0","106500000.0","102500000.0","116850000.0","109050000.0","109250000.0","105700000.0","122700000.0","111100000.0","109750000.0","108450000.0","119250000.0","112050000.0","113350000.0","111600000.0","113350000.0","109300000.0","104700000.0","105400000.0","108050000.0","105200000.0","98500000.0","99250000.0","108850000.0","110750000.0","108850000.0","106850000.0","118400000.0","115850000.0","117650000.0","129100000.0","118850000.0"
