"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","-3.559","-4.851","-6.417","-2.945","-3.102","-2.983","-2.867","-1.205","-0.514","-0.721","0.208","2.283","3.179","1.838","1.623","1.34","2.055","2.082","1.779","1.448","0.484","0.408","-0.713","-0.814","-0.114","-1.013","-1.326","-1.313","-2.125","-2.286","-2.564","-2.779","-3.208","-3.929","-4.206","-3.704","-3.36","-3.65","-3.059"
"Tangible Book Value per Share","27.197","21.541","20.992","19.148","19.02","19.153","19.42","17.423","18.232","18.056","15.992","17.317","16.608","16.28","16.371","15.269","13.372","13.769","13.895","12.507","9.325","9.35","8.913","8.483","9.235","8.272","8.163","8.108","6.458","6.568","6.553","6.005","6.025","5.782","5.59","5.917","5.695","5.306","5.768"
"FCF per Share","2.307","-2.779","1.776","1.551","1.369","1.166","1.202","1.374","1.544","1.198","1.409","1.111","1.232","0.739","1.223","1.247","0.706","0.869","1.424","1.111","0.745","0.209","0.553","0.896","1.004","0.792","0.66","0.646","0.513","0.624","0.68","0.434","0.454","0.776","0.488","0.561","0.159","0.67","0.713"
"Interest Debt per Share","25.5869","21.3276","17.6166","17.8305","17.6856","17.5826","17.1517","15.6695","15.4302","15.2694","12.3356","12.0556","9.9269","9.8014","9.8077","9.6354","7.22","7.3538","7.4975","7.6742","5.5306","5.5363","5.6002","5.5044","5.447","5.3919","5.3088","5.3777","4.7021","4.7358","5.0495","5.4188","5.6349","5.9919","6.2085","5.7961","5.2208","4.8452","4.4961"
"Cash per Share","17.1775","11.1439","10.7465","9.1085","8.6572","8.0826","8.9163","7.3776","7.6433","7.4489","5.9056","9.2243","8.3835","8.7271","8.9571","8.4256","7.3459","7.8728","7.8753","6.8247","3.6807","3.6468","3.4219","3.7796","4.1126","3.1433","2.8248","3.3875","2.065","2.0954","2.0047","1.7881","1.6637","1.4516","1.0402","1.8177","1.554","1.3731","1.6639"
"Debt to Equity Ratio","-7.189","-4.3962","-2.7453","-6.0551","-5.7007","-5.8951","-5.9834","-13.0079","-30.0397","-21.1703","59.3776","5.2811","3.1229","5.3331","6.0414","7.1894","3.5136","3.5322","4.2138","5.3011","11.434","13.5614","-7.8523","-6.7609","-47.6245","-5.3221","-4.0039","-4.0949","-2.2124","-2.0715","-1.9692","-1.9501","-1.7568","-1.525","-1.476","-1.5648","-1.5539","-1.3275","-1.47"
"Total Debt To Total Assets","0.7477","0.7498","0.6313","0.681","0.678","0.6703","0.6625","0.6546","0.6213","0.622","0.5456","0.5079","0.4397","0.4818","0.4782","0.5051","0.423","0.4198","0.4219","0.4662","0.4178","0.413","0.4325","0.4934","0.4529","0.4889","0.488","0.5366","0.5652","0.56","0.5959","0.6835","0.71","0.7827","0.8276","0.8255","0.7672","0.7554","0.6718"
"Interest Coverage","11.2356","11.6368","-12.7824","11.387","11.9708","9.0176","12.0249","14.2326","12.8119","12.7167","12.2867","9.6233","19.4615","13.937","13.6118","11.6803","16.3871","13.0227","11.8565","18.1111","16.747","25.9126","10.0947","15.2171","19.617","13.8352","10.8333","15.0781","20.5889","14.6241","14.272","15.0522","29.3443","43.6364","8.9172","15.5952","18.8548","18.0609","13.5686"
"Current Ratio","3.685","2.448","1.34","2.151","2.643","2.678","2.662","2.725","2.724","2.67","2.239","2.939","2.693","2.868","2.601","3.101","2.723","2.487","2.168","2.244","1.527","1.509","1.256","1.629","1.811","1.593","1.438","1.642","0.877","0.879","0.819","0.746","0.69","0.639","0.581","0.735","0.786","0.647","0.733"
