"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","11.326","11.101","10.849","10.945","9.784","9.202","9.086","10.48","10.351","8.697","8.33","9.009","9.085","8.856","8.603","8.706","8.764","8.937","8.924","11.358","11.711","12.025","12.451","12.788","13.029","5.975","6.079","5.756","6.457","8.568","8.772","9.736","18.242","14.79","14.374","18.615","18.246","17.341","20.244"
"Tangible Book Value per Share","39.593","39.093","38.838","38.458","37.222","35.308","34.82","34.752","35.512","39.875","39.363","37.134","37.253","36.708","38.108","37.193","37.215","37.795","38.111","41.144","39.829","39.947","40.549","40.576","39.091","37.524","38.418","42.389","44.322","46.642","50.06","48.271","79.469","84.644","82.607","78.766","77.154","72.398","70.488"
"FCF per Share","0.204","-0.088","-0.325","-0.323","-0.27","-0.359","-0.339","-0.206","-0.053","-0.237","-0.284","-0.057","0.684","0.2","0.101","0.468","0.797","0.199","-0.171","0.562","0.242","0.364","0.142","0.19","0.455","-0.021","0.24","-0.028","0.838","-0.224","0.126","0.279","0.792","0.274","0.832","0.181","0.542","-1.272","-0.352"
"Interest Debt per Share","23.212","23.0","22.9288","22.8113","22.1508","23.1347","22.8278","23.0233","24.088","29.9931","28.9985","26.6861","26.7315","26.75","27.8243","26.9986","27.1884","28.3993","28.2011","28.7869","27.8537","27.8469","27.972","28.0197","26.2613","25.2171","25.4154","29.1105","30.0677","29.2311","32.3245","29.7313","45.4086","52.5624","49.373","48.6169","47.3559","44.0004","38.0335"
"Cash per Share","3.0561","2.4294","2.523","2.5568","4.4269","2.9464","2.9644","3.2104","4.5157","4.4687","4.65","2.6764","2.7825","2.273","3.6805","2.8092","2.6128","3.026","3.1552","4.9968","3.5423","3.3443","3.8171","3.7147","1.8861","0.8828","1.0344","1.2525","2.2961","0.9985","4.6603","2.0333","1.4874","4.9378","1.0692","0.9049","1.0044","1.1154","1.39"
"Debt to Equity Ratio","2.0495","2.0719","2.1135","2.0841","2.2639","2.514","2.5123","2.1969","2.3271","3.4485","3.4813","2.9623","2.9423","3.0205","3.2342","3.1012","3.1022","3.1778","3.1602","2.5346","2.3784","2.3158","2.2465","2.191","2.0156","4.2201","4.1811","5.0571","4.6568","3.4115","3.6849","3.0537","2.4892","3.554","3.435","2.6117","2.5954","2.5373","1.8787"
"Total Debt To Total Assets","0.4676","0.4668","0.4666","0.4657","0.4718","0.5127","0.5101","0.4859","0.4996","0.5499","0.5355","0.5146","0.5129","0.5175","0.5228","0.5152","0.5173","0.5333","0.5249","0.5057","0.4995","0.497","0.4925","0.4916","0.4714","0.6567","0.6469","0.6713","0.6638","0.6139","0.6334","0.6037","0.5604","0.6097","0.5865","0.5744","0.5707","0.5647","0.501"
"Interest Coverage","2.6355","2.5467","1.3845","3.9195","3.6772","1.4771","-2.8192","1.2604","1.461","1.525","0.9295","0.9504","1.2847","1.4775","0.7461","0.8242","0.5846","1.164","-3.6955","0.3337","0.2879","0.3314","-0.1109","0.2535","13.4482","0.4648","0.3225","-0.7919","-3.681","0.4053","-2.2607","-5.3675","-0.542","2.0218","-5.686","1.6583","2.2615","2.2371","9.2973"
"Current Ratio","0.927","1.023","0.972","1.039","1.665","1.15","1.076","1.322","1.171","1.56","0.888","0.591","0.846","0.913","1.228","1.057","1.053","1.304","1.302","1.653","1.388","1.371","1.612","1.351","1.131","1.165","1.168","0.977","1.5","1.527","1.281","1.404","0.873","0.131","0.511","0.779","0.732","0.859","0.653"
"Income Quality","2.534","1.9601","19.659","0.8128","0.8202","3.3623","-0.3421","4.3735","2.787","1.0341","-0.3151","-10.8135","4.6617","2.8328","-3.7794","-16.3893","-5.7597","29.7366","-0.018","-2.07","-1.5164","-1.3426","-1.7071","-1.4874","0.0793","-0.2668","-0.8881","-0.0961","-0.4468","0.4642","-0.1604","-0.1736","-1.1938","1.2763","-0.2198","3.9869","3.3663","-1.0505","0.3405"
"Payout Ratio","0.297","0.306","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.2025","0.2066","0.2096","0.2149","0.2072","0.2175","0.2219","0.2666","0.2635","0.2689","0.2731","0.2839","0.2853","0.2899","0.284","0.2903","0.292","0.2903","0.2907","0.2772","0.2857","0.2871","0.2861","0.2882","0.2982","0.0229","0.0222","0.0224","0.0215","0.0205","0.0191","0.0199","0.0193","0.0182","0.0186","0.0694","0.0702","0.0708","0.0715"
"Selling, General and Administrative Expense of Revenue","0.1512","0.1576","0.1668","0.1686","0.1647","0.1594","0.1672","0.1682","0.1524","0.1502","0.1526","0.1528","0.1379","0.1322","0.1408","0.1496","0.1374","0.1383","0.159","0.1567","0.1404","0.1398","0.1459","0.1436","0.1735","0.1842","0.193","0.187","0.1842","0.1863","0.1929","0.1892","0.1913","0.1719","0.186","0.1799","0.1701","0.1714","0.1652"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
