"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","13.605","12.683","12.0","12.878","12.714","12.82","12.477","11.833","12.679","12.564","13.087","14.399","14.847","14.527","14.399","12.827","12.303","12.117","12.026","11.967","11.51","11.435","10.915","11.865","12.298","12.186","11.727","11.731","11.091","11.214","11.101","11.458","10.971","10.99","11.132","13.481","14.711","14.495","15.013"
"Tangible Book Value per Share","18.265","17.299","16.851","18.293","17.612","17.549","17.799","17.769","17.305","16.701","18.293","18.7","17.699","16.018","17.514","17.528","15.53","15.215","16.594","15.851","14.892","14.541","15.753","15.163","15.45","14.853","15.63","15.204","16.861","14.469","17.368","15.828","15.207","15.012","15.648","16.942","17.688","17.37","18.426"
"FCF per Share","1.29","-0.893","1.579","1.597","1.434","-1.211","1.577","1.525","1.028","-1.137","1.662","1.472","0.974","-0.872","1.195","1.169","0.593","-1.241","0.925","1.079","0.864","-1.02","1.176","1.12","1.154","-0.813","1.099","-0.51","0.863","-0.619","0.265","1.103","0.274","-1.006","1.138","1.012","-0.01","-1.029","-0.737"
"Interest Debt per Share","10.9747","11.4388","9.3159","9.1815","9.1305","9.6219","8.4559","8.4924","7.357","7.2152","6.269","7.3879","6.4572","5.5675","5.3825","5.8397","4.9238","4.9544","5.364","5.3658","5.3615","5.393","5.4323","5.4259","5.5448","5.5735","5.5875","5.593","6.6322","6.7355","6.8419","6.8607","6.8908","7.7631","7.0078","7.0273","7.0449","6.9576","7.4165"
"Cash per Share","1.8794","1.8058","1.9884","2.6795","1.8695","1.762","2.6322","2.5189","1.7383","2.0482","3.6327","4.8695","3.6521","2.5182","4.1949","3.9599","2.2323","2.3047","4.2298","3.7574","2.7596","2.6015","3.9202","3.1741","3.0329","2.4449","3.488","3.1215","2.7264","2.1895","3.2514","3.4599","2.4732","2.7456","3.2782","2.848","2.2754","2.4759","4.094"
"Debt to Equity Ratio","0.8067","0.9019","0.7763","0.7129","0.7181","0.7506","0.6777","0.7177","0.5803","0.5743","0.479","0.5131","0.4349","0.3832","0.3738","0.4553","0.4002","0.4089","0.446","0.4484","0.4658","0.4716","0.4977","0.4573","0.4509","0.4574","0.4764","0.4768","0.598","0.6006","0.6163","0.5988","0.6281","0.7064","0.6295","0.5213","0.4789","0.48","0.494"
"Total Debt To Total Assets","0.2901","0.3106","0.2643","0.2591","0.2632","0.2765","0.2423","0.253","0.226","0.231","0.1899","0.2234","0.2016","0.1841","0.174","0.1889","0.1713","0.1747","0.1792","0.1855","0.1922","0.1947","0.1895","0.1938","0.1963","0.2012","0.1982","0.2038","0.2297","0.2399","0.2342","0.2343","0.2411","0.269","0.2369","0.2249","0.2195","0.2192","0.2226"
"Interest Coverage","12.75","13.8276","13.1458","12.0638","15.0208","15.7174","12.8696","12.0","15.625","20.1111","11.9167","10.4222","15.2619","16.119","11.093","10.4","14.8","14.3864","8.913","8.5227","11.5111","11.8696","8.12","4.9796","9.3878","9.8824","6.8302","4.7167","3.9333","6.85","0.4426","3.9661","-1.2923","5.5714","1.9818","0.4815","3.3818","-1.0714","3.3571"
"Current Ratio","1.42","1.388","1.196","1.362","1.407","1.519","1.36","1.623","1.652","1.88","1.505","1.659","1.817","1.664","1.654","1.583","1.759","1.795","1.673","1.612","1.639","1.661","1.511","1.486","1.6","1.709","1.699","1.712","1.344","1.447","1.327","1.434","1.682","1.612","1.413","1.45","1.469","1.659","1.561"
"Income Quality","1.481","-0.7012","2.0528","2.3298","1.7161","-1.2079","2.3973","2.7152","1.5155","-1.0851","3.3265","2.9731","1.4803","-0.8578","2.5281","2.917","1.1082","-1.4358","2.2085","2.8382","1.7295","-1.4496","2.7734","5.1154","2.5035","-1.1569","3.3103","-1.3214","2.2161","-1.0121","10.2174","2.9005","-1.1088","-2.5568","7.9625","-77.5","1.5077","1.9762","-3.2118"
"Payout Ratio","0.347","0.309","0.4","0.466","0.341","0.337","0.431","0.508","0.359","0.315","0.509","0.509","0.321","0.309","0.455","0.543","0.324","0.307","0.479","0.523","0.367","0.344","0.468","0.917","0.412","0.356","0.568","0.667","0.465","0.435","4.0","0.488","-0.556","0.606","1.25","-10.0","1.667","-0.513","1.9"
"Intangible Assets out of Total Assets","0.5171","0.5303","0.522","0.4838","0.4924","0.4956","0.49","0.4707","0.4683","0.4652","0.4458","0.4344","0.4475","0.4705","0.4337","0.4331","0.4597","0.4633","0.4458","0.452","0.4661","0.475","0.4506","0.4585","0.453","0.4639","0.4457","0.446","0.416","0.4846","0.4055","0.4594","0.468","0.4797","0.4711","0.4577","0.4489","0.4527","0.447"
