"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","19.38","18.373","17.158","19.858","19.598","19.317","18.608","19.636","20.74","21.875","20.544","25.063","26.617","26.376","26.185","26.178","25.975","26.164","25.416","25.46","23.63","23.223","21.988","23.976","24.292","23.182","21.919","21.714","19.554","19.059","18.005","17.587","15.504","14.04","14.259","17.543","17.854","17.601","16.519"
"Tangible Book Value per Share","37.872","36.39","35.688","36.729","35.264","34.666","34.245","34.277","36.509","35.072","35.612","37.265","38.259","37.126","36.68","36.065","36.491","36.09","35.526","36.675","35.184","33.094","32.301","32.532","32.274","30.926","30.109","32.055","30.242","29.504","28.32","28.998","27.232","25.094","26.904","29.868","29.326","30.031","27.147"
"FCF per Share","2.26","1.174","3.021","2.583","1.585","1.587","3.106","2.116","1.549","1.246","2.683","2.201","2.046","1.212","2.232","1.199","1.879","0.984","1.818","1.434","1.491","0.819","1.802","1.46","1.625","0.708","1.572","1.538","1.342","1.304","1.103","2.228","1.863","0.672","0.966","1.245","1.298","0.995","1.616"
"Interest Debt per Share","18.8948","19.5803","19.4102","20.4517","19.359","18.3388","17.579","18.1325","13.4912","10.3599","10.6739","11.3808","10.6948","9.9426","8.9901","8.4981","8.6399","8.5892","8.6782","9.1746","9.084","7.4254","7.3663","8.7028","7.8497","7.8974","7.6294","8.0644","7.9454","8.1174","8.0547","8.7151","8.7256","8.7008","9.6955","10.1165","8.5572","8.7502","6.9189"
"Cash per Share","4.4374","3.6332","3.9953","3.8187","2.7813","2.2012","2.9274","2.5862","4.7252","2.8152","2.9729","2.9893","3.2592","2.9539","3.8615","3.4422","4.2749","4.2367","4.1692","4.3709","4.7645","3.3467","3.1641","4.7704","4.7323","3.8609","4.7257","6.2549","4.2295","4.0011","4.2883","4.6087","3.7256","2.3533","2.6685","3.2207","2.2034","3.8599","2.6663"
"Debt to Equity Ratio","0.975","1.0657","1.1313","1.0299","0.9878","0.9494","0.9447","0.9234","0.6505","0.4736","0.5196","0.4541","0.4018","0.3769","0.3433","0.3246","0.3326","0.3283","0.3415","0.3603","0.3844","0.3197","0.335","0.363","0.3231","0.3407","0.3481","0.3714","0.4063","0.4259","0.4474","0.4956","0.5628","0.6197","0.68","0.5767","0.4793","0.4971","0.4188"
"Total Debt To Total Assets","0.3328","0.3518","0.354","0.363","0.3535","0.3377","0.3283","0.3384","0.2713","0.2151","0.2182","0.2241","0.2053","0.1961","0.1791","0.1719","0.1742","0.1744","0.1771","0.1844","0.1892","0.1616","0.1634","0.1918","0.1735","0.1805","0.1808","0.1915","0.1992","0.2062","0.2095","0.2217","0.233","0.2479","0.2605","0.2548","0.2196","0.2309","0.1992"
"Interest Coverage","51.9524","47.8649","30.2545","45.2857","60.129","42.5","40.5135","60.4516","65.6071","64.0","69.25","90.1429","51.1111","60.6429","74.5714","74.9565","54.3871","56.1379","42.0588","48.7941","51.7879","52.1935","38.4","41.2105","39.9512","47.1515","32.9744","38.925","37.5476","33.8095","30.8372","31.1489","24.625","17.9773","26.7857","62.25","43.3636","59.32","-19.1475"
"Current Ratio","2.219","1.985","1.886","1.903","1.577","1.515","1.543","1.651","2.636","2.463","2.063","1.646","1.874","1.713","1.698","1.785","2.207","2.334","2.198","2.198","2.469","2.377","2.25","2.217","2.182","2.143","2.006","2.604","2.371","2.352","2.204","1.942","1.861","1.829","1.644","1.539","1.508","1.69","1.835"
