"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41425.0","41243.0","41060.0","40968.0","40877.0","40786.0","40694.0","40602.0","40512.0","40421.0","40329.0","40237.0","40147.0","40056.0","39964.0","39872.0","39782.0","39691.0","39599.0","39507.0","39416.0","",""
"Book Value per Share","27.795","27.452","27.353","28.097","28.467","28.457","27.041","27.136","28.056","27.848","28.935","29.264","30.053","28.642","26.859","31.774","31.515","30.732","28.176","27.764","25.485","27.358","26.067","24.61","22.973","20.271","19.57","19.015","18.486","19.32","19.103","17.449","17.626","17.207","15.111","13.102","11.675","",""
"Tangible Book Value per Share","44.967","44.101","43.407","44.592","45.79","45.448","44.806","43.728","44.471","43.566","44.543","44.69","44.096","43.225","42.204","37.153","38.125","36.531","34.907","33.057","31.512","31.986","31.252","28.838","27.827","25.395","24.556","23.614","24.584","24.17","24.611","22.756","24.186","25.223","22.403","19.176","17.034","",""
"FCF per Share","0.212","-0.222","0.319","-0.287","1.091","0.086","-0.032","-0.16","1.04","1.364","0.245","0.449","1.556","0.931","1.164","-0.886","1.173","0.498","-0.167","-0.096","1.835","-0.017","0.295","0.365","1.359","0.122","0.54","0.587","0.577","0.602","-0.036","-0.143","0.296","-0.468","0.368","0.844","2.058","0.996","1.048"
"Interest Debt per Share","11.1325","11.2742","10.8967","11.0731","11.0603","10.9815","10.8843","10.7206","10.6446","10.4552","10.3609","10.2021","8.0871","8.0666","7.2051","2.4109","2.5333","2.4254","2.4759","2.5701","3.4973","1.8475","1.865","1.9868","2.9367","2.9912","3.0153","3.0521","3.1604","3.1264","3.132","3.1231","3.1812","3.3553","3.4949","3.7295","3.8153","",""
"Cash per Share","1.8821","1.9267","1.9209","1.8666","3.0283","3.0108","3.6207","3.6266","6.1165","6.8781","6.4196","7.9428","6.3255","6.5857","12.5787","7.8389","8.6786","8.0355","8.9607","7.5268","8.1813","9.0416","8.747","7.5109","8.2086","5.3035","5.6608","5.1478","5.9508","5.845","6.0801","5.6908","6.3282","4.9306","4.417","2.5585","1.452","",""
"Debt to Equity Ratio","0.4005","0.4107","0.3984","0.3941","0.3885","0.3859","0.4025","0.3951","0.3794","0.3754","0.3581","0.3486","0.2691","0.2816","0.2683","0.0759","0.0804","0.0789","0.0879","0.0926","0.1372","0.0675","0.0715","0.0807","0.1278","0.1476","0.1541","0.1605","0.171","0.1618","0.164","0.179","0.1805","0.195","0.2313","0.2847","0.3268","",""
"Total Debt To Total Assets","0.224","0.2311","0.2267","0.2246","0.2188","0.2189","0.2206","0.2219","0.2163","0.217","0.2096","0.2067","0.1654","0.1684","0.1551","0.0582","0.0597","0.0592","0.0631","0.0686","0.0981","0.051","0.0528","0.0603","0.0922","0.1019","0.1058","0.1107","0.1108","0.1114","0.1099","0.1179","0.1137","0.1145","0.1313","0.156","0.1741","",""
"Interest Coverage","3.0522","1.3411","1.2353","1.3569","0.403","9.7395","8.484","8.0289","20.7106","11.3994","13.5065","12.0913","14.4593","9.0487","25.8212","-64.4444","-128.1429","-137.7838","-124.1591","-117.902","-127.8704","-86.878","-207.3659","-142.3529","-107.4675","3591.0","234.375","59.1857","42.7891","35.79","14.2941","9.953","-10.321","11.9146","171.0","159.717","194.0952","28.5304","20.4078"
"Current Ratio","1.783","1.969","2.07","1.778","1.993","2.181","2.024","2.278","2.708","3.24","3.266","3.652","2.699","2.476","2.482","4.831","3.899","3.966","3.432","3.673","3.03","3.788","3.466","3.71","3.121","3.448","3.815","3.906","2.683","3.803","3.273","4.248","3.451","2.34","2.2","1.749","1.577","",""
