"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","14.594","14.822","20.661","22.34","22.586","26.508","27.405","28.56","29.864","30.607","31.049","29.964","29.391","28.579","27.793","26.866","26.79","26.254","25.787","25.586","25.191","24.786","24.364","23.556","23.432","34.747","33.339","32.896","32.17","31.397","30.903","31.214","30.819","30.403","30.343","31.078","28.405","27.742","27.064"
"Tangible Book Value per Share","28.384","28.766","36.489","38.011","38.222","44.867","47.557","50.542","52.158","50.781","52.473","53.693","52.482","51.446","50.461","49.897","48.661","48.843","49.056","48.205","44.936","44.371","43.8","42.2","42.01","71.011","68.21","65.831","64.948","65.418","64.358","62.158","60.779","59.174","58.447","64.829","64.3","58.674","56.1"
"FCF per Share","-0.028","0.369","0.227","0.161","-0.124","-0.503","-0.26","-0.195","-0.679","-1.693","-0.541","0.541","-0.204","0.672","0.243","0.943","-0.304","0.292","0.498","-0.365","-0.559","-0.062","0.859","0.457","1.171","2.494","2.874","0.025","1.079","-0.705","4.739","-0.383","-0.598","-1.056","0.026","0.169","0.517","-1.044","2.699"
"Interest Debt per Share","8.5447","8.5559","8.5595","8.5927","8.5861","9.974","10.7489","12.3456","12.3427","9.4726","9.3988","9.5156","9.5118","9.3218","9.4784","9.4781","9.1493","9.2429","9.7264","9.2635","7.4363","6.7365","6.8395","7.0928","7.0435","11.7314","11.0743","11.1859","11.169","12.0606","12.0339","12.2731","12.1804","12.2837","10.1832","11.9793","11.4797","11.5576","10.158"
"Cash per Share","3.0753","2.9329","2.9305","2.3058","3.0472","2.8384","1.8035","2.4815","2.322","1.6681","3.5421","1.1274","1.7293","2.8341","0.3793","0.5007","0.3465","1.0847","0.9647","0.9504","0.6402","0.7266","0.7003","6.5162","6.6073","8.0394","5.5414","2.3141","2.9042","3.8394","2.9013","1.9358","2.1137","2.6416","1.8212","2.0962","1.7939","1.6771","1.6881"
"Debt to Equity Ratio","0.5855","0.5772","0.4143","0.3846","0.3801","0.3763","0.3922","0.4323","0.4133","0.3095","0.3027","0.3176","0.3236","0.3262","0.341","0.3528","0.3415","0.3521","0.3772","0.362","0.2952","0.2718","0.2807","0.3011","0.3006","0.3376","0.3322","0.34","0.3472","0.3841","0.3894","0.3932","0.3952","0.404","0.3356","0.3855","0.4041","0.4166","0.3753"
"Total Debt To Total Assets","0.2996","0.296","0.2337","0.2253","0.2238","0.2215","0.2252","0.241","0.2336","0.1841","0.1768","0.175","0.1789","0.1787","0.1852","0.1873","0.1853","0.1864","0.1953","0.1892","0.1628","0.1493","0.1535","0.1651","0.1647","0.1608","0.1579","0.165","0.167","0.1789","0.1813","0.1913","0.194","0.2007","0.1683","0.1728","0.1669","0.183","0.1688"
"Interest Coverage","-0.1395","-62.1154","0.6883","-2.3333","-1.5455","-7.3544","-10.5057","-14.2667","-5.7586","-7.9362","15.1034","11.5455","10.0921","28.5306","7.9403","14.0704","15.7612","20.0278","-9.6613","33.6226","25.8772","27.88","28.2","44.4333","125.0769","81.6316","52.0455","79.9375","77.6667","33.3333","15.4576","29.6571","93.9167","34.6875","-17.85","80.6739","144.6364","-143.3333","36.68"
"Current Ratio","2.125","1.208","1.636","2.161","2.716","2.142","1.498","1.355","1.353","0.833","1.049","1.007","1.061","1.11","0.687","0.739","0.819","0.816","0.74","0.595","0.694","0.737","0.734","1.734","1.758","1.339","1.244","1.208","1.21","1.251","1.174","1.168","1.173","1.239","1.084","1.008","0.948","0.981","0.94"
"Income Quality","-3.3669","-0.1202","-0.3319","-1.9063","-1.0706","-0.1818","-0.4439","-0.6622","-1.057","-1.1196","1.2473","4.116","2.0148","1.2794","3.2773","2.891","2.0376","3.9896","3.7422","2.3778","1.9567","2.3333","1.8834","2.6667","1.8253","2.6024","4.0822","1.2371","1.8025","1.8578","5.5211","3.0775","2.9007","2.9752","-47.439","0.8973","2.7881","1.0903","4.4147"
"Payout Ratio","-0.313","-0.009","-0.03","-0.217","-0.25","-0.089","-0.043","-0.189","-0.368","-0.512","0.153","0.328","0.237","0.114","0.352","0.237","0.283","0.315","0.378","0.266","0.304","0.288","0.192","36.579","0.179","0.179","0.253","0.255","0.25","0.375","0.48","0.414","0.414","0.6","-4.0","0.082","0.22","0.233","0.261"
"Intangible Assets out of Total Assets","0.0047","0.0047","0.0037","0.0036","0.0035","0.0035","0.0036","0.0132","0.0128","0.0132","0.0128","0.0125","0.0127","0.0138","0.014","0.0139","0.0142","0.015","0.0149","0.0152","0.0163","0.0165","0.0171","0.0176","0.0176","0.0265","0.0276","0.0287","0.0291","0.0296","0.0302","0.0314","0.032","0.0334","0.0339","0.0647","0.0651","0.0707","0.0678"
"Selling, General and Administrative Expense of Revenue","0.0878","0.1017","0.0691","0.0854","0.1188","0.2649","0.0854","0.0945","0.1097","0.1116","0.0673","0.0539","0.0473","0.0656","0.0761","0.0457","0.0532","0.0428","0.3533","0.043","0.0407","0.0394","0.0767","0.0274","0.0336","0.036","0.0476","0.0365","0.0406","0.0179","0.0167","0.0223","0.0241","0.0283","0.0257","0.015","0.0163","0.0166","0.0204"
