"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","106.528","104.989","106.332","105.091","104.381","103.034","121.339","97.428","95.712","94.876","93.375","93.957","92.993","91.289","86.813","85.284","83.557","81.64","79.704","79.047","76.74","75.297","73.8","75.257","75.66","71.371","70.01","69.572","68.628","67.216","65.652","64.858","65.362","62.495","61.519","58.193","59.161","58.972","60.751"
"Tangible Book Value per Share","760.299","767.583","765.943","785.509","754.813","755.381","885.698","710.741","706.764","718.104","704.902","713.53","666.846","652.374","626.349","625.71","620.766","620.236","620.037","615.421","614.714","602.96","590.827","594.675","605.065","538.947","539.217","545.834","546.159","549.799","551.889","556.136","584.47","557.076","566.166","560.981","567.086","569.579","575.454"
"FCF per Share","2.022","8.187","0.444","2.53","1.15","2.721","3.416","5.055","0.649","3.398","2.284","2.227","-0.861","4.181","2.957","-1.201","-0.849","5.34","0.005","-1.509","0.622","4.15","3.62","3.197","0.715","6.391","3.31","1.73","3.069","5.46","0.699","5.547","2.937","0.583","2.777","3.898","4.497","2.95","3.892"
"Interest Debt per Share","61.1358","53.5704","62.2855","67.0449","68.0338","76.2777","95.9266","78.0221","78.0411","81.0505","69.6352","70.2853","57.7242","49.7758","41.2298","41.5522","42.3396","45.1884","44.3904","44.2042","53.1002","55.8098","59.4487","59.7492","62.989","65.5204","73.6114","86.2339","96.6887","101.36","107.3965","113.1606","128.2427","128.3736","136.7797","139.7652","150.0273","153.3204","151.1906"
"Cash per Share","34.0153","46.1059","34.3409","72.4549","56.9129","63.0814","69.2939","38.1058","32.6835","51.1296","61.7083","72.3469","26.2586","28.4617","28.413","33.73","34.3705","18.1711","20.3547","20.3609","24.2054","25.1058","17.2671","33.6054","33.6497","12.5514","13.0578","17.137","14.0733","13.3185","14.9601","16.403","15.0683","16.0525","19.9142","16.0662","17.1267","3.5612","19.3648"
"Debt to Equity Ratio","0.5739","0.5102","0.5858","0.638","0.6518","0.7403","0.7906","0.8008","0.8154","0.8543","0.7458","0.7481","0.6207","0.5453","0.4749","0.4872","0.5067","0.5535","0.5569","0.5592","0.692","0.7412","0.8055","0.7939","0.8325","0.918","1.0514","1.2395","1.4089","1.508","1.6359","1.7447","1.962","2.0542","2.2234","2.4017","2.5359","2.5999","2.4887"
"Total Debt To Total Assets","0.0773","0.0671","0.0782","0.0822","0.0867","0.0972","0.1041","0.1058","0.1064","0.1088","0.0952","0.0949","0.0832","0.0732","0.063","0.0636","0.0652","0.0697","0.0685","0.0686","0.0825","0.0883","0.0958","0.0956","0.099","0.1151","0.1292","0.1495","0.1675","0.1744","0.1841","0.1925","0.2077","0.2185","0.2292","0.2362","0.2509","0.2552","0.2488"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","0.9357","3.9135","0.3617","1.2907","0.6448","1.6255","1.9937","2.6804","0.3785","2.0946","1.2766","1.2108","-0.3514","2.6502","2.1065","-0.4098","-0.2493","2.738","0.0948","-0.6238","0.4919","2.8635","3.7499","2.5647","0.3114","4.0537","2.2551","1.2481","2.1613","4.7908","0.9444","5.7408","8.2975","1.3486","3.2987","4.9289","3.1898","1.6475","6.7306"
