"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","20.413","21.559","21.6","22.198","22.588","23.431","24.005","29.643","28.964","30.695","28.601","27.453","26.465","26.003","25.582","25.248","24.721","23.782","23.197","22.494","21.924","21.28","20.407","21.418","20.335","19.534","19.566","19.249","18.689","18.376","17.795","17.798","17.512","17.702","17.923","17.355","14.491","14.66","14.061"
"Tangible Book Value per Share","42.977","48.742","48.863","52.253","52.363","54.576","56.009","59.571","57.026","61.2","60.659","56.812","55.274","54.364","52.967","50.799","48.376","47.704","47.525","45.576","45.744","46.237","44.236","42.76","38.759","37.702","35.96","35.409","35.017","33.606","31.934","31.436","32.061","32.616","33.026","32.824","32.494","30.59","29.444"
"FCF per Share","-0.608","-0.118","-0.186","0.609","-0.295","-0.571","0.269","-0.24","-0.935","-1.541","-1.338","-0.878","-0.928","-0.636","-0.396","-0.51","-1.627","-0.282","-0.57","0.39","-1.056","-0.782","-0.958","-0.144","0.176","-0.267","-0.186","0.183","-0.409","0.589","0.769","0.731","-0.188","-0.618","0.849","-0.535","0.523","0.439","0.906"
"Interest Debt per Share","15.1123","16.2297","16.3047","18.2651","18.2977","18.373","18.463","19.1262","15.7933","16.5216","16.8089","15.1878","14.2936","13.9194","12.7187","12.1226","9.8802","10.3994","10.4944","10.5253","11.4438","11.548","11.5169","9.9068","7.946","7.9574","6.4914","6.2686","7.3829","6.7989","5.8873","6.2457","6.9827","6.8121","6.3665","5.9277","5.3808","5.3808","5.4123"
"Cash per Share","1.1441","1.826","2.7442","4.2302","3.0233","2.2214","2.3796","2.4476","3.3023","4.6189","3.277","3.2293","2.6537","3.7611","3.1114","2.6128","1.9666","3.6453","3.8961","4.5421","1.9719","3.2288","4.0871","3.5367","4.3381","4.0313","3.0886","3.2829","2.9057","2.9626","2.9306","2.6763","2.763","2.9393","3.2386","2.8671","2.8576","2.3459","1.9298"
"Debt to Equity Ratio","0.7403","0.7528","0.7548","0.8228","0.81","0.7841","0.7691","0.6452","0.5453","0.5383","0.5877","0.5532","0.5401","0.5353","0.4972","0.4801","0.3997","0.4373","0.4524","0.4679","0.522","0.5427","0.5643","0.4625","0.3908","0.4074","0.3318","0.3257","0.395","0.37","0.3308","0.3509","0.3987","0.3848","0.3552","0.3415","0.3713","0.367","0.3849"
"Total Debt To Total Assets","0.3306","0.333","0.3337","0.3495","0.3494","0.3367","0.3296","0.3094","0.2694","0.2628","0.2695","0.2595","0.2508","0.2482","0.2325","0.2307","0.1971","0.2102","0.2128","0.2222","0.2399","0.2396","0.2493","0.2215","0.1951","0.2005","0.1711","0.1676","0.1986","0.19","0.1725","0.1857","0.2039","0.1957","0.181","0.1693","0.1551","0.1641","0.1709"
"Interest Coverage","-23.4583","1.5517","-5.4302","-2.2674","-5.3846","-4.7342","-19.325","-2.6479","-4.4259","0.2632","11.5932","12.0769","5.4808","6.8936","5.4815","7.9783","16.303","14.88","12.0","10.2222","16.0741","11.9063","-34.9286","47.3571","19.1429","3.3125","-0.6667","15.1905","17.8421","18.15","5.25","6.0","-2.913","-19.7778","29.7059","81.7778","-10.6471","19.5882","17.4615"
"Current Ratio","0.989","0.968","1.323","1.817","1.592","1.303","1.261","1.209","1.232","1.586","1.219","1.017","1.017","1.257","1.115","0.981","0.767","1.032","1.094","1.207","0.948","0.993","1.066","1.061","1.54","1.685","1.293","1.414","1.8","1.589","1.695","1.773","1.952","1.782","1.838","1.358","0.974","0.996","0.959"
