"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","20.494","20.249","20.2","20.924","21.531","21.447","21.451","21.82","22.549","20.972","20.598","20.814","20.522","20.312","20.267","23.402","22.802","28.249","28.02","27.186","26.317","26.675","26.415","28.426","29.416","28.962","27.448","25.269","23.818","23.498","22.279","20.251","18.904","18.583","16.059","14.535","15.524","14.082","13.404"
"Tangible Book Value per Share","39.649","39.479","39.625","45.385","46.563","46.4","47.494","48.301","51.938","51.321","49.952","50.367","50.099","50.275","49.907","54.379","53.778","59.88","60.321","60.098","58.415","59.086","53.483","59.763","58.794","55.191","52.783","50.291","47.096","46.881","46.417","42.773","36.578","35.672","34.641","36.366","37.57","34.94","33.873"
"FCF per Share","0.643","0.363","0.626","1.155","0.931","0.465","-0.283","0.996","0.232","0.684","0.571","0.094","0.243","-0.112","0.02","0.065","-0.654","-0.157","0.053","-0.493","-1.09","-0.177","-0.172","1.025","-0.423","1.206","0.854","1.052","0.898","0.841","1.13","1.329","-0.145","0.117","-0.639","-0.568","-0.161","0.097","0.356"
"Interest Debt per Share","8.6698","8.7","8.6952","9.642","10.5008","10.7793","11.0807","12.0044","12.7699","12.9336","13.3241","13.5797","13.61","13.7072","13.6698","13.2624","13.7594","12.9901","12.8129","12.4662","12.4901","12.5472","8.8342","8.69","8.8485","9.1046","9.1341","9.4451","9.4631","9.4694","10.0103","10.0469","6.1857","6.2966","7.13","7.7026","7.37","6.947","6.4571"
"Cash per Share","5.823","5.4956","5.1927","3.9559","5.47","4.6508","4.4659","5.6024","6.618","5.2079","4.8176","3.5648","3.3158","2.9904","3.1538","2.993","2.5349","2.8017","3.1758","3.1532","3.8665","5.329","3.605","4.3788","3.8084","9.3163","8.3423","8.1515","7.4505","6.9644","6.6923","6.1673","1.1102","3.0742","0.9581","1.8811","2.2819","2.2384","2.7055"
"Debt to Equity Ratio","0.423","0.4297","0.4305","0.4608","0.4877","0.5026","0.5166","0.5502","0.5663","0.6167","0.6469","0.6524","0.6632","0.6748","0.6745","0.5667","0.6034","0.4598","0.4573","0.4586","0.4746","0.4704","0.3344","0.3057","0.3008","0.3144","0.3328","0.3738","0.3973","0.403","0.4493","0.4961","0.3272","0.3388","0.444","0.5299","0.4747","0.4933","0.4817"
"Total Debt To Total Assets","0.2187","0.2204","0.2194","0.2124","0.2255","0.2323","0.2333","0.2485","0.2459","0.252","0.2667","0.2696","0.2717","0.2726","0.2739","0.2439","0.2559","0.2169","0.2124","0.2074","0.2138","0.2124","0.1652","0.1454","0.1505","0.165","0.1731","0.1878","0.2009","0.202","0.2157","0.2328","0.1674","0.1746","0.2058","0.2094","0.194","0.1965","0.1884"
"Interest Coverage","6.375","3.3284","-3.8696","-3.1875","4.9545","4.7703","-1.3239","4.7838","3.7317","5.4235","5.463","2.8652","2.3511","2.914","-20.6957","8.3553","-32.5143","8.6","14.4915","9.8806","7.3944","17.0192","-22.098","14.2923","10.1111","13.6","13.8116","14.5909","10.6377","10.16","17.2364","65.1","13.9565","10.1875","-0.2703","6.6286","7.5429","22.3214","-4.3415"
"Current Ratio","3.243","3.091","2.673","2.805","3.893","3.278","3.519","3.072","2.783","2.17","2.475","2.186","2.377","1.819","1.784","1.603","2.285","2.121","1.893","2.071","2.227","2.37","1.368","1.421","1.715","2.252","2.64","2.522","2.766","2.961","2.509","2.289","1.325","2.133","1.459","1.694","1.762","1.795","1.781"
"Income Quality","2.9718","8.1087","-1.8401","-2.3855","33.7826","10.1154","-1.0709","3.6986","6.0833","3.4153","37.2667","1.5211","2.0833","1.8","-0.3218","1.1055","-0.1399","1.379","1.2643","1.564","1.2437","1.2429","-0.8969","2.5578","1.0646","1.9241","1.0406","1.5903","1.9712","1.3095","1.7885","2.7191","3.142","2.037","57.5","1.0419","1.3653","1.3534","-2.255"
"Payout Ratio","0.152","0.556","-0.077","-0.045","0.75","0.3","-0.06","0.071","0.214","0.081","1.0","0.07","0.083","0.75","-0.084","0.313","-0.085","0.667","0.259","0.473","0.625","0.354","-0.168","0.3","0.256","0.144","0.091","0.138","0.128","0.09","0.088","0.127","0.303","0.25","10.0","0.238","0.167","0.123","-0.154"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0089","0.0104","0.011","0.0","0.0113","0.0108","0.0116","0.0119"
