"","42978.0","42886.0","42794.0","42704.0","42613.0","42521.0","42429.0","42338.0","42247.0","42155.0","42063.0","41973.0","41882.0","41790.0","41698.0","41608.0","41517.0","41425.0","41333.0","41243.0","41152.0","41060.0","40968.0","40877.0","40786.0","40694.0","40602.0","40512.0","40421.0","40329.0","40237.0","40147.0","40056.0","39964.0","39872.0","39782.0","39691.0","39599.0","39507.0","39416.0"
"Book Value per Share","7.299","7.516","7.689","7.399","7.251","7.276","7.222","7.865","7.537","7.39","7.158","6.79","6.395","6.163","6.286","6.376","6.336","6.2","5.954","5.557","5.51","5.662","5.544","5.307","5.212","5.19","5.174","5.205","5.0","5.021","4.836","4.735","4.677","4.487","4.24","4.182","4.095","3.971","3.828","3.756"
"Tangible Book Value per Share","14.134","13.834","13.738","13.348","12.359","12.445","12.081","13.008","11.898","12.32","11.65","10.885","10.427","10.352","9.761","9.726","9.637","9.582","8.434","8.138","7.884","8.162","7.658","7.458","7.404","7.543","7.216","7.221","6.93","7.085","6.625","6.514","6.444","6.498","5.995","5.981","5.841","5.709","5.668","5.471"
"FCF per Share","0.186","0.339","0.486","0.444","0.305","0.56","0.346","0.151","0.101","0.641","0.901","0.371","0.244","0.638","0.291","0.071","0.21","0.66","0.152","0.315","0.235","0.391","0.113","0.197","-0.014","0.376","0.111","0.174","0.064","0.607","0.229","0.3","0.324","0.501","-0.044","0.084","0.135","0.242","0.133","0.261"
"Interest Debt per Share","2.3211","2.3032","2.1161","2.1238","1.2273","1.2097","1.2066","1.2738","0.7061","0.7328","0.724","0.7469","0.7757","0.7818","0.7493","0.7802","0.7722","0.7638","0.1792","0.182","0.1996","0.21","0.201","0.254","0.2727","0.3496","0.3203","0.3128","0.3017","0.3047","0.2914","0.2928","0.2804","0.4192","0.4136","0.409","0.3359","0.3172","0.3311","0.2817"
"Cash per Share","2.0771","2.3068","2.4304","2.6053","1.585","1.8626","1.7873","2.2595","1.8975","2.2402","1.7449","1.3192","1.3262","1.264","1.0525","1.1725","1.6488","1.8671","1.4274","1.2712","1.1873","1.2637","1.101","1.0401","0.8466","1.0308","1.1139","0.9249","1.0403","1.5848","1.1412","1.0447","1.163","1.1826","0.9772","0.887","0.8287","1.0827","1.1274","1.2384"
"Debt to Equity Ratio","0.318","0.3064","0.2752","0.287","0.1693","0.1663","0.1671","0.162","0.0937","0.0992","0.1011","0.11","0.1213","0.1268","0.1192","0.1224","0.1219","0.1232","0.0301","0.0328","0.0362","0.0371","0.0363","0.0479","0.0523","0.0674","0.0619","0.0601","0.0604","0.0607","0.0603","0.0618","0.06","0.0934","0.0975","0.0978","0.082","0.0799","0.0865","0.075"
"Total Debt To Total Assets","0.1613","0.1635","0.1512","0.1561","0.0973","0.0953","0.0979","0.0961","0.0582","0.0583","0.0609","0.0671","0.0727","0.0738","0.0745","0.0779","0.0778","0.0778","0.0206","0.0216","0.0241","0.0249","0.0249","0.0323","0.035","0.0442","0.0423","0.0413","0.0415","0.0411","0.0419","0.0427","0.0413","0.0613","0.0653","0.0628","0.0523","0.0502","0.0559","0.0491"
"Interest Coverage","68.0","65.8889","70.6316","75.2667","184.0","215.6","228.0","195.0","362.25","264.0","175.3333","98.5556","137.5556","115.0","98.7778","90.25","130.75","287.0","-530.0","-574.0","-259.6667","712.0","0.0","208.0","0.0","189.0","0.0","610.0","-754.0","342.5","663.0","246.5","682.0","232.8095","79.4667","-103.12","-69.7129","-59.5888","-34.7594","-21.3203"
"Current Ratio","2.674","2.934","3.074","3.064","2.72","2.804","3.063","3.04","2.888","2.462","2.722","2.842","2.813","2.724","3.392","3.533","3.525","3.44","3.368","3.01","2.949","3.051","3.206","3.01","2.936","2.854","3.227","3.361","3.352","3.258","3.544","3.49","3.368","2.97","3.148","2.888","2.701","2.661","3.026","3.115"
