"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40178.0","39813.0",""
"Book Value per Share","11.745","11.536","11.477","11.891","11.899","12.49","12.212","12.109","12.697","12.846","13.388","14.742","15.173","15.081","15.142","15.006","14.693","14.029","13.592","13.745","13.224","13.201","12.864","12.641","12.932","13.751","10.44","10.215","8.792",""
"Tangible Book Value per Share","8.814","8.489","8.811","8.13","8.028","8.026","7.57","8.301","8.342","8.112","7.785","7.693","7.768","7.504","8.101","8.406","9.345","6.949","7.383","7.359","7.374","7.651","7.741","7.719","8.186","8.568","9.857","10.175","12.511",""
"FCF per Share","0.454","-0.207","1.332","0.989","0.273","-0.061","0.843","0.949","0.423","-0.003","0.696","0.759","0.305","0.034","0.531","0.625","0.281","-0.043","0.571","0.713","0.127","-0.236","0.411","0.551","0.089","-0.314","0.51","0.307","0.235","-0.297"
"Interest Debt per Share","23.8853","23.5479","22.1761","22.283","22.29","21.1848","20.214","20.3913","20.287","19.7942","18.0375","17.3806","17.6219","17.535","17.5494","18.2261","16.61","17.0542","18.1518","18.4522","18.928","18.9979","18.7785","19.5085","20.0339","21.7329","30.9461","31.5985","41.3985",""
"Cash per Share","1.4293","1.2619","2.1096","1.249","0.9631","1.1948","0.9834","0.9795","0.8986","0.9241","0.7229","0.9688","0.8163","0.7942","1.4906","1.9518","3.0724","0.6287","0.794","0.8977","0.7828","0.8174","0.8858","1.1242","1.0424","1.1955","1.5224","1.8766","2.0602",""
"Debt to Equity Ratio","2.0336","2.0412","1.9322","1.874","1.8732","1.6962","1.6553","1.6839","1.5978","1.5409","1.3473","1.179","1.1614","1.1627","1.159","1.2146","1.1305","1.2156","1.3355","1.3424","1.4313","1.4391","1.4597","1.5433","1.5491","1.5805","2.9643","3.0933","4.7085",""
"Total Debt To Total Assets","0.5167","0.5153","0.5039","0.5068","0.5095","0.4914","0.4795","0.4879","0.4832","0.4774","0.4445","0.431","0.4302","0.4295","0.4276","0.4379","0.4302","0.4384","0.4514","0.4608","0.475","0.4716","0.4663","0.4836","0.4834","0.4901","0.5931","0.5928","0.6218",""
"Interest Coverage","3.413","2.2667","4.0233","3.4941","3.3494","2.8228","6.35","3.8354","3.5316","2.3836","3.7465","3.5135","2.8974","2.1818","2.65","3.2308","7.4658","1.6795","1.764","2.63","2.396","1.3113","2.8765","2.2807","1.9474","-1.2571","0.6627","1.0769","1.5438","1.2531"
"Current Ratio","1.408","1.285","1.394","1.02","0.843","1.366","1.131","1.2","1.295","1.436","1.121","1.285","1.322","1.263","1.39","1.246","1.656","0.982","0.957","0.932","1.008","0.98","0.984","1.007","0.995","1.036","1.029","1.014","0.801",""
