"","42946.0","42855.0","42764.0","42673.0","42582.0","42491.0","42400.0","42302.0","42211.0","42120.0","42029.0","41938.0","41847.0","41756.0","41665.0","41574.0","41483.0","41392.0","41301.0","41210.0","41119.0","41028.0","40937.0","40846.0","40755.0","40664.0","40573.0","40482.0","40391.0","40300.0","40209.0","40111.0","40020.0","39929.0","39838.0","39747.0","39656.0","39565.0","39474.0","39383.0"
"Book Value per Share","10.005","10.358","10.363","9.896","8.39","7.814","8.276","8.238","7.736","8.299","8.136","7.673","7.715","7.454","7.833","7.438","7.128","7.822","7.785","7.589","7.195","6.963","6.764","6.545","6.135","5.797","5.453","5.02","4.82","5.044","4.776","4.396","4.111","4.276","4.454","4.573","4.794","4.926","4.7","4.465"
"Tangible Book Value per Share","14.586","14.699","16.401","16.494","12.556","11.797","12.196","11.779","11.407","11.781","11.715","10.951","10.806","10.633","11.094","8.173","7.869","8.595","8.802","8.199","7.922","7.639","7.482","6.751","6.507","6.873","6.576","5.947","5.661","5.85","5.547","5.38","5.109","4.917","5.271","5.75","6.21","5.959","5.9","5.593"
"FCF per Share","1.09","0.385","1.207","0.781","0.326","0.492","0.919","0.448","0.261","0.393","0.759","0.323","0.131","0.256","0.632","0.214","0.02","0.178","0.65","0.22","0.224","-0.062","0.596","0.338","0.098","0.237","0.708","0.33","-0.006","-0.04","0.084","0.226","0.215","0.224","-0.117","-0.121","0.049","-0.102","0.327","0.595"
"Interest Debt per Share","3.4724","3.7331","5.0647","5.6599","2.824","2.8101","2.7963","2.6144","2.6081","2.5574","2.5746","2.5406","2.484","2.4686","2.4149","0.0293","0.0302","0.0297","0.0306","0.0315","0.0327","0.0338","0.035","0.0362","0.0374","0.0386","0.0401","0.0405","0.0414","0.0425","0.0438","0.0449","0.0458","0.0467","0.0477","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","3.33","3.3598","3.1763","3.6059","0.7978","1.0186","1.1037","0.869","0.8041","0.8452","0.9153","0.7202","0.9231","0.9108","2.0242","0.9677","1.0102","0.9101","1.1816","0.8442","0.8071","0.5995","1.0897","0.9337","0.8857","1.1493","1.1404","0.7815","0.6582","0.7886","0.8013","1.1147","0.9582","0.9446","0.7769","0.8482","1.2948","1.4456","1.305","1.9041"
"Debt to Equity Ratio","0.3471","0.3604","0.4887","0.5719","0.3366","0.3596","0.3379","0.3174","0.3372","0.3082","0.3164","0.3311","0.322","0.3312","0.3083","0.0039","0.0042","0.0038","0.0039","0.0042","0.0045","0.0049","0.0052","0.0055","0.0061","0.0067","0.0074","0.0081","0.0086","0.0084","0.0092","0.0102","0.0112","0.0109","0.0107","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.2205","0.2349","0.2861","0.3168","0.2021","0.2123","0.2049","0.1975","0.2022","0.1926","0.1941","0.2022","0.1999","0.201","0.1895","0.003","0.0032","0.0029","0.003","0.0032","0.0034","0.0036","0.0039","0.0043","0.0046","0.0048","0.0052","0.006","0.0064","0.0063","0.0068","0.0071","0.0076","0.008","0.0077","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","46.6","34.5","39.1579","39.8125","27.4167","21.0833","22.1667","21.4167","7.0","15.3333","21.7273","20.0","13.9167","15.8182","23.5085","173.7521","134.756","104.238","57.4991","0.0","0.0","0.0","41.3292","0.0","0.0","0.0","60.4519","0.0","0.0","0.0","42.9943","0.0","0.0","0.0","-418.6429","0.0","0.0","0.0","5184.3704","0.0"
"Current Ratio","7.82","8.256","4.774","4.07","2.558","2.436","2.575","6.823","5.991","6.605","6.376","5.719","6.19","5.873","5.949","4.108","4.192","4.977","4.892","4.463","4.123","4.256","4.199","3.947","3.455","3.564","3.423","3.439","3.242","3.563","3.163","2.653","2.432","2.878","2.784","2.469","2.479","3.136","2.987","3.218"
"Income Quality","1.2093","0.5562","1.1024","0.845","0.7663","1.5337","2.4567","1.0366","6.2692","1.8358","2.2835","1.2486","0.75","1.1022","2.7263","1.367","1.0002","2.2551","2.5924","0.868","1.6875","-0.1524","3.5382","1.371","0.5411","1.2735","2.5323","2.5003","-0.2436","-0.0392","0.5283","1.3136","-1.2831","-0.7059","0.1344","0.6964","-0.6695","0.8215","0.9824","1.701"
"Payout Ratio","0.143","0.163","0.118","0.119","0.245","0.308","0.316","0.222","2.0","0.375","0.257","0.281","0.391","0.375","0.346","0.35","0.438","0.538","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0738","0.0752","0.0734","0.0768","0.1013","0.1088","0.1064","0.1101","0.1158","0.1129","0.1167","0.1284","0.1303","0.1341","0.1295","0.1687","0.173","0.1557","0.1487","0.16","0.1677","0.176","0.1742","0.1947","0.1956","0.1369","0.1465","0.1232","0.131","0.1276","0.1367","0.1437","0.1533","0.1612","0.1543","0.143","0.129","0.1303","0.123","0.1068"
"Selling, General and Administrative Expense of Revenue","0.0888","0.0955","0.081","0.0853","0.1099","0.1218","0.1149","0.1165","0.1292","0.1199","0.0951","0.1004","0.1079","0.1079","0.1014","0.0979","0.1108","0.1138","0.094","0.0833","0.1148","0.1153","0.1058","0.0967","0.1019","0.102","0.0993","0.0992","0.1219","0.0907","0.0898","0.0952","0.0953","0.1789","0.1797","0.1007","0.1035","0.0807","0.0759","0.079"
"Research and Development Expense of Revenue","0.1865","0.2122","0.1813","0.1861","0.2451","0.2651","0.2455","0.2521","0.2775","0.2945","0.279","0.2776","0.3055","0.3028","0.2944","0.3229","0.3395","0.3427","0.2692","0.236","0.2693","0.307","0.28","0.2406","0.2437","0.2407","0.2432","0.2424","0.2597","0.2177","0.2201","0.2192","0.2484","0.4544","0.4402","0.2366","0.2385","0.1897","0.1628","0.1609"
"Working Capital","7038000000.0","7133000000.0","6748000000.0","6266000000.0","3749000000.0","3413000000.0","3702000000.0","4979000000.0","4672000000.0","4949000000.0","4817000000.0","4407202000.0","4508857000.0","4375853000.0","4679215000.0","3063914000.0","2986817000.0","3681039000.0","3799035000.0","3433468000.0","3191891000.0","3084712000.0","2975400000.0","2613387000.0","2357258000.0","2515597000.0","2284268000.0","1991213000.0","1836823000.0","1961687000.0","1696452000.0","1468910000.0","1276584000.0","1318512000.0","1389367000.0","1475634000.0","1679203000.0","1872441000.0","1921668000.0","1899612000.0"
"Tangible Asset Value","8708000000.0","8702000000.0","9119000000.0","8874000000.0","6705000000.0","6335000000.0","6586000000.0","6384000000.0","6171000000.0","6468000000.0","6361000000.0","6001389000.0","6029927000.0","5943954000.0","6311703000.0","4747605000.0","4606042000.0","5301764000.0","5458883000.0","5102866000.0","4903913000.0","4703742000.0","4585762000.0","4098151000.0","3912775000.0","4088139000.0","3836657000.0","3433093000.0","3242545000.0","3317763000.0","3095616000.0","2965913000.0","2792887000.0","2666414000.0","2833782000.0","3126966000.0","3449101000.0","3311438000.0","3286688000.0","3104156000.0"
"Net Current Asset Value","4643000000.0","4845000000.0","4488000000.0","4064000000.0","3247000000.0","2957000000.0","3239000000.0","3125000000.0","2814000000.0","3097000000.0","2930000000.0","2659833000.0","2748653000.0","2576120000.0","2830215000.0","2659115000.0","2525189000.0","3152025000.0","3190716000.0","3072529000.0","2775635000.0","2611377000.0","2498154000.0","2384478000.0","2142602000.0","2207827000.0","1913166000.0","1790003000.0","1685208000.0","1784595000.0","1560052000.0","1317777000.0","1116905000.0","1160856000.0","1211883000.0","1318276000.0","1517085000.0","1678713000.0","1759070000.0","1758717000.0"
"Invested Capital","7761000000.0","7940000000.0","8381000000.0","7938000000.0","5380000000.0","4920000000.0","5149000000.0","6475000000.0","6211000000.0","6525000000.0","6366000000.0","6065035000.0","6032197000.0","5916803000.0","5588495000.0","3216609000.0","3096615000.0","3833097000.0","3768872000.0","3605746000.0","3402572000.0","3408033000.0","3009367000.0","2666600000.0","2442355000.0","2446297000.0","2252003000.0","2188789000.0","2070137000.0","2129306000.0","1888467000.0","1487377000.0","1402841000.0","1477319000.0","1663137000.0","1661248000.0","1594942000.0","1631578000.0","1592558000.0","1191012000.0"
"Average Receivables","928500000.0","749500000.0","665500000.0","684500000.0","579000000.0","489000000.0","489500000.0","549700000.0","491812500.0","425719000.0","450178500.0","505515500.0","443874000.0","371718000.0","440304500.0","446287500.0","431717500.0","379076500.0","395197500.0","408102500.0","432628000.0","377178500.0","342456500.0","385381500.0","407939000.0","436432500.0","361866500.0","398661000.0","373947000.0","417028000.0","346699000.0","502827000.0","515688000.0","478096500.0","492464500.0","580120500.0","593925500.0","561659500.0","592587000.0","495829500.0"
"Average Payables","427000000.0","334000000.0","390500000.0","409000000.0","350000000.0","271000000.0","294500000.0","311548500.0","269313500.0","265504000.0","308695500.0","330690000.0","285949000.0","318633500.0","340409500.0","361774000.0","363760500.0","361918500.0","345750000.0","349104000.0","357531500.0","370936500.0","310605000.0","316356500.0","288927000.0","354517500.0","315332500.0","323150000.0","278009500.0","294427000.0","281695500.0","354391000.0","357435000.0","326984500.0","355481500.0","418522000.0","381136500.0","380950500.0","382087000.0","387094000.0"
"Average Inventory","688000000.0","607500000.0","606000000.0","552000000.0","481000000.0","416000000.0","450500000.0","416540500.0","414217000.0","415640000.0","435382500.0","394200000.0","382857000.0","385438500.0","400116000.0","404651000.0","382732500.0","360152000.0","376382000.0","374292500.0","374548000.0","361835500.0","342911000.0","348707000.0","398069000.0","384551500.0","338099500.0","327727500.0","356721500.0","357699000.0","434254000.0","400815500.0","355747500.0","373692500.0","448177500.0","415065500.0","354292000.0","376380500.0","356600500.0","339850500.0"
