"","43008.0","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","10.932","9.693","9.102","9.166","9.825","9.598","9.915","10.123","10.2","10.834","9.685","11.484","12.097","13.374","14.401","13.92","12.988","11.817","12.139","13.1","12.644","11.994","13.119","12.703","12.333","12.643","12.409","11.886","13.662","12.273","12.633","13.478","12.983","12.416","10.714","11.335","11.484","13.306","12.592","12.517"
"Tangible Book Value per Share","54.145","54.09","54.355","58.343","50.361","47.989","48.51","54.032","47.071","47.688","44.844","49.226","42.628","45.368","45.377","49.723","45.117","44.125","44.986","48.647","43.757","40.575","39.538","41.978","36.148","36.325","36.356","38.105","34.178","28.109","29.14","32.318","27.1","26.456","26.44","31.78","30.495","33.888","33.56","35.967"
"FCF per Share","0.583","-0.737","-0.97","6.569","2.92","0.167","-2.068","6.912","1.868","0.481","-1.119","5.515","0.692","0.75","-1.831","5.286","0.93","0.949","-0.948","4.102","0.365","0.332","-0.169","4.507","0.823","-0.454","-0.76","4.611","0.594","0.226","-0.976","3.988","1.009","0.958","-0.81","3.537","0.838","1.141","-1.715","4.186"
"Interest Debt per Share","21.5212","21.265","21.0766","20.9822","21.2756","21.1731","19.4152","18.8677","18.9971","18.6937","18.6596","18.3323","15.1718","15.7212","15.6434","15.6966","15.7625","15.6646","17.0551","16.8646","16.7989","14.4481","11.704","11.5745","11.4558","11.4296","11.1933","10.5438","10.6873","7.1913","7.2321","7.2538","7.764","7.9062","8.8907","9.888","10.1452","9.6179","9.5995","9.3891"
"Cash per Share","7.9869","7.8799","10.4132","12.7276","8.1873","5.4919","7.2929","10.7539","5.8758","5.5503","6.188","9.6225","3.3354","5.9383","8.0638","10.5319","5.9158","5.4137","7.9256","10.1381","7.3651","6.1084","5.5083","6.4566","3.2225","3.5085","5.324","7.5976","5.6056","1.7387","2.9003","5.0989","1.9223","1.2865","1.3263","3.5306","1.6644","2.8592","2.5387","5.4855"
"Debt to Equity Ratio","1.9687","2.1937","2.3157","2.2892","2.1655","2.206","1.9582","1.8638","1.8625","1.7255","1.9266","1.5964","1.2542","1.1755","1.0862","1.1277","1.2137","1.3256","1.405","1.2874","1.3286","1.2046","0.8921","0.9112","0.9289","0.904","0.902","0.8871","0.7823","0.5859","0.5725","0.5382","0.598","0.6368","0.8298","0.8724","0.8834","0.7228","0.7624","0.7501"
"Total Debt To Total Assets","0.2236","0.2233","0.2223","0.2137","0.2351","0.2405","0.2208","0.2067","0.2256","0.2198","0.2294","0.2123","0.1908","0.1915","0.1915","0.1828","0.1942","0.1973","0.2132","0.2011","0.2145","0.1959","0.1611","0.1557","0.1691","0.1677","0.1659","0.1623","0.1762","0.1352","0.1334","0.126","0.1489","0.1547","0.1777","0.1775","0.1865","0.1649","0.1669","0.1593"
"Interest Coverage","7.7051","9.7201","7.5383","11.2322","8.3365","10.0976","7.6382","11.7919","9.0746","11.7204","8.3807","13.2416","9.9621","11.6703","7.7463","10.8492","7.1822","10.2093","7.4143","9.9939","7.749","11.1045","9.1532","11.8532","9.0603","12.7398","7.5823","10.9459","8.5208","13.592","9.5268","11.3567","8.5769","14.2518","10.4478","13.633","10.453","16.1019","13.752","22.0905"
"Current Ratio","0.905","0.894","0.897","0.908","0.906","0.894","0.815","0.843","0.828","0.837","0.899","0.919","0.864","0.893","0.924","0.949","0.931","0.916","0.969","0.982","0.971","0.922","0.885","0.893","0.88","0.872","0.882","0.925","0.933","0.809","0.85","0.872","0.826","0.828","0.837","0.878","0.865","0.922","0.915","0.936"
