"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","27.514","27.58","28.13","29.186","30.247","31.144","31.883","39.115","43.355","44.337","45.083","55.769","55.102","54.103","53.502","53.105","51.826","50.753","49.391","49.971","48.763","47.774","46.342","44.882","43.254","41.407","39.976","39.038","37.921","36.868","35.829","35.868","34.329","33.858","33.709","33.039","30.614","29.071","27.544"
"Tangible Book Value per Share","54.908","55.561","56.411","54.495","55.51","55.009","56.838","65.566","70.782","69.287","72.552","91.723","89.475","87.166","86.151","86.175","83.687","81.717","79.254","81.024","79.257","75.978","73.965","70.431","67.163","66.513","64.525","58.484","56.957","56.076","54.492","54.551","51.611","50.13","51.288","52.237","50.461","46.729","44.073"
"FCF per Share","1.424","-0.145","0.178","0.071","0.69","-0.216","-0.072","-0.228","-0.927","-2.04","0.564","0.773","0.938","1.136","2.897","1.601","1.617","0.797","3.277","-0.062","0.592","0.435","1.348","1.308","2.102","1.104","1.799","1.727","1.603","1.797","1.857","1.104","0.728","-0.359","1.805","2.338","1.59","2.251","1.405"
"Interest Debt per Share","12.8489","12.8511","12.8489","10.9081","10.9081","9.9601","10.8742","10.9065","10.8447","8.8755","8.8184","10.8205","8.7002","8.6531","8.6085","9.3836","9.4657","9.4648","9.409","9.4105","9.395","7.2412","7.2322","7.2222","5.2271","5.8412","6.2898","3.0927","3.1065","3.1948","3.4448","3.4485","4.2994","3.3815","3.3919","2.1722","2.1612","2.1916","2.1579"
"Cash per Share","2.9009","1.9548","2.9221","4.1627","4.9113","4.1579","5.7533","5.6443","6.6891","7.0313","10.0693","3.7159","3.0435","2.9343","4.2094","4.68","3.8094","2.6567","1.965","4.6423","5.4373","4.6359","4.6576","4.9694","2.453","2.5835","3.1726","2.5965","2.859","2.3339","1.508","1.5171","2.1651","1.3896","2.1942","1.7809","1.8337","1.8152","2.3703"
"Debt to Equity Ratio","0.467","0.466","0.4568","0.3737","0.3606","0.3198","0.3411","0.2788","0.2501","0.2002","0.1956","0.194","0.1579","0.1599","0.1609","0.1767","0.1826","0.1865","0.1905","0.1883","0.1927","0.1516","0.1561","0.1609","0.1208","0.1411","0.1573","0.0792","0.0819","0.0867","0.0961","0.0961","0.1252","0.0999","0.1006","0.0657","0.0706","0.0754","0.0783"
"Total Debt To Total Assets","0.234","0.2313","0.2278","0.2002","0.1965","0.1811","0.1913","0.1663","0.1532","0.1281","0.1215","0.118","0.0972","0.0993","0.0999","0.1089","0.1131","0.1158","0.1187","0.1161","0.1185","0.0953","0.0978","0.1025","0.0778","0.0878","0.0975","0.0529","0.0545","0.057","0.0632","0.0632","0.0833","0.0675","0.0661","0.0416","0.0428","0.0469","0.049"
"Interest Coverage","10.2093","3.4074","-6.9605","-2.9853","-1.6705","-1.0833","-103.3934","-62.625","63.5","-6.9","-211.1053","120.1875","113.0","100.2727","54.2051","91.3448","75.1","65.6765","3.1","62.9444","79.6786","90.9333","84.3226","115.32","109.4444","13.107","77.25","81.52","63.4","49.9189","52.6471","37.9","36.5313","23.5556","27.9667","160.0417","125.0","83.6316","60.7381"
"Current Ratio","1.263","1.202","1.325","1.531","1.703","1.207","1.374","1.418","1.407","1.509","1.683","1.104","1.216","1.331","1.343","1.35","1.319","1.304","1.302","1.52","1.538","1.48","1.452","1.624","1.229","1.128","1.669","1.417","1.516","1.411","1.634","1.327","1.23","1.106","1.169","1.193","1.228","1.249","1.372"
"Income Quality","3.6548","5.5726","-3.364","-2.6971","-8.1223","8.8333","-0.1864","-0.391","4.5739","-2.5734","-0.8397","2.1838","2.0035","1.9403","1.8211","2.2495","2.6573","2.0015","8.3333","1.848","2.4044","1.7736","2.2295","1.7357","1.8393","1.4345","2.3284","2.0344","1.9699","2.093","2.242","1.7713","2.0836","2.1196","5.684","1.3672","1.0205","1.4556","1.7039"
"Payout Ratio","1.152","5.067","-2.171","-2.375","-4.167","7.5","-0.111","-0.219","3.261","-2.571","-0.882","0.465","0.393","0.411","0.312","0.327","0.39","0.381","1.286","0.32","0.329","0.281","0.229","0.212","0.206","0.242","0.255","0.26","0.29","0.252","0.284","0.289","0.393","0.711","0.571","0.115","0.115","0.112","0.145"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.0977","0.0913","0.143","0.1156","0.1321","0.1192","0.1126","0.09","0.0987","0.1005","0.0637","0.072","0.0752","0.0634","0.0668","0.0709","0.0809","0.0665","0.096","0.0658","0.0578","0.0691","0.0746","0.0398","0.0625","0.0763","0.0959","0.0578","0.0608","0.0752","0.0774","0.087","0.0973","0.087","0.071","0.0414","0.0526","0.0525","0.0343"
"Research and Development Expense of Revenue","0.0022","0.0037","0.006","0.0033","0.0106","0.0039","0.0046","0.0015","0.0028","0.0026","0.0093","0.0057","0.0068","0.0048","-0.019","0.0105","0.0127","0.0085","-0.0312","0.0115","0.0166","0.0156","0.0121","0.0064","0.01","0.0145","0.0106","0.0173","0.0149","0.0121","0.0215","0.0136","0.0145","0.0187","0.0323","0.0086","0.008","0.0122","0.0077"
"Working Capital","1684000000.0","1386000000.0","2066000000.0","3023000000.0","3705000000.0","1411000000.0","2560000000.0","3107000000.0","3183000000.0","3519000000.0","5629000000.0","986000000.0","1917000000.0","2709000000.0","2889000000.0","3096000000.0","2625000000.0","2368000000.0","2202000000.0","4075000000.0","4246000000.0","3889000000.0","3595000000.0","4372000000.0","1850000000.0","1200000000.0","5234000000.0","2624000000.0","3127000000.0","2648000000.0","4116000000.0","1994000000.0","1247000000.0","571000000.0","1038000000.0","1556000000.0","1881000000.0","1750000000.0","2329000000.0"
"Tangible Asset Value","41982000000.0","42465000000.0","43109000000.0","41630000000.0","42395000000.0","42018000000.0","43409000000.0","50089000000.0","54369000000.0","53389000000.0","56259000000.0","71510000000.0","70293000000.0","69275000000.0","69443000000.0","69437000000.0","67422000000.0","65824000000.0","64210000000.0","65625000000.0","64283000000.0","61622000000.0","60044000000.0","57244000000.0","54595000000.0","54065000000.0","52432000000.0","47503000000.0","46259000000.0","45531000000.0","44229000000.0","44229000000.0","41835000000.0","40620000000.0","41537000000.0","42589000000.0","41444000000.0","38486000000.0","36519000000.0"
"Net Current Asset Value","-12870000000.0","-13148000000.0","-13184000000.0","-10623000000.0","-10322000000.0","-9992000000.0","-9657000000.0","-9667000000.0","-10059000000.0","-8791000000.0","-7427000000.0","-16918000000.0","-15695000000.0","-15007000000.0","-14748000000.0","-14531000000.0","-14713000000.0","-14730000000.0","-14670000000.0","-13242000000.0","-12600000000.0","-10888000000.0","-10882000000.0","-9389000000.0","-9492000000.0","-9816000000.0","-6889000000.0","-6737000000.0","-6158000000.0","-6406000000.0","-4463000000.0","-6984000000.0","-7290000000.0","-7215000000.0","-7040000000.0","-6032000000.0","-6176000000.0","-5762000000.0","-5101000000.0"
"Invested Capital","43197000000.0","43941000000.0","44333000000.0","41095000000.0","41708000000.0","39624000000.0","40478000000.0","46676000000.0","49736000000.0","47895000000.0","47045000000.0","67528000000.0","65868000000.0","65630000000.0","64555000000.0","64385000000.0","63745000000.0","63522000000.0","62951000000.0","61653000000.0","59606000000.0","55637000000.0","54187000000.0","52071000000.0","48757000000.0","47322000000.0","47140000000.0","41608000000.0","40398000000.0","39790000000.0","39310000000.0","39703000000.0","38154000000.0","36869000000.0","36373000000.0","34844000000.0","33469000000.0","31765000000.0","30077000000.0"
"Average Receivables","4460000000.0","4428500000.0","4418000000.0","4604000000.0","4616000000.0","3952000000.0","4600500000.0","5280500000.0","5873000000.0","5101500000.0","5905500000.0","6183000000.0","6339500000.0","5910500000.0","6095000000.0","6268500000.0","5883500000.0","6123000000.0","5908500000.0","5846000000.0","6027500000.0","6635500000.0","5985500000.0","5382000000.0","5710000000.0","6105500000.0","5337500000.0","5052500000.0","4399500000.0","4357000000.0","4399000000.0","5994500000.0","5619000000.0","4784000000.0","4894500000.0","5733000000.0","5853500000.0","5139000000.0","4695500000.0"
"Average Payables","3475500000.0","3436000000.0","3497500000.0","3559500000.0","3635500000.0","3334000000.0","4149000000.0","4619000000.0","5121000000.0","4645000000.0","5374500000.0","5591000000.0","5685500000.0","5156000000.0","5114000000.0","5587500000.0","5363500000.0","5205500000.0","5006000000.0","5049500000.0","5241500000.0","5299000000.0","4975000000.0","4213500000.0","4491000000.0","4573500000.0","3964000000.0","3605500000.0","3263000000.0","3301000000.0","3294000000.0","4143000000.0","3900000000.0","3523500000.0","3784500000.0","3987500000.0","4031500000.0","3628000000.0","3357000000.0"
