"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","21.32","20.135","19.304","19.881","19.121","18.056","19.656","20.687","20.317","18.957","19.039","20.165","20.161","19.339","18.715","18.287","17.26","16.802","16.521","16.574","16.045","16.02","14.976","15.397","16.163","15.443","14.655","14.568","13.687","13.968","14.006","13.834","13.528","13.03","13.352","14.709","14.86","14.191","13.619"
"Tangible Book Value per Share","62.687","59.84","58.784","59.74","61.064","60.794","59.784","60.619","60.274","57.242","58.13","59.195","58.877","58.038","58.464","57.313","54.228","53.204","52.636","52.848","51.249","50.862","47.942","45.016","44.55","41.372","38.934","38.321","36.784","38.371","39.981","40.675","41.064","41.498","44.765","47.471","49.412","47.964","47.026"
"FCF per Share","0.249","0.515","0.825","-1.949","1.003","1.077","0.737","0.609","0.771","0.227","0.263","0.969","0.356","0.063","0.522","0.122","0.792","-0.017","0.272","0.034","-0.615","-0.487","0.062","-0.092","-0.397","0.278","0.271","0.396","0.899","0.264","0.414","0.469","0.284","-0.061","-0.173","-0.698","0.007","0.187","0.281"
"Interest Debt per Share","24.2868","23.7927","24.139","24.3028","24.065","24.4159","24.3316","24.451","24.1222","23.0206","23.2044","23.1368","23.4292","23.2175","23.7636","23.3815","22.3403","22.1994","22.2665","21.6689","20.7874","19.8417","18.5801","16.866","16.0782","14.795","14.4311","14.3653","14.2434","15.5979","16.6652","17.5104","18.3869","19.3583","20.6193","20.9548","22.1207","21.7787","21.3958"
"Cash per Share","5.3434","5.0182","5.4563","5.0937","5.8846","5.2585","5.7106","5.989","5.5252","4.4064","4.8988","4.6408","3.8871","3.6345","4.9368","4.8262","4.072","3.5633","3.5954","4.9491","4.8312","5.3868","5.8814","5.1737","5.1178","4.6192","5.5821","5.6377","5.2017","5.0869","5.247","4.9456","5.145","5.3013","5.3862","3.8449","4.631","4.7465","5.0478"
"Debt to Equity Ratio","1.1391","1.1817","1.2505","1.2224","1.2585","1.3522","1.2379","1.182","1.1873","1.2144","1.2188","1.1474","1.1621","1.2005","1.2698","1.2786","1.2944","1.3212","1.3477","1.3074","1.2955","1.2386","1.2407","1.0954","0.9948","0.9581","0.9847","0.9861","1.0406","1.1167","1.1899","1.2657","1.3592","1.4856","1.5443","1.4246","1.4886","1.5347","1.571"
"Total Debt To Total Assets","0.3874","0.3976","0.4106","0.4068","0.3941","0.4016","0.407","0.4034","0.4002","0.4022","0.3992","0.3909","0.3979","0.4","0.4065","0.408","0.412","0.4173","0.423","0.41","0.4056","0.3901","0.3876","0.3747","0.3609","0.3576","0.3707","0.3749","0.3872","0.4065","0.4168","0.4305","0.4478","0.4665","0.4606","0.4414","0.4477","0.4541","0.455"
"Interest Coverage","15.4118","14.1437","14.0498","16.3696","20.8221","-13.1782","17.5681","22.387","23.0338","20.3024","19.7565","17.9448","15.273","12.1066","13.2141","12.6095","11.9873","9.6684","9.955","9.5074","12.7139","13.0655","11.7188","9.8498","8.6616","7.157","5.8165","4.4131","3.7266","2.6813","2.5411","1.2519","1.3822","1.4009","2.814","5.1978","5.2517","3.0806","-1.3671"
"Current Ratio","2.13","2.109","2.111","2.121","1.745","1.618","2.067","2.308","2.174","2.089","1.961","2.106","2.197","2.04","1.931","1.944","1.834","1.89","2.128","1.841","","","","","","","","","","","","","","","","","","",""
"Income Quality","1.5408","1.9675","2.8057","-0.459","1.7735","-1.3384","2.03","1.5401","1.5897","1.2585","1.3239","2.0485","1.739","1.0431","2.0209","1.7702","2.6358","1.6264","2.3763","2.0231","1.069","0.3859","1.3467","1.2759","1.388","2.3761","2.2886","3.03","5.1616","4.1786","11.0477","34.9231","12.0453","3.4525","3.0539","0.6886","1.2332","1.2556","2.2834"
"Payout Ratio","0.236","0.273","1.012","0.242","0.175","-0.142","1.673","0.198","0.175","0.206","1.099","0.21","0.244","0.26","1.158","0.23","0.244","0.299","1.389","0.303","0.241","0.196","0.967","0.231","0.182","0.226","0.913","0.273","0.333","0.474","0.692","2.25","2.571","2.571","0.903","0.22","0.209","0.225","1.662"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.0285","0.0322","0.0342","0.0308","0.0307","0.0313","0.0334","0.027","0.026","0.0275","0.0274","0.0277","0.0305","0.0331","0.0321","0.0313","0.0316","0.036","0.0347","0.0357","0.0329","0.0314","0.0296","0.0322","0.0336","0.0405","0.0425","0.0457","0.0486","0.0518","0.0519","0.054","0.0544","0.0552","0.0417","0.0368","0.0383","0.0394","0.0419"
"Research and Development Expense of Revenue","0.0141","0.0144","0.0166","0.0139","0.0138","0.0139","0.0153","0.0119","0.0117","0.0116","0.0122","0.0102","0.0109","0.012","0.0132","0.0132","0.0144","0.0184","0.0166","0.0175","0.0166","0.0151","0.0149","0.0164","0.0196","0.0208","0.0214","0.0236","0.0237","0.0246","0.0226","0.0216","0.0286","0.0263","0.0275","0.022","0.0221","0.021","0.0245"
