"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","36.476","36.128","35.525","34.639","33.694","33.696","33.623","34.091","33.373","32.92","33.224","33.43","32.18","31.983","31.66","31.408","31.38","31.272","30.405","30.685","30.265","30.338","29.732","29.675","29.546","28.823","28.635","28.264","29.145","30.21","27.852","29.741","29.258","28.582","27.186","27.062","26.52","26.113","25.777"
"Tangible Book Value per Share","137.094","136.15","135.838","132.864","132.65","131.136","128.264","127.549","128.398","126.933","126.85","122.636","122.109","121.976","122.748","123.798","122.905","122.263","121.974","118.85","118.475","121.227","122.236","117.908","118.591","116.816","116.815","116.033","118.547","116.709","115.755","114.368","113.924","112.755","112.603","108.022","107.486","104.563","102.571"
"FCF per Share","-0.149","0.705","-0.832","-0.02","-1.398","-0.286","-1.365","-0.348","-0.917","-0.233","-1.131","0.917","-1.315","-0.928","-1.616","0.031","-1.543","-0.876","0.388","0.318","0.279","-0.394","-1.383","0.635","-0.338","0.361","-0.31","-0.156","0.126","-1.24","-1.898","0.292","-0.364","-0.519","-1.017","-2.899","0.986","0.521","-0.712"
"Interest Debt per Share","36.1957","35.9764","36.5069","35.5948","36.6479","35.2434","34.6937","33.7984","34.5","33.348","33.0865","31.7394","33.015","32.451","32.6269","31.7466","32.0294","30.8894","31.1837","31.3598","31.8392","32.7029","34.1179","32.8313","33.4887","33.4192","33.9975","33.9231","34.4826","33.6927","34.4178","30.8","31.894","31.4945","31.975","31.2241","28.0","28.5099","29.226"
"Cash per Share","0.362","0.3366","0.3644","0.477","0.8531","0.7627","0.7241","0.9074","1.1167","0.9287","0.9473","0.928","0.9229","0.8867","1.3179","1.3049","1.3258","1.341","1.7","1.6682","1.591","1.5507","2.1941","1.6625","1.797","1.6944","2.1675","2.359","2.2735","1.8571","3.1267","2.9189","3.9212","3.6758","3.7278","3.8711","3.9073","3.8507","4.0621"
"Debt to Equity Ratio","0.9923","0.9958","1.0276","1.0276","1.0877","1.0459","1.0319","0.9914","1.0338","1.013","0.9959","0.9494","1.026","1.0146","1.0305","1.0108","1.0207","0.9878","1.0256","1.022","1.052","1.0779","1.1475","1.1064","1.1334","1.1595","1.1873","1.2002","1.1831","1.1153","1.2357","1.0356","1.0901","1.1019","1.1762","1.1538","1.0558","1.0918","1.1338"
"Total Debt To Total Assets","0.264","0.2642","0.2688","0.2679","0.2763","0.2688","0.2705","0.265","0.2687","0.2627","0.2608","0.2588","0.2704","0.266","0.2658","0.2564","0.2606","0.2526","0.2557","0.2639","0.2687","0.2698","0.2791","0.2784","0.2824","0.2861","0.291","0.2924","0.2909","0.2887","0.2973","0.2693","0.28","0.2793","0.284","0.2891","0.2605","0.2727","0.2849"
"Interest Coverage","3.4","4.1422","5.0962","3.1706","2.0531","0.6059","1.1162","2.9278","3.6667","0.672","1.8877","6.3218","2.9734","2.7189","1.6066","1.7654","3.7175","3.0057","0.6171","3.5899","2.8295","2.9368","2.0058","2.4148","4.092","2.8249","2.8276","3.1856","3.9714","3.6369","3.0756","3.6092","3.882","2.9669","3.9719","3.6236","3.3405","2.7861","2.5916"
"Current Ratio","0.874","0.915","0.815","0.917","0.922","0.943","0.914","1.004","1.023","0.979","1.079","1.06","0.932","0.959","0.798","0.722","0.737","0.694","0.819","1.029","0.871","0.848","0.836","0.862","0.872","0.704","0.771","0.801","0.737","0.738","0.83","0.831","0.886","0.878","0.818","0.72","0.765","0.733","0.795"
"Income Quality","2.9113","2.7326","1.6777","3.7809","3.5291","10.1682","6.2537","3.5277","1.9378","34.8387","5.5954","2.0678","1.9064","3.3965","6.907","8.5342","1.7988","3.636","-110.0","3.5402","5.2894","3.9957","6.1084","6.635","2.2569","5.4673","3.544","3.6705","2.9369","1.531","0.8498","3.3113","2.2268","3.6929","1.1044","-0.1842","4.1297","4.6339","2.3744"
