"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","21.809","20.162","19.632","20.883","21.783","21.112","21.749","21.954","23.24","21.988","22.464","23.14","25.86","24.201","24.115","23.532","25.069","23.187","23.063","22.154","23.37","22.435","22.002","22.281","24.362","22.483","21.57","20.889","21.334","21.513","22.109","21.555","21.746","19.576","19.683","19.93","22.763","21.08","20.423"
"Tangible Book Value per Share","20.144","18.575","18.041","21.31","21.887","20.529","21.117","20.903","22.065","19.835","20.734","19.602","22.069","19.234","18.924","18.307","19.156","17.854","17.837","17.189","17.329","16.456","16.503","16.525","17.258","15.64","15.42","14.923","14.766","14.577","14.651","15.656","15.684","14.479","15.436","15.262","16.375","15.587","15.567"
"FCF per Share","0.991","0.828","0.824","0.829","1.07","0.874","1.323","1.048","1.0","0.948","0.902","0.977","1.207","1.094","0.812","0.451","1.025","1.012","1.071","0.67","0.975","0.998","0.807","0.453","0.945","1.089","0.729","0.639","0.793","1.354","0.825","1.287","1.344","1.142","0.465","0.847","0.858","1.044","0.959"
"Interest Debt per Share","12.3521","11.2415","10.7638","11.0259","11.495","11.575","11.0054","10.6319","11.1851","11.2538","11.9413","11.5069","13.0885","12.5652","12.2427","11.8934","11.5088","10.995","11.4508","10.8732","10.8675","11.271","11.3191","11.4903","11.4692","10.4758","10.8243","10.899","10.3587","9.6575","9.6485","11.3828","12.6847","12.5034","13.1686","12.1769","12.0096","11.1959","11.1019"
"Cash per Share","2.1774","2.1501","2.2103","3.3037","2.6681","2.7848","3.2825","2.687","2.5197","2.9051","2.8435","2.5921","3.1626","2.8271","2.3823","2.0935","2.1698","2.005","2.2757","1.8085","1.6189","1.3585","1.4964","1.216","0.9917","0.9822","1.0829","0.8603","0.9997","1.5783","1.3244","2.0241","1.6403","1.4282","1.7828","1.3897","1.0852","1.132","1.6008"
"Debt to Equity Ratio","0.5664","0.5576","0.5483","0.528","0.5277","0.5483","0.506","0.4843","0.4813","0.5118","0.5316","0.4973","0.5061","0.5192","0.5077","0.5054","0.4591","0.4742","0.4965","0.4908","0.465","0.5024","0.5145","0.5157","0.4708","0.466","0.5018","0.5218","0.4856","0.4489","0.4364","0.5281","0.5833","0.6387","0.669","0.611","0.5276","0.5311","0.5436"
"Total Debt To Total Assets","0.2624","0.2575","0.2518","0.2412","0.2407","0.2574","0.2441","0.2358","0.2343","0.2477","0.2528","0.2405","0.2455","0.254","0.2491","0.2464","0.2265","0.2316","0.2389","0.2346","0.2252","0.246","0.2486","0.2478","0.2314","0.2301","0.2419","0.2467","0.2327","0.2254","0.2224","0.2558","0.2742","0.2932","0.302","0.2804","0.2546","0.2542","0.2569"
"Interest Coverage","26.3448","35.3958","71.2459","28.3053","18.5267","25.9247","29.6993","25.8429","8.3649","19.3784","20.8125","17.3588","17.8764","19.0722","24.3135","25.0545","15.0429","21.0184","31.7633","23.0174","24.2582","18.6816","14.2687","20.657","15.9575","18.9257","20.4306","21.5865","12.9481","17.87","27.7589","16.554","10.8049","11.1899","17.8333","14.4513","10.2197","11.217","12.491"
"Current Ratio","0.877","0.89","0.885","1.085","1.098","1.094","1.134","1.128","0.995","0.99","0.971","0.908","0.937","0.876","0.894","0.792","0.799","0.886","0.976","0.969","0.88","0.859","0.794","0.827","0.805","0.833","0.801","0.742","0.773","0.923","0.919","0.855","0.709","0.67","0.686","0.656","0.792","0.823","0.856"
"Income Quality","1.665","1.2054","0.381","1.1146","2.1215","1.192","1.3974","1.3602","7.6545","1.6498","1.4481","1.8256","1.7472","1.5749","0.9624","0.6753","2.3424","1.5051","0.9487","0.9844","1.0942","1.5827","1.9692","0.7166","1.545","1.4187","0.8773","0.7958","1.5432","1.8994","0.707","1.3774","2.0219","1.6391","0.4388","1.0287","1.2643","1.5185","1.1774"
"Payout Ratio","0.812","0.698","0.223","0.677","0.944","0.66","0.569","0.71","3.882","0.831","0.753","0.901","0.688","0.638","0.484","0.55","0.909","0.609","0.384","0.56","0.431","0.624","0.898","0.491","0.602","0.475","0.41","0.449","0.64","0.5","0.278","0.396","0.524","0.455","0.238","0.364","0.412","0.402","0.337"
