"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","15.489","14.687","13.729","13.92","13.454","12.963","12.488","12.751","12.566","12.256","11.791","11.759","11.484","10.841","10.362","11.342","10.882","10.639","10.007","10.89","10.395","10.311","9.555","9.278","9.866","9.697","9.249","10.237","9.547","9.391","8.676","8.244","7.36","6.436","6.322","6.394","7.2","7.073","7.26"
"Tangible Book Value per Share","61.732","58.494","56.151","56.274","53.305","51.088","49.472","49.518","48.327","45.725","43.864","43.935","43.031","40.942","40.864","40.923","39.769","39.2","37.806","39.022","37.564","36.869","35.947","35.323","33.884","33.026","32.34","33.584","32.551","31.825","30.259","30.07","28.523","27.244","27.37","27.975","28.34","27.873","27.719"
"FCF per Share","1.518","1.887","0.675","1.123","1.2","1.314","0.154","1.194","1.081","1.277","0.06","0.998","0.597","1.089","0.198","0.961","0.624","1.158","-0.028","0.833","0.667","1.122","-0.036","0.713","0.529","1.007","-0.036","0.718","0.79","0.988","0.085","0.713","0.553","0.778","0.132","0.713","0.676","0.651","0.113"
"Interest Debt per Share","5.8284","5.3622","5.4317","5.4237","4.5743","4.6324","4.6392","4.6382","4.6765","4.3569","3.684","3.6695","3.7348","3.134","3.1155","3.3572","3.4427","3.4357","3.4368","3.427","3.4107","3.4312","4.0186","3.8984","3.044","3.0051","2.9942","2.9854","3.2982","3.2926","3.2858","3.265","3.2522","3.2544","3.2626","3.2644","3.2585","3.238","3.1979"
"Cash per Share","0.2787","0.3705","0.3906","0.285","0.2313","0.3599","0.3844","0.3324","0.4504","0.1727","0.1845","0.1536","0.2133","0.1628","0.1257","0.1685","0.1616","0.1835","0.2984","0.3193","0.2736","0.2573","0.2562","0.2717","0.2326","0.2386","0.243","0.2364","0.2329","0.2345","0.2425","0.2587","0.2401","0.2012","0.0043","0.0099","0.0148","0.0127","0.0085"
"Debt to Equity Ratio","0.3763","0.3651","0.3956","0.3896","0.34","0.3574","0.3715","0.3637","0.3722","0.3555","0.3124","0.3121","0.3252","0.2891","0.3007","0.296","0.3164","0.3229","0.3434","0.3147","0.3281","0.3328","0.4206","0.4202","0.3085","0.3099","0.3237","0.2916","0.3455","0.3506","0.3787","0.396","0.4419","0.5056","0.5161","0.5105","0.4525","0.4578","0.4405"
"Total Debt To Total Assets","0.0922","0.0894","0.0942","0.0938","0.0834","0.0879","0.0908","0.0907","0.0935","0.0952","0.0839","0.0835","0.0867","0.0765","0.0762","0.082","0.0866","0.0876","0.0909","0.0878","0.0908","0.0931","0.1118","0.1104","0.0898","0.091","0.0926","0.0889","0.1013","0.1035","0.1086","0.1086","0.114","0.1195","0.1192","0.1167","0.115","0.1162","0.1154"
"Interest Coverage","13.6613","18.269","15.0863","8.1303","9.2595","12.3129","15.5044","13.1971","15.9026","14.6369","19.2742","15.3909","15.777","19.0449","16.8806","12.3487","16.9967","16.134","12.5523","14.4771","6.4625","13.0408","11.3416","7.2425","12.3556","18.3143","14.6166","13.1379","9.9145","13.4688","13.8697","11.5382","11.1988","12.178","7.4572","-30.6053","9.8192","10.8309","10.5884"
"Income Quality","2.497","2.6368","1.1542","3.5471","3.9419","3.1712","0.4001","2.6245","1.8137","2.6086","0.184","2.0814","1.2972","2.056","0.5067","2.6282","1.2788","2.3399","0.1048","1.9141","3.5978","2.75","0.0101","3.0803","1.4584","1.8559","0.0047","1.8096","2.5224","2.2666","0.2351","1.8044","1.5462","2.3286","0.6949","-0.729","2.2195","1.9273","0.482"
