"","42918.0","42827.0","42736.0","42645.0","42554.0","42463.0","42372.0","42281.0","42183.0","42092.0","42001.0","41910.0","41819.0","41728.0","41637.0","41546.0","41455.0","41364.0","41273.0","41182.0","41091.0","41000.0","40909.0","40818.0","40727.0","40636.0","40545.0","40454.0","40363.0","40272.0","40181.0","40090.0","39999.0","39908.0","39810.0","39719.0","39628.0","39537.0","39446.0"
"Book Value per Share","22.191","20.179","19.659","19.557","19.163","18.563","18.854","18.239","18.766","18.287","18.078","18.312","18.229","18.031","17.746","17.166","16.669","16.169","16.9","17.06","16.609","16.646","16.291","17.259","17.392","16.737","16.311","14.531","14.005","13.921","13.951","13.783","13.564","12.992","13.276","13.816","14.052","13.792","13.289"
"Tangible Book Value per Share","16.337","14.185","14.683","14.087","13.466","12.979","12.899","12.017","11.968","11.586","11.979","12.133","12.213","12.356","11.951","11.08","10.817","10.489","10.882","10.465","9.76","9.924","9.726","10.037","11.376","11.301","10.842","10.9","9.897","9.757","10.25","9.557","9.168","8.794","9.17","9.594","9.765","9.776","9.402"
"FCF per Share","0.388","0.436","1.299","0.592","0.808","0.221","1.026","0.471","0.512","0.295","0.834","0.49","0.408","0.548","0.572","0.819","0.151","-0.008","0.187","0.069","0.618","0.091","0.68","0.348","0.388","0.307","0.154","0.053","0.642","0.357","0.449","0.277","0.248","0.084","0.736","0.158","0.578","0.076","0.741"
"Interest Debt per Share","9.9334","9.6363","9.5524","10.377","9.7098","10.1528","9.0489","9.1304","8.7457","9.0176","9.2638","7.6322","7.9382","8.2585","8.3166","8.3693","8.9991","9.049","8.1948","8.1884","8.0257","8.2581","8.3558","4.5074","5.9648","4.5286","3.611","5.7057","5.2853","4.5082","4.7818","4.9641","4.5148","4.6738","4.3103","4.5974","4.4232","4.8303","4.3585"
"Cash per Share","5.6082","2.6339","3.2796","2.8543","2.2766","1.9086","2.1256","1.7319","1.7003","1.4997","1.5476","1.8082","1.8199","1.9912","1.5414","1.1831","1.008","1.1094","1.4937","1.5003","1.51","1.2799","1.2587","2.2014","3.5131","3.6479","3.5587","2.1365","1.8376","1.5509","1.5391","1.2958","1.3039","1.3921","1.5165","1.5954","1.642","1.5793","1.7155"
"Debt to Equity Ratio","0.4476","0.4775","0.4859","0.5306","0.5067","0.547","0.4799","0.5006","0.466","0.4931","0.5124","0.4168","0.4355","0.458","0.4687","0.4876","0.5399","0.5597","0.4849","0.48","0.4832","0.4961","0.5129","0.2612","0.343","0.2706","0.2214","0.3927","0.3774","0.3238","0.3428","0.3602","0.3328","0.3597","0.3247","0.3328","0.3148","0.3502","0.328"
"Total Debt To Total Assets","0.237","0.243","0.2447","0.2632","0.2523","0.2662","0.2431","0.2551","0.2421","0.2522","0.2535","0.2212","0.2274","0.2341","0.2368","0.243","0.2634","0.2696","0.2411","0.2397","0.2397","0.2417","0.2451","0.1493","0.1866","0.1562","0.1328","0.2064","0.1972","0.1745","0.1825","0.1886","0.1779","0.1903","0.1736","0.1801","0.1694","0.1841","0.1752"
"Interest Coverage","48.658","4.7722","7.263","7.2455","13.1995","6.2028","8.5487","6.3516","6.2814","6.0932","3.0175","5.2597","7.5023","4.4876","3.0677","4.6298","3.1307","2.9742","-2.5516","3.716","4.3892","2.8741","-1.6714","10.2012","9.1927","6.9227","115.0205","4.231","-2.0186","12.0791","16.9647","4.8712","8.7264","4.3825","2.0217","8.8205","7.8349","6.1831","8.8976"
"Current Ratio","2.433","1.859","1.972","2.105","1.923","1.893","1.84","1.937","1.864","1.857","1.789","1.893","1.868","1.813","1.733","1.609","1.609","1.564","1.672","1.616","1.528","1.506","1.475","1.061","1.924","2.128","2.105","1.902","1.798","1.788","1.778","1.66","1.65","1.665","1.609","1.661","1.547","1.571","1.539"
