"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42273.0","42182.0","42091.0","42004.0","41909.0","41818.0","41727.0","41639.0","41545.0","41454.0","41363.0","41274.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40543.0","40453.0","40362.0","40271.0","40178.0","40082.0","39991.0","39900.0","39813.0","39718.0","39627.0","39536.0","39447.0"
"Book Value per Share","26.987","24.037","23.389","24.009","23.031","22.602","22.16","25.171","25.318","24.56","25.513","26.117","29.616","30.256","30.769","30.518","28.827","30.41","50.009","69.385","21.393","21.74","19.705","23.338","24.07","23.267","22.539","22.52","21.3","21.545","21.882","21.736","21.08","20.595","20.74","22.246","22.641","20.088","19.405"
"Tangible Book Value per Share","15.028","32.419","31.257","31.666","22.624","23.903","32.212","24.017","23.611","24.089","23.551","23.584","24.865","25.076","25.91","24.41","24.074","24.39","38.028","52.304","17.784","19.129","17.531","17.736","18.549","16.351","14.861","14.654","13.928","14.699","13.75","13.83","14.015","14.656","14.742","16.231","16.695","16.811","15.38"
"FCF per Share","1.382","-0.712","1.55","1.003","1.965","-0.235","1.766","1.062","1.71","-0.92","1.814","1.248","1.978","-0.124","1.275","1.052","1.636","-0.141","-1.946","0.62","2.246","-0.832","0.617","0.712","1.819","-0.626","0.047","0.802","1.527","-0.227","0.054","1.06","1.329","-0.336","0.559","0.494","1.365","-0.821","0.971"
"Interest Debt per Share","9.3517","24.8879","23.525","24.3181","25.1614","26.7726","25.9027","27.6715","18.1657","18.9284","16.4338","15.5794","14.216","14.9674","12.8743","12.9137","13.5591","12.6855","19.2889","19.8881","12.4769","14.3559","13.3422","13.6928","14.3076","8.241","7.2314","6.8921","7.504","8.8354","8.2906","8.359","9.1229","10.2679","9.7955","10.6214","10.4915","11.5112","10.7705"
"Cash per Share","0.9785","1.3082","1.3112","0.9421","0.958","0.8749","0.6982","0.8041","0.8192","0.7279","0.6039","0.8233","0.9032","1.0759","1.2923","1.1927","1.2524","1.0498","2.051","6.4001","0.6121","0.5623","0.5104","0.5348","0.7014","0.5824","0.4708","0.5798","0.3928","0.4772","0.3437","0.515","0.3909","0.3564","0.4039","0.9562","0.7609","0.6337","0.7189"
"Debt to Equity Ratio","0.3465","1.0354","1.0058","1.0129","1.0925","1.1845","1.1689","1.0993","0.7175","0.7707","0.6441","0.5965","0.48","0.4947","0.4184","0.4232","0.4704","0.4171","0.3857","0.2866","0.5832","0.6603","0.6771","0.5867","0.5944","0.3542","0.3208","0.306","0.3523","0.4101","0.3789","0.3846","0.4328","0.4986","0.4723","0.4775","0.4634","0.573","0.555"
"Total Debt To Total Assets","0.196","0.3833","0.371","0.3777","0.3876","0.4021","0.396","0.3935","0.3092","0.3225","0.2819","0.2712","0.2363","0.2496","0.2172","0.218","0.2349","0.2217","0.2068","0.1668","0.2693","0.2962","0.2854","0.2762","0.2785","0.1942","0.178","0.1705","0.1913","0.2176","0.206","0.2047","0.2237","0.2484","0.2354","0.2444","0.2368","0.2713","0.2651"
"Interest Coverage","12.1423","4.1629","4.4518","6.0496","6.0621","4.6602","-9.8184","5.6181","11.4194","9.1978","5.3838","-6.4795","12.7821","10.9006","11.3395","13.5429","12.2554","5.2706","-17.5507","2.9355","7.3416","5.8","-9.8427","5.3252","7.4365","9.1066","5.4983","10.1073","11.7832","6.6104","5.0756","6.6747","5.8963","3.0958","1.8771","5.5642","12.8764","5.4843","4.8578"
"Current Ratio","1.674","2.033","1.816","2.133","1.972","2.048","1.869","1.981","1.988","2.08","1.765","1.829","1.781","2.163","2.007","1.913","1.907","2.218","1.948","1.754","1.928","2.107","1.929","1.781","1.876","2.213","1.956","1.846","1.894","2.208","2.12","2.015","2.088","2.284","2.071","2.148","2.006","2.075","1.853"
"Income Quality","0.9909","-1.2073","2.3252","1.3284","2.6926","-0.1397","-0.7576","1.8264","2.1563","-1.1694","2.6904","-1.4457","2.5511","0.0211","1.8578","1.4346","2.3764","0.3849","0.7459","2.5669","3.2297","-1.0968","-0.4529","1.7214","3.0098","-0.9533","0.6316","1.6863","2.7296","-0.292","0.6718","3.0719","4.4539","-0.9877","14.6733","1.4933","1.0524","-1.5925","2.306"
"Payout Ratio","0.234","0.708","0.472","0.423","0.418","0.559","-0.127","0.5","0.39","0.508","0.469","-0.306","0.298","0.417","0.313","0.287","0.303","0.92","-0.088","0.71","0.301","0.349","-0.112","0.385","0.294","0.385","0.559","0.339","0.306","0.528","0.6","0.474","0.545","1.0","3.4","0.405","0.12","0.378","0.3"
"Intangible Assets out of Total Assets","0.685","0.5007","0.5071","0.5082","0.6515","0.641","0.5076","0.6584","0.5982","0.5895","0.596","0.5895","0.5867","0.5819","0.5629","0.5879","0.583","0.5738","0.5923","0.5614","0.6161","0.6053","0.6249","0.6423","0.639","0.6147","0.6341","0.6374","0.645","0.6381","0.6584","0.6614","0.6564","0.6454","0.6457","0.6265","0.6231","0.6038","0.6214"
"Selling, General and Administrative Expense of Revenue","0.191","0.2145","0.2113","0.1887","0.1919","0.2102","0.1818","0.195","0.1922","0.2096","0.1499","0.187","0.2125","0.2144","0.1913","0.2063","0.2085","0.2344","0.3467","0.2347","0.1827","0.2028","0.2686","0.1786","0.1741","0.1832","0.2092","0.1665","0.1646","0.188","0.207","0.1895","0.1717","0.185","0.2204","0.1801","0.1621","0.1664","0.1933"
"Research and Development Expense of Revenue","0.0227","0.0253","0.0229","0.0245","0.0221","0.0239","0.0205","0.0223","0.0175","0.0202","-0.0144","0.0162","0.0165","0.0179","0.0153","0.0183","0.0163","0.0189","0.0188","0.0229","0.0221","0.0245","0.0232","0.0226","0.0218","0.0229","0.0213","0.0218","0.0214","0.0243","0.0208","0.0222","0.0199","0.0233","0.0197","0.019","0.0176","0.0184","0.0164"
