"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","22.385","20.561","18.61","19.231","20.42","19.673","18.825","19.193","19.334","18.956","19.182","22.509","22.859","21.98","18.3","19.177","18.581","17.645","14.092","13.531","12.066","11.565","11.158","12.399","13.557","12.439","11.756","12.419","10.939","11.422","11.744","11.321","10.237","9.142","10.624","12.807","14.089","13.35","12.675"
"Tangible Book Value per Share","42.99","40.273","38.69","40.243","43.497","42.742","41.702","43.244","43.093","42.448","41.254","46.85","47.078","46.285","40.543","42.839","41.203","40.775","39.23","38.752","36.464","36.094","34.312","33.872","35.143","34.268","33.702","30.572","28.865","29.32","30.063","31.275","31.68","29.443","32.23","32.823","35.369","34.568","32.087"
"FCF per Share","1.429","-0.214","1.629","2.576","-0.598","0.034","2.447","2.586","1.931","-1.841","1.038","1.85","0.394","0.217","0.933","2.404","1.742","-0.532","1.992","1.752","1.215","-0.194","1.927","1.346","1.037","-0.654","1.42","0.805","1.121","-0.298","1.491","1.834","1.049","-1.041","1.282","1.149","0.82","-0.04","1.24"
"Interest Debt per Share","18.0213","17.196","16.7276","16.5388","19.2135","15.9841","15.9951","16.8143","16.6083","17.0672","14.6245","12.145","12.2342","12.2445","11.991","11.8783","11.844","11.9044","13.0746","13.1019","11.8559","12.029","11.9218","11.7193","11.7735","12.7312","12.4863","9.4914","9.2468","9.5353","10.0188","10.724","12.7718","11.7363","11.9115","12.0245","12.968","13.5635","9.2217"
"Cash per Share","6.1242","5.2471","6.8941","3.4888","6.0324","3.4075","4.8687","3.7492","2.6007","2.7012","2.4994","8.9528","7.1821","9.2375","3.929","5.4651","4.3569","7.074","4.2582","4.5583","3.3391","3.2169","4.7176","4.1297","3.1046","2.4784","4.113","2.8156","2.3568","2.0771","3.1649","2.7227","3.1975","1.6166","3.1088","1.6999","0.8471","0.9461","6.8155"
"Debt to Equity Ratio","0.8051","0.8364","0.8988","0.86","0.9409","0.8125","0.8497","0.8761","0.859","0.9003","0.7624","0.5396","0.5352","0.5571","0.6553","0.6194","0.6374","0.6747","0.9278","0.9683","0.9826","1.0401","1.0685","0.9452","0.8685","1.0235","1.0621","0.7643","0.8453","0.8348","0.8531","0.9472","1.2476","1.2837","1.1212","0.9389","0.9204","1.016","0.7275"
"Total Debt To Total Assets","0.272","0.2737","0.28","0.2671","0.2964","0.2463","0.2522","0.259","0.2566","0.2674","0.2289","0.1959","0.1955","0.1982","0.2147","0.2041","0.2103","0.2212","0.2526","0.2564","0.2437","0.2465","0.256","0.2539","0.2439","0.2707","0.2719","0.222","0.2301","0.2299","0.235","0.2428","0.2885","0.2834","0.2662","0.2623","0.2626","0.2795","0.2391"
"Interest Coverage","26.5","18.72","14.8966","-10.7941","22.129","16.3","14.0645","19.2581","14.1471","15.6897","0.7778","11.3617","11.6458","29.7447","7.7708","6.5417","10.3404","47.3019","4.9273","8.9815","10.2","0.6471","3.6667","9.451","9.5091","7.0377","6.1538","8.7391","9.3261","4.9333","4.6531","6.2979","5.6939","-1.7292","2.918","3.9355","6.6308","3.4531","12.0385"
"Current Ratio","1.609","1.555","1.546","1.439","1.624","1.475","1.43","1.529","1.528","1.484","1.322","1.817","1.821","1.947","1.745","1.862","1.878","2.073","1.729","1.732","1.566","1.523","1.808","1.832","1.846","1.89","1.947","1.79","1.745","1.733","1.672","1.615","1.566","1.453","1.508","1.472","1.494","1.547","1.498"
