"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","20.298","19.365","17.576","18.348","17.991","17.125","15.292","14.927","17.24","17.355","19.224","22.425","23.591","22.434","22.364","21.042","20.05","20.799","20.327","20.156","18.786","19.861","18.158","19.075","21.073","20.275","18.884","19.507","17.769","17.595","17.275","16.544","15.061","13.232","12.822","15.589","17.985","16.593","16.119"
"Tangible Book Value per Share","56.678","55.865","54.719","56.42","56.177","53.877","51.445","52.134","53.553","53.693","54.856","56.765","58.154","56.707","55.715","55.095","54.237","53.755","51.657","50.641","47.453","48.178","45.716","45.515","46.601","44.723","42.632","41.849","39.576","40.881","39.343","38.945","37.388","35.3","35.259","37.418","38.73","37.651","35.364"
"FCF per Share","1.314","1.341","1.11","1.441","1.222","0.806","1.408","0.949","1.278","0.384","1.056","0.969","1.581","0.486","1.516","1.315","0.186","0.02","0.982","0.667","0.539","-0.271","0.725","0.909","0.461","0.082","-0.525","0.886","0.688","0.636","1.151","0.693","0.627","0.182","0.505","0.717","0.029","0.111","0.58"
"Interest Debt per Share","32.7414","32.8116","33.3068","34.4297","34.8475","32.9469","32.1632","33.3169","32.4617","32.496","31.5391","31.2181","31.2857","31.5097","29.8149","30.5838","30.7981","29.2511","24.6785","23.9129","23.4037","22.9239","21.7114","20.9222","20.1476","19.1995","18.1175","16.5306","16.3806","17.6145","16.4296","17.0321","16.5835","16.3896","16.0719","15.7578","14.576","14.5698","13.1412"
"Cash per Share","1.87","1.8178","1.8342","2.1934","1.9846","0.7743","0.5122","0.4761","0.4723","0.4046","0.4308","0.575","0.5906","0.4895","0.467","0.454","0.345","0.381","0.5263","0.3619","0.348","0.3578","0.2978","0.4145","0.2634","0.2828","0.1272","0.2312","0.1564","1.2256","0.1463","0.2115","0.1072","0.1754","0.1023","0.0765","0.0856","0.0669","0.0533"
"Debt to Equity Ratio","1.6131","1.6943","1.895","1.8765","1.937","1.9239","2.1032","2.2319","1.883","1.8725","1.6406","1.3921","1.3261","1.4045","1.3332","1.4535","1.5361","1.4064","1.2141","1.1864","1.2458","1.1542","1.1957","1.0968","0.9561","0.947","0.9594","0.8474","0.9219","1.0011","0.9511","1.0295","1.1011","1.2386","1.2534","1.0108","0.8104","0.8781","0.8152"
"Total Debt To Total Assets","0.4692","0.4764","0.4922","0.4949","0.5025","0.4943","0.5039","0.5157","0.4902","0.4913","0.4666","0.4475","0.438","0.4514","0.435","0.4499","0.4606","0.443","0.407","0.4046","0.4192","0.4036","0.4012","0.3968","0.3729","0.3687","0.3638","0.3372","0.3517","0.3669","0.3531","0.3694","0.3759","0.3924","0.3849","0.3562","0.3185","0.3267","0.3133"
"Interest Coverage","15.8158","14.122","15.6842","11.6744","13.3864","8.5231","14.9286","16.9143","11.975","14.1364","6.6582","15.7556","16.1163","14.5652","11.8929","16.122","16.0976","14.875","17.4571","15.4444","19.1212","16.7838","16.1579","17.5278","17.3333","16.8286","18.1071","19.0345","18.7931","14.9063","15.3333","5.3125","13.3636","12.5429","6.449","10.88","10.3462","10.1277","9.62"
"Current Ratio","1.025","1.34","1.162","1.34","1.328","1.595","1.387","1.285","1.256","1.167","1.14","1.033","1.241","1.253","1.095","1.016","1.008","1.09","1.126","1.12","0.972","1.282","1.028","1.247","1.382","1.352","1.127","1.316","1.293","1.198","1.226","1.13","0.885","0.82","0.772","0.837","1.01","0.915","0.909"
"Income Quality","1.7266","1.8252","1.7882","2.3245","1.7694","1.5534","1.8744","1.6858","2.3377","1.2212","2.6192","1.4948","1.8137","1.1964","2.0338","2.0315","1.2966","1.2072","2.1232","1.7349","1.69","0.9594","1.8833","1.7063","1.3482","0.902","2.1805","1.5809","1.4447","1.5382","2.0853","1.6831","1.8829","1.2034","3.2","1.7746","1.1146","1.2345","1.8576"
"Payout Ratio","0.556","0.581","0.532","0.63","0.536","0.6","0.48","0.507","0.664","0.493","0.619","0.399","0.409","0.428","0.373","0.397","0.4","0.455","0.393","0.382","0.385","0.393","0.357","0.352","0.357","0.382","1.0","0.369","0.372","0.441","0.36","0.377","0.412","0.426","0.585","0.336","0.342","0.388","0.303"
"Intangible Assets out of Total Assets","0.1878","0.1889","0.1914","0.189","0.1898","0.1917","0.194","0.1931","0.1913","0.1882","0.1884","0.1864","0.1859","0.1877","0.1871","0.1895","0.1889","0.1859","0.1481","0.1433","0.1501","0.1518","0.1552","0.1368","0.1375","0.1412","0.1439","0.1464","0.1504","0.1484","0.1545","0.1553","0.1525","0.1549","0.1555","0.1541","0.1536","0.1557","0.157"
"Selling, General and Administrative Expense of Revenue","0.1087","0.1023","0.1029","0.1071","0.1156","0.1092","0.106","0.1046","0.1085","0.1085","0.107","0.104","0.1076","0.1077","0.1103","0.1115","0.1141","0.1167","0.114","0.1103","0.1103","0.118","0.1127","0.106","0.1081","0.114","0.1148","0.1178","0.1195","0.1211","0.1138","0.1241","0.1239","0.1248","0.1228","0.1196","0.1185","0.1258","0.1245"
"Research and Development Expense of Revenue","0.0081","0.0084","0.0087","0.0081","0.009","0.0092","0.0089","0.0086","0.0084","0.0087","0.008","0.008","0.0077","0.0076","0.0086","0.008","0.008","0.0083","0.0089","0.0087","0.0089","0.0085","0.0082","0.0076","0.008","0.0081","0.0088","0.0075","0.0075","0.0074","0.0075","0.0087","0.0084","0.0085","0.0104","0.0084","0.0083","0.009","0.0103"
