"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","62.335","60.829","61.562","61.318","63.287","59.802","56.161","60.228","55.711","56.987","58.374","49.965","47.14","46.958","47.496","54.541","54.096","54.951","46.113","45.686","45.315","46.315","46.028","43.612","40.571","38.515","35.74","35.102","34.19","32.89","30.924","30.207","30.281","30.892","30.985","29.234","25.983","25.87","25.778"
"Tangible Book Value per Share","94.124","91.041","95.781","94.429","100.829","98.142","99.879","98.611","92.148","94.463","99.571","90.909","86.965","85.252","86.475","102.628","100.601","104.366","103.51","101.701","99.746","95.75","93.493","91.906","86.521","83.956","81.366","78.12","76.572","75.564","74.84","73.357","75.122","76.514","76.674","74.134","74.807","71.524","70.647"
"FCF per Share","-1.482","-0.912","0.124","-0.041","-0.841","-2.716","-1.141","-1.302","-1.101","-4.141","-3.571","-2.769","-0.301","-1.72","-1.353","0.072","-1.152","-3.047","-2.139","-2.36","-2.857","-2.548","-1.725","-1.262","-0.964","-2.555","0.293","-0.887","0.52","0.853","0.06","0.778","1.155","-1.285","-1.723","-0.72","0.046","-1.119","-4.665"
"Interest Debt per Share","16.0588","16.0529","19.0118","18.8882","22.3415","22.5926","24.5302","17.953","17.9329","17.906","18.0136","18.6154","18.5944","18.9231","19.0863","20.5123","20.4596","23.3898","30.1609","28.9338","26.7053","21.3963","21.2068","22.251","22.123","22.1171","22.5657","22.0453","21.9926","23.0919","24.1453","25.1246","26.1348","26.9208","25.1147","23.9046","22.3249","23.7723","23.4366"
"Cash per Share","3.8824","3.9","6.6154","5.2412","11.128","9.9506","9.3356","3.8993","1.4698","2.5705","6.9728","3.8462","3.1119","1.7972","2.8273","5.3534","5.0408","3.3356","1.8593","2.7121","2.5829","2.5875","4.5072","1.8108","3.0325","4.4934","0.9642","0.6786","1.7175","0.3013","0.2393","0.4873","0.5643","0.3893","0.4187","0.5657","0.3657","0.1469","0.1035"
"Debt to Equity Ratio","0.2576","0.2639","0.3088","0.308","0.353","0.3778","0.4368","0.2981","0.3219","0.3142","0.3086","0.3726","0.3945","0.403","0.4018","0.3761","0.3782","0.4257","0.6541","0.6333","0.5893","0.462","0.4607","0.5102","0.5453","0.5743","0.6314","0.628","0.6432","0.7021","0.7808","0.8317","0.8631","0.8715","0.8105","0.8177","0.8592","0.9189","0.9092"
"Total Debt To Total Assets","0.1678","0.1733","0.1952","0.1967","0.218","0.2263","0.2412","0.1788","0.1908","0.186","0.1776","0.2006","0.2092","0.2171","0.2158","0.196","0.1994","0.2193","0.2847","0.278","0.2614","0.2179","0.2209","0.2355","0.2483","0.2556","0.2688","0.2731","0.2778","0.2951","0.3114","0.3303","0.3357","0.3398","0.3164","0.3114","0.2883","0.3206","0.3198"
"Interest Coverage","11.1143","-0.587","-0.8261","-0.12","-6.3393","-6.4182","-18.8571","22.7609","-6.413","-1.5","15.5217","14.2609","1.7021","4.8667","-40.3556","4.0889","13.093","3.9608","5.3454","1.5481","-1.3563","8.0921","-3.3996","12.725","9.5734","7.6484","2.0297","5.1831","6.528","9.191","1.4666","0.7152","-1.9608","0.6269","-2.9659","1.1926","7.6635","6.3176","6.3497"
"Current Ratio","1.967","3.088","2.106","2.508","2.566","2.289","2.185","2.095","1.263","1.458","1.662","1.036","0.942","1.246","1.384","1.262","1.448","1.231","1.015","1.593","1.137","1.231","1.311","1.422","1.417","1.776","1.556","1.156","1.213","1.125","1.079","0.817","0.831","0.909","0.701","0.842","0.641","0.673","0.77"
