"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","","",""
"Book Value per Share","34.646","32.903","57.901","-2.636","-3.835","-3.642","-4.668","-3.305","-5.667","-4.919","-5.603","-4.207","-4.819","-4.307","-5.166","-5.522","-6.504","-11.425","-11.753","","",""
"Tangible Book Value per Share","18.525","16.819","27.438","25.989","24.213","24.297","23.49","23.894","21.117","20.105","20.303","18.436","17.722","18.193","18.261","16.439","16.96","16.024","16.633","","",""
"FCF per Share","0.666","-0.096","2.422","2.014","0.084","0.72","1.534","2.102","0.285","-0.649","1.846","0.903","0.38","-0.355","1.572","1.255","-0.046","-0.451","1.2","0.634","0.523","-0.048"
"Interest Debt per Share","41.1397","36.2668","48.2897","20.4813","20.4714","20.5785","20.4278","20.1757","20.1034","18.4265","18.1716","16.0305","15.8756","15.7571","15.8377","15.8709","16.6678","20.6403","20.9385","","",""
"Cash per Share","4.1452","3.7462","8.0349","10.1937","8.0266","8.8507","8.0867","8.8273","6.5149","6.2794","6.9254","5.0882","4.9602","5.7334","6.0444","4.755","4.7922","3.9576","4.9325","","",""
"Debt to Equity Ratio","1.1874","1.1022","0.834","-7.7708","-5.338","-5.6509","-4.3759","-6.1045","-3.5475","-3.7463","-3.2432","-3.8102","-3.2944","-3.6585","-3.0656","-2.8739","-2.5628","-1.8066","-1.7815","","",""
"Total Debt To Total Assets","0.411","0.3939","0.3395","0.5899","0.6173","0.6169","0.6286","0.6145","0.745","0.7088","0.6928","0.6577","0.6874","0.6685","0.6672","0.72","0.7723","0.9847","0.9691","","",""
"Interest Coverage","1.8395","2.1467","1.6966","6.6189","6.5455","6.7692","7.2797","6.9569","5.5769","5.8337","5.8016","6.3459","5.7389","6.1642","4.7484","4.2768","2.485","3.2315","2.4326","3.1974","3.2565","3.301"
"Current Ratio","1.225","1.201","1.234","1.632","1.523","1.544","1.513","1.654","1.64","1.589","1.458","1.359","1.378","1.415","1.313","1.287","1.351","1.178","1.154","","",""
"Income Quality","3.2667","0.7568","-2.5173","2.624","0.4767","1.0467","1.9798","2.5425","0.5975","-0.7446","2.8885","1.4797","0.7887","-0.3153","2.9517","2.6438","0.5931","-0.4442","4.5741","1.6967","1.7519","0.1072"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.8149","0.8173","0.8071","0.2515","0.2699","0.2716","0.2771","0.2723","0.2175","0.2266","0.2259","0.2436","0.2326","0.2282","0.2308","0.2543","0.2141","0.2355","0.2302","","",""
"Selling, General and Administrative Expense of Revenue","0.1558","0.1637","0.1327","0.1561","0.1391","0.1342","0.0908","0.1624","0.1565","0.163","0.0877","0.1564","0.1633","0.1676","0.1688","0.1669","0.1766","0.1622","0.1687","0.1607","0.1654","0.1779"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","599000000.0","521000000.0","632000000.0","1023184000.0","836310000.0","859018000.0","818000000.0","996204000.0","866034000.0","778126000.0","674183000.0","511823000.0","511647000.0","571344000.0","463441000.0","382803000.0","435133000.0","217509000.0","200997000.0","","",""
"Tangible Asset Value","4031000000.0","3870000000.0","4091000000.0","3090545000.0","2893403000.0","2901028000.0","2838000000.0","2935303000.0","2614957000.0","2503125000.0","2551276000.0","2349829000.0","2285805000.0","2363279000.0","2359117000.0","2119371000.0","2081174000.0","1855133000.0","1923911000.0","","",""
"Net Current Asset Value","-10749000000.0","-10266000000.0","-9011000000.0","-1567597000.0","-1754901000.0","-1751724000.0","-1850000000.0","-1693483000.0","-1823620000.0","-1750135000.0","-1853882000.0","-1704344000.0","-1735540000.0","-1673597000.0","-1788594000.0","-1836807000.0","-1772195000.0","-2309503000.0","-2348203000.0","","",""
"Invested Capital","9421000000.0","8757000000.0","7388000000.0","2693987000.0","2780279000.0","2723184000.0","2735000000.0","2805453000.0","2943870000.0","2694788000.0","2492574000.0","2317772000.0","2340605000.0","2288868000.0","2142034000.0","2218081000.0","2299687000.0","2564476000.0","2466342000.0","","",""
"Average Receivables","1551213500.0","1477298500.0","1436500000.0","1168201000.0","1173433000.0","1091011000.0","1070627500.0","1080726000.0","1026892500.0","977439000.0","949730000.0","963949000.0","915778500.0","863897500.0","834789000.0","","","","","","",""
"Average Payables","1271575500.0","1239657500.0","1324500000.0","887650500.0","811779000.0","787593000.0","874193500.0","850797000.0","755028000.0","745869500.0","852096000.0","794514500.0","730116000.0","720158000.0","802318000.0","","","","","","",""
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
