"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","8.862","8.611","8.59","8.58","8.317","8.083","7.712","7.666","7.658","7.399","7.347","7.255","7.243","6.888","6.802","6.622","6.319","6.223","6.15","6.061","5.84","5.852","5.777","5.679","5.78","5.888","5.885","5.979","5.792","6.217","6.244","6.483","6.563","6.566","6.64","6.889","6.659","6.646","6.307"
"Tangible Book Value per Share","12.996","12.442","12.369","12.993","12.199","11.847","11.202","11.557","11.506","10.813","10.856","10.645","10.301","9.625","9.533","9.377","8.992","8.631","8.601","8.812","8.323","8.026","8.1","8.025","7.865","7.711","7.645","7.698","7.167","7.499","7.59","7.772","7.746","7.876","8.251","8.829","8.88","8.617","8.045"
"FCF per Share","0.993","0.901","0.49","1.048","0.807","0.462","0.701","0.572","0.949","0.535","0.422","0.601","0.7","0.346","0.566","0.502","0.667","0.144","0.611","0.467","0.565","0.092","0.591","0.419","0.39","0.031","0.433","0.301","0.212","0.043","0.261","0.41","0.459","0.233","0.649","0.523","0.634","0.659","0.516"
"Interest Debt per Share","0.0074","0.0077","0.008","0.0082","0.0084","0.0087","0.0089","0.0091","0.0093","0.0095","0.0097","0.0099","0.0101","0.0103","0.0106","0.0107","0.0109","0.0234","0.0113","0.0114","0.0116","0.0117","0.012","0.0121","0.0122","0.0123","0.0125","0.0127","0.0128","0.0129","0.0131","0.0131","0.0133","0.0134","0.0135","0.0242","0.0244","0.026","0.0264"
"Cash per Share","2.3897","2.0722","2.0571","2.2917","1.8565","1.6562","1.7254","1.9181","2.3633","1.9604","2.1529","2.1698","2.2849","1.9784","2.0396","2.0611","1.8108","1.6412","2.1007","2.0986","1.8658","1.7538","2.016","1.7406","1.8478","1.9756","2.2226","2.187","2.0269","2.4221","2.5384","2.7877","2.6346","2.4463","2.3943","2.4774","2.3355","2.3036","1.9868"
"Debt to Equity Ratio","0.0008","0.0009","0.0009","0.001","0.001","0.0011","0.0012","0.0012","0.0012","0.0013","0.0013","0.0014","0.0014","0.0015","0.0016","0.0016","0.0017","0.0038","0.0018","0.0019","0.002","0.002","0.0021","0.0021","0.0021","0.0021","0.0021","0.0021","0.0022","0.0021","0.0021","0.002","0.002","0.002","0.002","0.0035","0.0037","0.0039","0.0042"
"Total Debt To Total Assets","0.0005","0.0005","0.0006","0.0006","0.0006","0.0006","0.0007","0.0007","0.0007","0.0008","0.0008","0.0008","0.0009","0.0009","0.001","0.001","0.001","0.0023","0.0011","0.0011","0.0012","0.0012","0.0013","0.0013","0.0013","0.0014","0.0014","0.0014","0.0015","0.0015","0.0015","0.0014","0.0015","0.0015","0.0014","0.0024","0.0024","0.0026","0.0028"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","1.872","1.899","1.889","2.047","2.107","2.106","1.827","2.083","2.105","2.166","2.123","2.107","2.193","2.209","2.188","2.113","2.092","2.157","2.122","2.074","2.097","2.213","2.128","2.079","2.196","2.342","2.379","2.398","2.51","2.615","2.514","2.656","2.748","2.658","2.502","2.422","2.239","2.352","2.366"
"Income Quality","1.6754","1.5728","1.0498","1.6918","1.4049","0.9409","1.2627","0.9702","1.582","1.0842","0.986","1.0997","1.3962","0.9622","1.4676","1.2225","1.6176","0.4992","1.6705","1.3175","2.0312","0.4803","2.2675","1.6253","1.8924","0.7097","3.0016","2.4481","2.9936","1.7132","3.1523","7.4369","16.1293","5.7857","3.0121","1.4973","1.65","1.6741","1.4113"
"Payout Ratio","0.375","0.381","0.361","0.31","0.31","0.338","0.278","0.27","0.294","0.339","0.286","0.281","0.321","0.4","0.327","0.327","0.348","0.39","0.357","0.357","0.455","0.441","0.467","0.452","0.56","0.778","0.765","0.929","1.625","2.6","1.333","2.0","4.0","2.0","0.423","0.262","0.234","0.244","0.217"
"Intangible Assets out of Total Assets","0.118","0.1202","0.1201","0.1143","0.1202","0.1223","0.1275","0.1154","0.1153","0.1211","0.1211","0.123","0.1265","0.1335","0.1351","0.137","0.1414","0.146","0.1474","0.1361","0.142","0.1451","0.1444","0.1448","0.1464","0.1477","0.1491","0.1474","0.1554","0.149","0.1478","0.1431","0.1431","0.14","0.1341","0.1261","0.125","0.1274","0.1346"
"Selling, General and Administrative Expense of Revenue","0.3116","0.3109","0.3118","0.3034","0.3032","0.3056","0.3033","0.2977","0.2998","0.3036","0.3009","0.2997","0.3046","0.3102","0.3129","0.3103","0.3116","0.3134","0.3087","0.3107","0.3338","0.3171","0.3241","0.3248","0.3318","0.3334","0.3333","0.3328","0.3478","0.3468","0.3471","0.3428","0.3401","0.3365","0.3383","0.3225","0.3212","0.3217","0.3229"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","627663000.0","613322000.0","604338000.0","763897000.0","739933000.0","724884000.0","542448000.0","719203000.0","733635000.0","708584000.0","699921000.0","690600000.0","693029000.0","649771000.0","636675000.0","614286000.0","584204000.0","577320000.0","563048000.0","572182000.0","544347000.0","551638000.0","533677000.0","521594000.0","541882000.0","564203000.0","563400000.0","565955000.0","539964000.0","559852000.0","555666000.0","599454000.0","605851000.0","605557000.0","620047000.0","664816000.0","639168000.0","651459000.0","611686000.0"
"Tangible Asset Value","1619490000.0","1561915000.0","1564507000.0","1658053000.0","1568630000.0","1531529000.0","1457957000.0","1517280000.0","1524487000.0","1439026000.0","1447779000.0","1426939000.0","1387556000.0","1302613000.0","1288882000.0","1272726000.0","1226413000.0","1185088000.0","1177676000.0","1215317000.0","1153444000.0","1118762000.0","1122363000.0","1119055000.0","1111151000.0","1100034000.0","1083978000.0","1094890000.0","1025580000.0","1081627000.0","1093807000.0","1136446000.0","1134410000.0","1156781000.0","1222468000.0","1331807000.0","1357586000.0","1331873000.0","1255155000.0"
"Net Current Asset Value","615352000.0","601655000.0","592862000.0","716522000.0","694612000.0","680290000.0","530734000.0","674576000.0","688909000.0","663626000.0","655874000.0","660075000.0","661035000.0","616132000.0","601900000.0","590294000.0","552526000.0","543180000.0","525425000.0","533989000.0","505625000.0","513592000.0","495347000.0","488407000.0","509959000.0","534005000.0","532247000.0","536781000.0","512174000.0","532176000.0","538909000.0","583306000.0","589846000.0","590083000.0","604937000.0","647411000.0","621471000.0","634193000.0","593389000.0"
"Invested Capital","603174000.0","620138000.0","625417000.0","636972000.0","662822000.0","663215000.0","578991000.0","602489000.0","548788000.0","571702000.0","538597000.0","513491000.0","500253000.0","498727000.0","478693000.0","442509000.0","446034000.0","463864000.0","389949000.0","394822000.0","400150000.0","421026000.0","371682000.0","394618000.0","398571000.0","399515000.0","362160000.0","380922000.0","379714000.0","387528000.0","362937000.0","368626000.0","403900000.0","434233000.0","456857000.0","494264000.0","488447000.0","498033000.0","501326000.0"
"Average Receivables","720343000.0","717398500.0","703934000.0","737199000.0","709611000.0","697814500.0","681158000.0","694339500.0","652114500.0","624250000.0","604790500.0","611591000.0","587255500.0","567374500.0","532378500.0","561333500.0","544579500.0","535476500.0","503089500.0","536318500.0","513614500.0","494996500.0","458251000.0","471908500.0","440011500.0","420010500.0","392783500.0","396151500.0","379331000.0","392798000.0","423600000.0","475647500.0","502669000.0","517367000.0","538988500.0","607508000.0","611445500.0","591865500.0","562496500.0"
"Average Payables","139421500.0","128167000.0","141824000.0","145646000.0","152039500.0","140364000.0","161607500.0","138826000.0","140703500.0","139819000.0","157395000.0","143360500.0","127995000.0","132854500.0","139781000.0","142984500.0","125594500.0","119010000.0","128737500.0","131399500.0","117339500.0","110524500.0","105643000.0","113916500.0","103801000.0","102347500.0","97650000.0","105600000.0","95925500.0","102594000.0","106627500.0","112826000.0","111597000.0","112282000.0","109857500.0","120222500.0","122012500.0","109579000.0","103777000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
