"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","-16.349","-15.832","-16.271","-13.395","-12.848","-13.003","-13.542","-13.35","-8.798","-8.022","-5.118","-2.306","1.235","3.082","2.78","3.507","3.412","5.483","5.156","3.62","3.958","2.329","-0.103","0.057","1.005","1.862","2.761","3.241","3.439","4.801","5.131","5.467","5.869","5.51","5.582","3.607","1.213","3.004","3.184"
"Tangible Book Value per Share","30.792","30.499","30.195","33.746","29.151","28.769","28.397","28.778","28.883","27.866","28.282","30.208","27.324","28.859","26.446","27.072","26.593","26.48","27.493","32.728","22.027","21.917","17.968","18.68","19.066","16.918","16.543","17.31","17.296","15.797","16.062","16.852","15.849","14.973","15.296","19.458","16.209","14.113","14.299"
"FCF per Share","1.632","1.128","1.571","1.01","1.403","0.866","1.126","0.907","1.14","0.854","0.845","0.706","1.045","0.995","0.693","0.639","0.784","0.455","0.51","0.514","0.489","0.37","0.296","0.205","0.304","0.289","0.345","0.211","0.393","0.216","0.344","0.432","0.377","0.354","0.259","0.41","0.345","0.243","0.312"
"Interest Debt per Share","71.4561","71.5923","71.5387","72.4798","67.7946","67.563","67.0879","66.7363","64.098","61.6209","60.8826","58.507","53.1919","53.4362","45.764","44.1672","44.171","42.2156","42.2929","43.6032","33.0486","32.0398","30.6477","30.2925","29.5962","26.2638","24.6167","24.5975","24.2719","21.3575","21.2876","21.4972","20.41","19.9524","20.5262","26.3303","22.9159","17.9314","17.9763"
"Cash per Share","1.6024","1.3457","1.491","5.7598","1.274","1.024","1.1382","0.9441","0.9076","0.8033","0.7123","3.8477","1.1173","2.7857","1.3193","1.8647","1.7682","1.1736","2.0594","12.0285","0.8544","4.8732","0.6357","1.8509","2.686","1.0944","0.8159","1.9813","2.2135","1.2413","1.6387","2.6771","1.8021","1.0709","1.0078","4.4366","2.2638","1.5002","1.0179"
"Debt to Equity Ratio","-4.3706","-4.5219","-4.3968","-5.411","-5.2768","-5.1959","-4.9539","-4.9992","-7.2857","-7.681","-11.8959","-25.3685","43.0609","17.3396","16.4627","12.5958","12.9464","7.6995","8.2024","12.0446","8.3495","13.7543","-296.516","530.1161","29.4397","14.1028","8.9163","7.5889","7.057","4.4484","4.1488","3.932","3.4776","3.6208","3.6775","7.3006","18.8897","5.9683","5.6463"
"Total Debt To Total Assets","1.1874","1.1876","1.1922","1.1409","1.1407","1.1493","1.1558","1.1474","1.0651","1.058","1.0025","0.9668","0.9067","0.8817","0.8663","0.8578","0.87","0.8316","0.8096","0.8722","0.8364","0.8736","0.9301","0.9252","0.9002","0.8669","0.8316","0.8243","0.8176","0.7648","0.7512","0.7484","0.734","0.7421","0.7457","0.8346","0.8982","0.8081","0.799"
"Interest Coverage","1.1594","1.5235","1.1336","0.8358","1.4125","1.6628","1.3907","-0.8709","1.3853","0.024","1.0559","0.819","0.907","1.0405","0.7015","1.2993","0.5479","0.7004","0.3444","0.2489","0.168","0.6404","0.5111","0.4364","0.4622","0.3689","0.2628","0.3587","-0.5949","0.2841","0.1634","0.0072","0.3164","0.5053","1.1559","0.2567","0.2161","0.3251","-0.1404"
"Current Ratio","0.322","1.318","0.372","1.162","0.362","1.212","1.075","1.162","1.097","1.135","0.987","0.501","0.234","0.682","0.46","1.544","1.654","0.4","0.45","2.26","0.288","5.307","1.02","1.961","2.73","1.442","1.124","1.793","1.933","1.325","1.492","3.105","2.546","1.751","1.703","5.102","3.932","3.189","2.799"
