"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","13.071","12.711","12.347","11.684","11.339","10.986","10.192","10.027","9.454","9.267","9.272","8.718","8.507","8.249","8.136","7.757","7.547","7.626","7.503","7.424","7.151","6.549","6.084","6.229","5.565","5.374","5.188","5.054","4.92","4.774","4.373","4.216","3.978","3.721","3.51","3.509","3.372","3.073","3.212"
"Tangible Book Value per Share","163.863","168.936","166.926","157.066","148.761","143.527","138.629","128.407","123.437","120.98","120.336","110.93","108.096","108.76","111.402","107.026","104.337","102.801","103.357","91.143","86.615","86.412","84.437","82.535","80.117","78.088","76.569","72.672","68.424","65.496","64.572","58.002","53.218","47.033","44.207","45.105","41.449","37.984","35.939"
"FCF per Share","0.567","-0.31","1.214","-0.473","1.326","-0.322","0.631","0.769","0.379","-1.037","0.605","0.64","0.244","0.012","0.594","0.46","0.365","-0.325","0.667","0.45","-0.286","0.044","0.323","0.028","0.476","1.048","-0.415","0.116","0.703","-0.52","0.608","-0.383","0.784","0.11","0.565","-0.462","0.056","-0.319","0.453"
"Interest Debt per Share","2.8535","3.0823","2.1624","4.4388","5.9576","2.7835","2.1878","2.1983","2.2024","2.2066","1.4918","1.4438","1.4478","1.4508","1.4914","1.4691","1.2655","1.2722","1.277","1.3929","1.5691","1.5711","1.5781","1.629","1.6562","1.6611","1.6717","1.6817","1.0946","1.1019","1.3034","1.3035","1.3448","0.7059","0.7632","0.7608","0.7643","0.7791","0.7737"
"Cash per Share","20.9701","23.1707","24.8135","23.0423","23.8797","23.2528","24.0122","20.9795","20.4726","21.6425","25.2506","21.6398","19.7449","21.1449","24.5149","23.8287","25.8113","26.3869","32.1847","26.3247","24.1852","26.4721","27.3762","27.1644","25.0479","23.7109","23.0667","21.5804","23.7515","21.7172","22.9431","21.9733","21.4534","19.4239","17.3959","16.4741","12.6456","13.6885","13.3967"
"Debt to Equity Ratio","0.2183","0.2425","0.1751","0.3799","0.5254","0.2534","0.2147","0.2192","0.233","0.2381","0.1609","0.1656","0.1702","0.1759","0.1833","0.1894","0.1677","0.1668","0.1702","0.1876","0.2194","0.2399","0.2594","0.2615","0.2976","0.3091","0.3222","0.3327","0.2225","0.2308","0.298","0.3092","0.3381","0.1897","0.2174","0.2168","0.2267","0.2535","0.2409"
"Total Debt To Total Assets","0.0173","0.0181","0.0129","0.0281","0.0398","0.0193","0.0157","0.017","0.0177","0.0181","0.0123","0.0129","0.0133","0.0132","0.0132","0.0136","0.012","0.0122","0.0122","0.0151","0.0179","0.0179","0.0184","0.0195","0.0205","0.0211","0.0217","0.023","0.0159","0.0167","0.02","0.0223","0.0251","0.0149","0.0171","0.0167","0.0182","0.0203","0.0213"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","1.5906","-0.6362","3.5314","-1.1681","4.6601","-0.9413","2.3598","2.989","1.7212","-4.4845","2.614","3.1635","1.4305","0.217","2.798","2.344","2.2833","-1.8586","4.7249","2.542","-1.2644","0.5026","2.773","0.4273","2.584","5.3621","-3.7899","1.3387","4.2195","-98.1667","4.4939","-2.03","4.6195","0.7294","2.3182","-1.6053","0.3322","-1.0557","1.8766"
