"","42945.0","42854.0","42763.0","42672.0","42581.0","42490.0","42399.0","42308.0","42217.0","42126.0","42035.0","41944.0","41853.0","41762.0","41671.0","41580.0","41489.0","41398.0","41307.0","41209.0","41118.0","41027.0","40936.0","40845.0","40754.0","40663.0","40572.0","40481.0","40390.0","40299.0","40208.0","","","",""
"Book Value per Share","34.116","37.348","36.195","30.356","37.353","39.417","38.792","35.876","36.038","36.149","35.174","33.07","33.591","33.089","32.2","29.865","29.547","29.016","28.943","26.709","25.557","26.406","26.225","24.892","24.556","23.746","22.611","21.113","20.946","20.464","19.922","","","",""
"Tangible Book Value per Share","84.326","81.31","82.314","75.52","69.458","69.69","69.982","67.768","64.189","64.297","65.682","64.992","62.268","49.997","50.281","46.836","45.045","45.722","46.199","42.697","40.182","40.763","41.555","38.981","37.63","37.161","36.031","36.736","35.53","35.216","35.325","","","",""
"FCF per Share","4.757","0.009","3.416","-0.584","1.726","0.955","3.788","-2.444","1.099","0.301","3.155","-3.544","0.607","0.568","2.658","-1.673","-0.212","0.271","2.226","-0.779","0.564","0.18","2.149","-1.312","0.711","1.073","1.284","-0.966","0.728","2.08","","","","",""
"Interest Debt per Share","25.779","21.1909","20.4797","21.9456","20.3515","18.0865","17.474","19.9067","17.8206","17.3775","18.2891","19.9387","17.6508","0.1101","0.2425","0.5757","0.0212","0.0705","0.0","0.0","0.0","0.0","0.0","0.3893","0.1518","0.3252","0.3615","3.1127","2.9699","3.2311","3.7901","","","",""
"Cash per Share","1.8668","1.464","1.4346","1.1252","1.5396","1.4377","1.7452","0.9735","2.005","1.5325","2.423","1.0964","2.6909","3.1176","3.1106","1.0989","2.6513","3.2636","3.7391","2.0621","2.8753","4.6667","5.6015","4.051","5.1008","4.5772","3.5229","4.8423","5.6755","5.2285","3.6977","","","",""
"Debt to Equity Ratio","0.7556","0.5674","0.5658","0.7229","0.5448","0.4588","0.4505","0.5549","0.4945","0.4807","0.52","0.6029","0.5255","0.0033","0.0075","0.0193","0.0007","0.0024","0.0","0.0","0.0","0.0","0.0","0.0156","0.0062","0.0137","0.016","0.1474","0.1418","0.1579","0.1902","0.1884","0.1733","0.2192","0.3526"
"Total Debt To Total Assets","0.2605","0.2232","0.2136","0.2486","0.2491","0.2212","0.2133","0.2495","0.2339","0.2275","0.2352","0.2578","0.2353","0.0022","0.0048","0.0122","0.0005","0.0015","0.0","0.0","0.0","0.0","0.0","0.01","0.004","0.0088","0.01","0.0847","0.0829","0.091","0.1064","0.1046","0.1072","0.1275","0.1921"
"Interest Coverage","10.0444","9.1508","30.7077","2.5276","10.0756","17.9661","32.4876","2.8718","9.0811","16.0182","41.9873","0.8492","6.0949","83.7222","225.5","57.3333","105.5","158.6667","243.3636","58.3333","158.4286","143.7778","162.6","106.25","40.92","131.8889","4.1356","2.8462","10.1167","9.5172","-0.7973","5.6951","4.569","",""
"Current Ratio","2.399","4.437","3.857","3.412","3.853","4.301","3.986","3.527","4.412","4.336","3.692","3.012","3.467","4.06","3.617","3.576","3.978","3.638","3.482","3.482","3.74","3.87","3.516","3.638","3.971","3.759","3.576","2.819","4.017","3.903","3.84","3.85","4.171","3.405","3.273"
"Income Quality","4.1432","0.808","1.1028","3.4932","2.3785","0.7793","1.3042","-8.1267","2.3087","0.564","1.3474","160.0769","1.9034","0.7609","1.4692","-2.3929","0.1988","0.4913","1.2369","-0.4756","1.1711","0.4121","1.3512","-3.0077","1.3092","1.3966","1.1973","-9.6167","1.8191","3.662","-6.2184","3.5145","7.5285","",""
"Payout Ratio","0.231","0.301","0.066","1.3","0.245","0.139","0.064","1.158","0.282","0.295","0.126","-9.0","0.247","0.149","0.068","0.357","0.179","0.132","0.057","0.279","0.14","0.125","0.055","0.333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","",""
"Intangible Assets out of Total Assets","0.1479","0.1435","0.1417","0.1444","0.1497","0.1478","0.1459","0.1505","0.1574","0.1582","0.1555","0.1595","0.1701","0.0067","0.0067","0.0062","0.0064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.008","0.0078","0.0079","0.0087","0.0086","0.0083","0.0081"
"Selling, General and Administrative Expense of Revenue","0.2922","0.3226","0.2711","0.3258","0.3027","0.2931","0.287","0.3247","0.321","0.2961","0.2787","0.33","0.3093","0.294","0.2723","0.3026","0.2846","0.2888","0.2715","0.3108","0.2814","0.2939","0.2576","0.3091","0.2815","0.2973","0.265","0.314","0.283","0.2961","0.3227","0.2867","0.3053","",""
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","",""
"Working Capital","2532800000.0","3491900000.0","3438900000.0","3220000000.0","3263800000.0","3485400000.0","3437000000.0","3207600000.0","3287100000.0","3310400000.0","3210300000.0","2850800000.0","2895000000.0","2436500000.0","2356900000.0","2171000000.0","2186000000.0","2162400000.0","2164200000.0","1992000000.0","1975400000.0","2135000000.0","2158300000.0","2016200000.0","1999300000.0","1931800000.0","1831300000.0","1667400000.0","1880200000.0","1834000000.0","1814300000.0","1679100000.0","1683500000.0","1617100000.0","1675900000.0"
"Tangible Asset Value","5380000000.0","5537200000.0","5663200000.0","5550700000.0","5355200000.0","5477600000.0","5521600000.0","5374000000.0","5115900000.0","5143800000.0","5248000000.0","5192900000.0","4975200000.0","3994800000.0","4002400000.0","3742200000.0","3617100000.0","3694300000.0","3719000000.0","3437100000.0","3319000000.0","3485200000.0","3611400000.0","3364100000.0","3247500000.0","3199600000.0","3089800000.0","3147600000.0","3038700000.0","3011400000.0","3020700000.0","2847400000.0","2711300000.0","2796100000.0","2930000000.0"
"Net Current Asset Value","818300000.0","1198300000.0","1146900000.0","910400000.0","989800000.0","1211700000.0","1183900000.0","996200000.0","1051300000.0","1084200000.0","998900000.0","731700000.0","757900000.0","1854900000.0","1791500000.0","1634500000.0","1652300000.0","1632200000.0","1647000000.0","1507600000.0","1488300000.0","1651500000.0","1684000000.0","1564500000.0","1544000000.0","1477000000.0","1391500000.0","1245700000.0","1231500000.0","1180600000.0","1111900000.0","990200000.0","1172200000.0","1109400000.0","1069000000.0"
"Invested Capital","5095600000.0","5864700000.0","5769800000.0","5746000000.0","5661500000.0","5730400000.0","5611500000.0","5605900000.0","5413100000.0","5419100000.0","5323200000.0","5281300000.0","4996800000.0","2958300000.0","2873400000.0","2857700000.0","2671900000.0","2616700000.0","2546100000.0","2468500000.0","2360600000.0","2342200000.0","2266600000.0","2283900000.0","2147400000.0","2133200000.0","2107700000.0","2082500000.0","2184100000.0","2208900000.0","2389700000.0","2419000000.0","2380900000.0","2414000000.0","2663400000.0"
"Average Receivables","1764400000.0","1783950000.0","1897150000.0","1581100000.0","1632950000.0","1654700000.0","1735800000.0","1427850000.0","1459250000.0","1455850000.0","1528350000.0","1261750000.0","1282600000.0","1276500000.0","1336450000.0","1108750000.0","1133850000.0","1133350000.0","1189950000.0","980750000.0","1004400000.0","999250000.0","1053300000.0","855200000.0","879350000.0","878200000.0","930000000.0","772950000.0","806550000.0","831000000.0","896450000.0","","","",""
