"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","69.427","72.169","73.011","72.766","73.085","72.645","73.046","72.659","71.456","72.65","71.678","71.496","71.03","69.658","69.401","68.281","68.021","70.211","73.299","70.61","70.407","71.041","69.447","70.348","70.223","64.18","62.311","61.212","60.016","58.311","56.733","56.832","65.194","69.427","69.231","66.965","67.677","66.102","65.946"
"Tangible Book Value per Share","153.25","157.758","158.072","157.542","175.207","195.76","197.741","195.647","173.4","173.581","176.645","180.052","175.137","161.52","159.098","158.444","157.123","159.126","158.984","158.298","157.47","158.647","156.707","153.597","151.285","144.109","144.317","135.348","133.358","135.105","135.582","137.103","157.283","183.657","192.495","197.739","191.15","195.77","193.661"
"FCF per Share","1.335","0.15","-0.165","0.23","1.644","0.139","-0.62","-25.495","0.31","0.382","-3.119","-5.754","-1.113","0.42","-5.833","0.52","0.722","0.322","-1.143","-1.279","-0.065","-1.398","-1.081","0.079","-3.085","0.57","-0.927","-1.319","0.836","0.679","-0.044","0.519","1.138","0.962","1.689","0.839","0.7","1.996","3.855"
"Interest Debt per Share","64.2516","65.7948","65.0299","63.8489","79.9326","85.4572","103.4111","102.1037","82.6178","82.417","84.7198","86.7997","85.7683","75.864","74.1043","74.6523","73.7255","73.5399","72.4722","70.2857","69.4114","70.3008","70.3412","68.8893","67.1787","61.9113","67.2787","59.3815","58.6311","61.5927","63.4705","64.1986","73.9192","91.6954","98.1067","101.3995","92.9571","98.7449","96.147"
"Cash per Share","3.8131","5.358","3.6879","5.0491","4.4254","4.9589","4.9013","5.2595","3.4558","4.6707","4.4489","4.3122","4.8748","6.3254","3.7091","6.1523","3.5943","3.8331","3.6033","3.3845","4.4025","2.6772","2.6123","5.7948","5.6905","4.3053","6.0088","5.4261","6.3692","4.3428","5.6651","9.4417","11.3404","9.2878","14.5951","14.0585","2.6634","3.2646","2.5658"
"Debt to Equity Ratio","0.9255","0.9117","0.8907","0.8775","1.0937","1.1764","1.4157","1.4053","1.1562","1.1344","1.1819","1.214","1.2075","1.0891","1.0678","1.0933","1.0839","1.0474","0.9887","0.9954","0.9859","0.9896","1.0129","0.9793","0.9566","0.9646","1.0797","0.9701","0.9769","1.0563","1.1188","1.1296","1.1338","1.3207","1.4171","1.5142","1.3735","1.4938","1.458"
"Total Debt To Total Assets","0.4193","0.4171","0.4114","0.4053","0.4562","0.4365","0.523","0.5219","0.4765","0.4748","0.4796","0.4821","0.4897","0.4697","0.4658","0.4712","0.4692","0.4621","0.4558","0.444","0.4408","0.4431","0.4489","0.4485","0.4441","0.4296","0.4662","0.4387","0.4397","0.4559","0.4681","0.4682","0.47","0.4993","0.5097","0.5128","0.4863","0.5044","0.4965"
"Interest Coverage","1.1844","1.2299","1.7361","1.5235","2.54","1.2848","2.1913","2.9895","0.5331","1.6202","1.7474","1.8307","4.0728","2.9668","1.5236","1.5211","1.3449","1.3258","1.4421","1.2995","2.346","1.4093","1.1324","1.196","8.8331","2.376","1.2439","3.1092","3.5392","1.3908","0.997","1.0375","1.3086","1.629","2.1528","1.4717","2.8907","2.6577","2.6921"
"Income Quality","24.0286","10.2334","2.8608","3.9535","1.9429","4.9132","2.0087","0.5471","-3.6439","2.1018","1.993","1.5558","0.7999","0.6034","2.0386","2.7236","14.5157","4.7362","3.8364","9.3454","1.3694","2.2502","24.7141","8.5956","0.1903","0.9477","9.2952","0.9094","0.6274","4.4222","-11.7921","-24.777","7.7274","1.6922","1.0788","2.6274","0.8735","0.1683","0.7715"
