"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39447.0",""
"Book Value per Share","19.306","16.611","14.652","15.647","14.546","14.273","11.794","11.457","10.696","8.967","10.103","11.951","12.877","13.59","14.298","13.415","12.401","11.791","11.966","10.946","9.694","9.944","10.195","10.288","9.976","11.365","10.649","9.79","9.264","8.728","8.39","8.133","7.738","7.226","6.936","7.98","7.628","6.199",""
"Tangible Book Value per Share","19.165","17.841","18.31","19.407","18.574","18.779","19.294","19.527","27.449","13.728","18.577","12.755","13.626","14.693","16.156","14.915","13.624","13.655","14.073","12.876","11.669","13.391","13.724","10.933","9.915","10.179","10.528","7.989","7.545","6.933","6.571","5.405","4.942","4.388","4.723","4.509","4.949","4.581",""
"FCF per Share","1.395","2.128","1.54","1.923","0.881","2.408","1.042","2.004","0.786","2.022","1.444","1.765","0.568","1.429","1.146","1.665","0.961","1.684","0.997","1.157","0.173","1.283","1.012","1.035","0.749","1.28","0.737","0.699","0.306","0.861","0.667","0.835","0.364","0.886","0.433","1.24","0.742","0.68",""
"Interest Debt per Share","22.88","23.5032","24.6981","27.6474","27.9938","28.6182","31.0371","32.1259","26.6253","14.0533","17.3153","9.8388","9.7274","9.4624","9.4307","9.4449","9.4089","9.3022","9.0959","9.29","9.1081","8.8433","8.405","6.0863","5.2611","5.2721","5.3021","5.3181","5.3217","5.3309","5.3616","0.0","0.0","0.0","0.4901","0.8259","1.9882","3.0793",""
"Cash per Share","1.0102","0.8288","0.9481","2.5433","1.435","1.6768","1.7293","1.9148","13.8395","1.1792","6.4179","1.1176","1.4192","3.4796","4.6753","3.7971","2.3616","2.8306","2.875","2.9481","1.7226","4.1247","4.6162","1.9492","4.2439","4.7311","3.2967","2.5064","1.992","1.9349","1.5424","0.0673","0.0591","0.0527","0.0611","0.1524","0.219","0.0767",""
"Debt to Equity Ratio","1.1851","1.4149","1.6857","1.7669","1.9246","2.005","2.6315","2.8041","2.4892","1.5672","1.7138","0.8233","0.7554","0.6963","0.6596","0.704","0.7587","0.7889","0.7602","0.8487","0.9396","0.8893","0.8244","0.5916","0.5274","0.4639","0.4979","0.5432","0.5745","0.6108","0.639","0.0","0.0","0.0","0.0707","0.1035","0.2607","0.4968",""
"Total Debt To Total Assets","0.4573","0.4923","0.5165","0.5389","0.5569","0.5574","0.601","0.6165","0.6025","0.4687","0.5087","0.3531","0.3403","0.3253","0.3119","0.323","0.3396","0.3434","0.3344","0.3549","0.3746","0.3596","0.3493","0.2856","0.2642","0.2497","0.261","0.2787","0.2838","0.2926","0.2984","0.0","0.0","0.0","0.0451","0.0673","0.1566","0.2495",""
"Interest Coverage","15.4269","13.413","5.9823","7.8092","9.5278","14.3336","9.6637","4.9586","19.6542","16.0453","12.8889","17.939","21.1237","17.5073","16.1392","16.6583","21.9781","15.9449","15.1915","15.7039","17.7126","15.9014","22.1385","15.3918","19.2954","19.8898","22.5753","18.9503","19.0919","14.8348","76.2588","375.9614","319.3659","302.273","-115.4766","47.0064","22.2249","19.8327","-29.5102"
"Current Ratio","4.152","2.387","2.314","1.499","1.41","1.572","1.773","3.312","10.487","4.297","1.812","1.167","1.27","1.409","6.679","6.256","6.957","5.852","5.875","6.825","6.342","7.228","7.368","5.839","8.035","9.403","7.457","6.767","4.793","4.386","4.662","5.542","4.962","3.569","3.886","3.69","5.559","4.169",""
"Income Quality","0.8586","1.5071","4.3414","1.8689","0.6887","1.1092","0.9416","2.1874","0.5714","2.2186","1.59","2.0125","0.6344","1.7014","1.7861","1.9791","1.0016","2.4863","0.5922","1.5818","0.2678","1.8117","1.359","1.8245","1.804","2.2468","1.0871","1.2612","0.548","2.1951","1.288","2.3793","1.0418","2.7032","-0.6674","3.872","2.4969","1.393","-0.401"
