"","42947.0","42855.0","42766.0","42674.0","42582.0","42490.0","42400.0","42308.0","42216.0","42124.0","42035.0","41943.0","41851.0","41759.0","41670.0","41578.0","41486.0","41394.0","41305.0","41213.0","41121.0","41029.0","40939.0","40847.0","40755.0","40663.0","40574.0","40482.0","40390.0","40298.0","40209.0","40117.0","40025.0","39933.0","39844.0","39752.0","39660.0","39568.0","39478.0","39386.0"
"Book Value per Share","22.789","22.459","22.05","21.065","20.644","20.69","19.549","20.177","20.177","19.836","19.015","19.543","19.305","18.885","18.325","18.062","17.777","17.581","17.179","16.67","16.178","15.69","15.094","14.607","14.635","14.464","14.481","14.159","13.85","13.823","13.422","12.655","12.231","11.823","11.307","10.712","10.737","10.116","9.862","9.911"
"Tangible Book Value per Share","18.44","16.826","15.321","16.188","15.203","14.085","12.665","14.234","14.786","14.249","13.493","13.779","12.35","12.341","12.445","13.264","12.653","11.215","10.682","11.357","12.716","11.99","12.663","13.093","13.153","11.669","11.503","11.94","13.473","12.671","12.845","13.102","12.776","11.722","11.342","12.111","11.494","11.349","11.156","12.223"
"FCF per Share","1.729","0.724","0.184","0.843","1.531","1.365","-0.336","0.852","1.61","0.84","-0.698","0.811","2.004","0.622","-0.584","1.118","1.585","0.777","-0.701","0.536","1.906","0.804","-0.355","0.402","1.983","0.575","-0.339","0.57","1.307","0.505","-0.369","0.334","1.539","0.122","-0.641","0.72","1.569","0.173","-0.422","1.134"
"Interest Debt per Share","2.9014","2.7775","2.1192","1.3515","1.8357","1.642","1.4872","1.3198","1.3663","1.4238","1.9585","0.4796","0.5316","1.8761","0.6328","0.6802","0.7309","0.7817","0.8417","0.8996","0.9641","1.7129","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","8.6709","7.5245","6.409","7.3662","7.2095","6.3049","4.6149","6.2124","7.2198","6.507","5.9373","6.3035","5.8188","5.3155","5.7966","6.6234","5.7978","4.4362","3.6333","4.6671","6.5207","5.4581","6.5574","6.9798","7.1625","5.6612","5.819","6.3277","8.1742","7.2433","7.4395","8.0171","7.5104","6.12","5.9372","6.6673","6.1534","5.7634","5.8925","6.7924"
"Debt to Equity Ratio","0.1273","0.1237","0.0961","0.0642","0.0889","0.0794","0.0761","0.0654","0.0677","0.0718","0.103","0.0245","0.0275","0.0993","0.0345","0.0377","0.0411","0.0445","0.049","0.054","0.0596","0.1092","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.0767","0.0764","0.0607","0.0391","0.0543","0.0503","0.0479","0.0406","0.0429","0.0463","0.0649","0.0157","0.0182","0.0636","0.0233","0.0241","0.0262","0.0293","0.0317","0.0325","0.0368","0.0668","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","1.074","1.056","1.019","1.001","0.933","0.945","0.838","0.931","1.115","1.166","1.054","1.085","1.071","1.018","1.274","1.184","1.135","1.092","0.978","0.911","1.137","1.093","1.493","1.324","1.387","1.494","1.521","1.354","1.787","1.915","1.934","1.797","1.775","1.784","1.652","1.455","1.482","1.716","1.719","1.288"
