"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","23.419","25.271","25.161","25.358","23.571","22.704","24.156","22.708","22.202","21.997","23.097","22.112","21.705","21.427","22.307","21.387","20.641","20.732","21.894","21.277","20.784","20.391","21.114","20.503","19.862","19.416","20.106","19.444","18.76","18.463","19.218","17.988","17.431","16.994","18.017","17.349","16.604","16.398","16.29"
"Tangible Book Value per Share","101.687","103.297","104.142","102.476","96.487","85.955","85.713","82.654","81.607","78.692","77.52","75.339","74.19","72.852","72.851","73.687","73.182","72.729","72.752","70.734","69.836","68.979","68.438","66.678","65.524","64.881","65.436","65.664","64.462","63.888","64.177","63.28","63.759","63.546","62.294","63.436","62.225","60.818","60.225"
"FCF per Share","-0.012","-0.766","-1.309","0.395","-0.555","-1.188","-0.677","1.862","0.047","-0.131","-0.366","1.478","-0.566","-0.029","0.085","1.104","-0.094","-0.522","-0.484","1.3","0.117","-0.94","-0.075","1.54","0.298","0.073","-0.74","1.273","-0.266","-0.35","-0.596","0.922","-0.615","-0.794","-0.197","0.436","-0.114","-0.621","-0.093"
"Interest Debt per Share","50.2906","49.2175","48.2287","46.9773","42.2527","32.3996","31.5802","29.8121","30.1144","28.6571","27.3466","27.2361","27.4","26.5775","26.2923","26.3212","27.0195","26.7655","25.8456","24.7979","25.2144","25.3007","24.5069","24.1407","24.2865","24.5413","24.6754","24.5577","24.7955","24.4368","24.5174","24.4073","25.4319","25.0906","23.6901","23.5455","22.9492","22.5835","21.8244"
"Cash per Share","1.4359","1.1017","2.0071","2.7572","10.5567","0.8231","1.5429","1.2187","0.8944","1.222","0.7837","1.5746","0.6514","0.6629","0.7438","0.7768","0.4931","0.6207","0.7316","1.4418","0.9759","1.2108","1.5277","1.7733","0.5263","0.4917","0.6124","1.5276","0.3599","0.4552","0.9039","0.8432","1.1108","1.0307","0.67","1.0834","0.306","0.3671","0.3538"
"Debt to Equity Ratio","2.1474","1.9476","1.9168","1.8525","1.7926","1.427","1.3073","1.3129","1.3564","1.3028","1.184","1.2317","1.2624","1.2404","1.1787","1.2307","1.309","1.291","1.1805","1.1655","1.2131","1.2408","1.1607","1.1774","1.2228","1.264","1.2273","1.263","1.3217","1.3236","1.2758","1.3569","1.459","1.4765","1.3149","1.3572","1.3822","1.3772","1.3398"
"Total Debt To Total Assets","0.4618","0.4453","0.4326","0.4275","0.4343","0.3769","0.3669","0.3607","0.369","0.3642","0.3528","0.3615","0.3693","0.3648","0.3609","0.3572","0.3692","0.368","0.3553","0.3506","0.3611","0.3668","0.3581","0.362","0.3707","0.3783","0.3771","0.374","0.3847","0.3825","0.382","0.3857","0.3989","0.3948","0.3803","0.3712","0.3688","0.3713","0.3624"
"Interest Coverage","-3.6156","3.3654","1.599","5.2487","4.058","3.9146","2.7588","7.7431","6.25","4.7512","2.8302","6.4444","5.519","3.6408","4.1786","7.6188","3.1907","1.6066","4.0238","8.1651","5.4","3.7678","2.7032","7.8018","5.8693","4.0135","2.179","6.6711","4.5297","4.3649","2.5097","6.4877","4.0946","2.3693","2.3928","6.62","3.872","3.5496","2.3193"
"Current Ratio","0.693","0.686","0.753","0.914","1.779","0.695","0.715","0.647","0.76","0.694","0.654","0.908","0.9","1.063","1.016","1.014","0.817","0.921","0.879","1.019","1.047","0.956","0.954","1.148","0.965","0.868","0.909","1.103","0.931","0.946","1.052","1.136","1.128","1.09","1.025","0.989","0.941","0.887","0.84"
"Income Quality","-1.336","1.3632","2.8468","1.9","2.0257","1.7955","4.3764","3.1084","1.8983","1.7972","3.9859","3.6448","1.5827","3.1425","4.0725","2.892","4.0741","9.0988","2.2298","2.3432","1.9085","1.5435","5.0","2.4116","2.303","2.3649","3.0327","2.5851","1.3275","1.4909","3.6319","2.2028","0.4565","3.1906","4.4514","1.57","2.0985","1.4952","4.7348"
"Payout Ratio","-0.42","0.848","2.8","0.479","0.836","1.019","1.8","0.514","0.783","0.946","1.71","0.662","0.779","1.308","1.085","0.526","1.5","5.444","1.114","0.441","0.69","1.119","1.567","0.439","0.662","0.92","2.706","0.469","0.742","0.733","1.467","0.444","0.721","2.625","1.75","0.416","0.778","0.851","1.538"
"Intangible Assets out of Total Assets","0.0662","0.0655","0.0658","0.0674","0.0083","0.0","0.0041","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-3914000000.0","-3857000000.0","-3195000000.0","-909000000.0","6635000000.0","-2395000000.0","-2603000000.0","-3419000000.0","-2089000000.0","-2813000000.0","-3097000000.0","-632000000.0","-598000000.0","305000000.0","89000000.0","81000000.0","-1345000000.0","-507000000.0","-852000000.0","127000000.0","285000000.0","-276000000.0","-305000000.0","838000000.0","-197000000.0","-797000000.0","-589000000.0","615040000.0","-411188000.0","-295772000.0","289000000.0","705919000.0","726608000.0","490451000.0","132000000.0","-65984000.0","-337332000.0","-616611000.0","-899000000.0"
"Tangible Asset Value","101484000000.0","102574000000.0","102476000000.0","99197000000.0","90119000000.0","78735000000.0","77999000000.0","75215000000.0","74181000000.0","71610000000.0","70233000000.0","67654000000.0","66400000000.0","64838000000.0","64546000000.0","64697000000.0","63961000000.0","63274000000.0","63149000000.0","61963000000.0","60897000000.0","59874000000.0","59267000000.0","57343000000.0","56023000000.0","55019000000.0","55032000000.0","54894780000.0","53374490000.0","52580045000.0","52046000000.0","50524207000.0","50417049000.0","49557114000.0","48347000000.0","49012349000.0","47858255000.0","46595753000.0","45789000000.0"
"Net Current Asset Value","-74437000000.0","-74055000000.0","-73081000000.0","-70357000000.0","-52113000000.0","-50928000000.0","-49649000000.0","-46863000000.0","-46271000000.0","-43829000000.0","-43029000000.0","-40408000000.0","-40467000000.0","-39497000000.0","-38793000000.0","-39003000000.0","-38789000000.0","-38223000000.0","-37608000000.0","-35546000000.0","-35318000000.0","-35052000000.0","-34335000000.0","-32133000000.0","-32457000000.0","-32232000000.0","-31865000000.0","-30948556000.0","-31235443000.0","-31083243000.0","-30213000000.0","-29198362000.0","-29162146000.0","-29273795000.0","-28631000000.0","-28701729000.0","-28637303000.0","-28124572000.0","-27592000000.0"
"Invested Capital","137490000000.0","138069000000.0","135041000000.0","131435000000.0","111209000000.0","99803000000.0","96204000000.0","91546000000.0","92048000000.0","87391000000.0","85338000000.0","83808000000.0","84366000000.0","83067000000.0","81657000000.0","81421000000.0","79799000000.0","79581000000.0","77934000000.0","75854000000.0","75945000000.0","74467000000.0","72590000000.0","70922000000.0","70639000000.0","69376000000.0","68797000000.0","68153514000.0","67671676000.0","66801053000.0","65612000000.0","64162153000.0","63986118000.0","62862143000.0","60987000000.0","60476444000.0","59567644000.0","58174221000.0","56482000000.0"
"Average Receivables","2639000000.0","2351500000.0","2574500000.0","2743000000.0","2186000000.0","1753000000.0","1925000000.0","2266500000.0","2187500000.0","1839000000.0","1883000000.0","2159000000.0","2042500000.0","1720500000.0","1734000000.0","2037000000.0","1942500000.0","1568000000.0","1749000000.0","2147000000.0","2081000000.0","1654500000.0","1939000000.0","2308994500.0","2219882500.0","1839290500.0","2029500000.0","2312861500.0","2327731000.0","2079305000.0","2162500000.0","2431512500.0","2480315500.0","2255763500.0","2315500000.0","2759115000.0","2485941000.0","2077588500.0","2187000000.0"
