"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","11.937","13.071","13.717","14.731","14.935","14.582","14.451","14.767","14.842","16.264","16.388","16.158","16.846","18.693","18.849","18.782","18.819","18.636","19.107","19.259","19.615","20.413","15.826","15.809","16.349","16.126","16.493","16.41","15.876","15.299","15.736","15.556","16.574","13.632","11.572","14.722","15.049","15.597","12.653"
"Tangible Book Value per Share","99.186","98.48","98.981","100.782","101.416","99.736","98.783","99.698","97.313","96.958","95.026","95.481","98.457","104.231","107.383","103.474","103.259","101.654","105.339","105.423","105.533","108.875","89.235","87.111","83.647","82.734","84.866","84.654","82.762","86.133","91.59","92.42","97.996","100.676","103.728","105.599","105.313","105.374","105.12"
"FCF per Share","2.734","2.027","1.969","2.053","2.518","1.688","1.803","1.46","1.763","1.417","1.508","1.802","1.453","1.444","1.803","1.488","1.574","1.118","1.53","1.26","1.342","1.507","1.227","1.584","1.166","1.322","1.391","1.513","0.909","1.33","1.116","1.353","1.372","1.287","0.95","1.092","1.347","-0.007","1.216"
"Interest Debt per Share","75.0241","73.6674","73.1202","73.4443","74.0876","72.9821","72.4479","73.1343","70.9058","69.0037","67.0984","68.2263","70.4988","73.7818","73.0502","73.2425","73.1746","71.9623","74.7149","74.4063","74.1233","76.5765","62.7867","60.9786","58.0079","57.8238","59.6574","59.714","59.0538","61.6694","65.7596","66.4212","70.2787","75.1587","79.9014","79.4483","78.7246","78.2166","77.2116"
"Cash per Share","1.5651","1.6338","1.7823","2.5928","2.8579","2.5573","2.266","2.7693","1.8173","2.6519","1.9701","2.6322","5.3622","3.2246","5.449","3.5424","3.5344","2.646","3.8291","1.4925","2.1066","2.9574","2.7184","1.9613","2.6925","2.1418","2.7201","3.4546","7.933","11.4718","13.9696","13.3265","10.2988","3.8836","3.4256","2.8711","2.2419","1.9219","2.251"
"Debt to Equity Ratio","6.2851","5.6361","5.3306","4.9856","4.9607","5.005","5.0133","4.9524","4.7774","4.2426","4.0943","4.2225","4.185","3.9471","3.8756","3.8995","3.8884","3.8615","3.9104","3.8636","3.779","3.7514","3.9673","3.8573","3.5481","3.5857","3.6172","3.639","3.7196","4.031","4.1789","4.2697","4.2404","5.5133","6.9049","5.3966","5.2312","5.015","6.1024"
"Total Debt To Total Assets","0.7564","0.748","0.7387","0.7287","0.7305","0.7317","0.7334","0.7336","0.7286","0.7117","0.7061","0.7146","0.716","0.7079","0.6803","0.7078","0.7087","0.7079","0.7093","0.7058","0.7024","0.7033","0.7036","0.7","0.6935","0.6989","0.703","0.7054","0.7135","0.716","0.718","0.7187","0.7172","0.7465","0.7703","0.7524","0.7475","0.7423","0.7345"
"Interest Coverage","2.8768","3.3968","2.8917","3.3825","3.1652","3.2675","2.7318","2.8484","3.066","3.3531","2.7714","2.0385","2.6242","2.3741","2.432","2.1829","2.3136","2.0426","2.3843","1.8988","1.7632","3.5118","2.5117","2.1281","1.8452","1.7311","1.8861","1.9276","1.5788","1.0575","1.3638","1.4337","0.9412","1.4901","1.6302","1.5212","1.3811","1.4317","1.4648"
"Income Quality","2.6804","1.6446","2.1294","1.6619","2.1377","1.4978","2.0542","1.7512","1.7095","1.2516","1.9706","2.6237","1.4995","1.9361","2.0236","2.2329","2.0075","1.9443","2.1749","2.4633","2.9067","0.8877","1.3963","2.1938","2.1731","2.521","2.1555","2.2041","2.1558","47.8384","4.1427","4.2982","-21.8116","4.0725","2.8961","4.0107","6.9763","2.6012","5.3112"
"Payout Ratio","1.423","1.144","1.31","1.025","1.103","1.032","1.27","1.14","0.987","0.809","1.0","1.605","10.931","1.136","0.976","1.15","1.045","1.264","1.089","1.25","1.408","0.436","0.887","0.86","1.143","1.311","1.067","0.759","1.154","20.0","1.818","1.579","-6.0","2.0","1.385","1.8","2.647","5.0","1.647"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.0632","0.0691","0.0678","0.0681","0.0674","0.0662","0.0678","0.0688","0.0711","0.0573","0.0696","0.0757","0.0835","0.0629","0.0743","0.0673","0.0737","0.0582","0.1045","0.0564","0.066","0.0606","0.074","0.0663","0.0628","0.0575","0.0684","0.0564","0.0585","0.0446","0.0648","0.0591","0.0573","0.053","0.0723","0.0666","0.0668","0.0718","0.0755"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","30965966000.0","30946093000.0","31103578000.0","31668848000.0","31379783000.0","31398498000.0","30565182000.0","30848230000.0","30290458000.0","30482454000.0","29532330000.0","29672165000.0","30586414000.0","32755599000.0","33324574000.0","32111409000.0","32015137000.0","31886123000.0","32586606000.0","31977977000.0","31986583000.0","32417465000.0","26216925000.0","25575208000.0","24534022000.0","24569273000.0","24857429000.0","24788287000.0","23924616000.0","24977276000.0","25948266000.0","25976604000.0","25010318000.0","23287488000.0","23422749000.0","23764275000.0","23669761000.0","23503125000.0","23442466000.0"
"Invested Capital","53900037000.0","53581746000.0","53520623000.0","53932616000.0","53419443000.0","53569243000.0","52280730000.0","52620423000.0","51795578000.0","51342777000.0","49773041000.0","50056527000.0","50821657000.0","54928841000.0","54303485000.0","53741742000.0","53606930000.0","53628772000.0","54515095000.0","54094899000.0","53814642000.0","54337478000.0","43864715000.0","42902352000.0","40758202000.0","41104943000.0","41534471000.0","41262179000.0","38702396000.0","39533823000.0","40620850000.0","40900032000.0","40318290000.0","39774207000.0","40691737000.0","40997425000.0","40859656000.0","40520212000.0","40159158000.0"
