"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","32.249","33.809","32.976","33.482","33.198","33.132","32.156","31.998","23.101","22.706","22.318","21.88","21.573","20.738","20.462","19.866","18.949","18.691","17.959","17.233","16.059","15.317","14.111","13.822","14.239","13.401","12.295","12.392","11.537","10.758","10.162","9.267","9.028","8.11","7.851","8.116","7.835","7.728","8.198"
"Tangible Book Value per Share","18.305","17.799","17.948","18.029","17.785","17.492","17.25","21.435","13.708","12.64","12.305","13.193","12.862","10.555","10.946","10.675","9.878","9.428","9.483","9.125","9.19","9.06","8.442","8.254","7.908","7.469","7.835","7.137","6.354","6.534","6.156","5.65","5.284","5.196","5.302","5.304","5.142","4.857","4.846"
"FCF per Share","0.375","1.671","1.108","1.628","0.661","1.458","0.646","1.047","0.243","1.308","0.981","0.99","0.77","1.518","0.59","1.661","0.667","0.949","1.165","0.822","0.851","0.973","0.879","0.96","0.49","0.631","1.265","0.764","0.425","0.805","0.629","0.895","0.473","0.802","0.497","0.572","0.225","0.602","0.403"
"Interest Debt per Share","33.5541","33.5993","34.6727","35.426","36.7338","37.2133","37.7137","17.8606","19.6324","18.5257","19.5413","19.7671","20.2505","16.071","16.7286","16.3445","15.3107","14.7828","15.7955","15.1273","16.0213","15.8179","16.3076","16.3593","14.3511","11.7608","12.9658","11.4588","11.2135","11.7584","11.723","9.7296","9.2506","8.9931","9.2804","8.6128","8.5485","7.7415","7.2989"
"Cash per Share","0.5182","0.5518","0.5193","0.4738","0.5221","0.539","0.6553","0.3874","0.3879","0.4502","0.2619","0.4948","0.299","0.505","0.7852","0.7406","0.209","0.1478","0.3649","0.189","0.6365","0.3567","0.2651","0.2734","0.4445","0.2885","0.9297","0.2418","0.0972","0.27","0.1869","0.1683","0.0316","0.1071","0.1065","0.0824","0.144","0.129","0.1964"
"Debt to Equity Ratio","1.0405","0.9938","1.0515","1.0581","1.1065","1.1232","1.1729","0.5582","0.8499","0.8159","0.8756","0.9034","0.9387","0.7749","0.8175","0.8227","0.808","0.7909","0.8795","0.8778","0.9977","1.0327","1.1556","1.1836","1.0079","0.8776","1.0546","0.9247","0.9719","1.093","1.1536","1.0499","1.0247","1.1089","1.182","1.0612","1.0911","1.0017","0.8904"
"Total Debt To Total Assets","0.4066","0.4092","0.4227","0.4269","0.4364","0.4432","0.4532","0.2929","0.3685","0.3594","0.3794","0.3773","0.3865","0.3545","0.3681","0.3649","0.3644","0.3593","0.3823","0.3802","0.4083","0.4097","0.4358","0.4436","0.4159","0.3802","0.419","0.4015","0.4137","0.4358","0.453","0.4281","0.4265","0.4365","0.4506","0.4275","0.435","0.4134","0.3953"
"Interest Coverage","-8.1517","4.8221","2.4755","5.1431","3.9973","5.7719","6.2074","7.279","9.2977","2.825","7.5695","8.3447","8.7888","8.8053","8.8421","9.9443","10.1942","9.6077","9.1855","8.7298","9.1967","9.0348","8.6932","8.6197","7.7531","8.9186","8.6373","11.2634","10.3795","9.5609","9.1417","8.5185","9.5938","9.0832","8.6402","8.2481","8.67","7.3139","5.1707"
"Current Ratio","0.87","1.311","1.425","1.439","1.49","1.371","1.297","2.471","1.295","1.236","1.197","1.15","1.16","1.247","1.298","1.283","1.49","1.367","1.333","0.801","1.444","1.279","1.195","1.166","1.385","1.155","1.195","1.16","1.035","1.115","1.059","1.089","1.26","1.209","1.249","1.306","1.312","1.277","1.404"
"Income Quality","-0.4151","3.2839","10.1785","2.8004","2.3729","2.3538","1.3721","1.6506","0.5249","4.5803","1.2545","1.287","1.1289","1.8427","0.8855","1.9803","1.0047","1.3157","1.6218","1.3493","1.3202","1.5351","1.4144","1.6116","0.9742","1.178","2.4058","1.3429","0.9088","1.6845","1.4195","1.8855","1.1372","1.8762","1.387","1.5714","0.8022","2.0087","1.9047"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
