"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","53.021","52.817","51.67","49.308","47.106","47.835","47.478","46.793","47.088","46.439","45.956","46.043","45.562","45.01","45.04","44.683","43.94","42.841","42.49","41.715","40.968","41.369","40.763","40.201","40.01","38.255","37.706","35.684","37.239","36.817","36.773","35.851","34.925","34.111","32.982","32.396","31.286","33.164","32.341"
"Tangible Book Value per Share","184.755","180.623","179.031","171.651","166.696","162.509","160.526","158.24","156.025","154.35","155.424","152.813","150.134","147.026","146.453","145.113","145.922","146.843","144.436","140.015","135.58","135.227","132.464","130.059","126.671","125.596","124.237","115.163","115.68","114.795","114.266","114.248","112.859","110.863","107.034","97.825","96.732","115.434","110.677"
"FCF per Share","0.298","0.048","-1.991","-1.086","-2.979","-1.381","-0.454","0.439","-1.12","0.125","-1.229","-0.731","-2.369","0.42","-1.362","-1.761","-1.351","1.25","-1.591","-0.778","-1.049","-0.466","-2.456","-1.261","-1.186","0.825","-0.652","-0.892","0.105","1.796","-2.245","-0.303","-0.247","2.676","-0.555","-1.998","-1.775","0.723","-0.493"
"Interest Debt per Share","72.0351","68.8963","68.3067","69.0734","63.4236","60.9368","58.9524","59.5414","58.9945","57.6614","57.9741","56.6107","55.9897","52.5161","52.9651","50.9585","51.6414","52.7058","53.2751","51.6614","48.6272","47.0515","45.3001","45.1314","42.7918","40.9323","39.6274","36.1579","35.6263","34.2852","35.3191","34.1006","31.4686","30.5709","30.8632","26.6004","24.188","24.1354","21.8111"
"Cash per Share","1.2329","1.4614","1.6956","2.1726","2.603","1.6778","1.8092","3.0189","2.6642","1.6551","2.4751","2.8399","3.4108","3.6571","3.8992","4.5466","4.3719","6.3586","2.2439","2.4494","1.0782","1.8747","1.2427","3.3063","2.4309","6.4008","4.4694","2.3432","0.8834","1.0809","0.592","3.21","3.4814","3.0898","1.4817","0.8122","0.9366","3.1165","2.5945"
"Debt to Equity Ratio","1.3586","1.3044","1.322","1.4009","1.3464","1.2739","1.2417","1.2724","1.2528","1.2417","1.2615","1.2295","1.2289","1.1668","1.176","1.1404","1.1753","1.2303","1.2538","1.2384","1.187","1.1374","1.1113","1.1226","1.0695","1.07","1.051","1.0133","0.9567","0.9312","0.9605","0.9512","0.901","0.8962","0.9358","0.8211","0.7731","0.7278","0.6744"
"Total Debt To Total Assets","0.3668","0.3583","0.3583","0.3799","0.37","0.3638","0.3563","0.3646","0.3659","0.3612","0.3603","0.3574","0.3591","0.3436","0.3476","0.3371","0.3398","0.344","0.3532","0.3528","0.3428","0.3325","0.3267","0.3315","0.3218","0.3202","0.3133","0.3081","0.3023","0.2932","0.3034","0.2929","0.2735","0.2704","0.2825","0.2719","0.2501","0.2091","0.1958"
"Interest Coverage","3.6855","5.355","4.6667","7.6471","0.3732","4.2238","3.9931","2.8392","3.8345","5.4776","3.25","3.9097","3.6304","3.75","3.1986","4.0511","3.0145","3.5942","3.1631","3.5317","0.5133","4.1416","4.2397","4.0932","6.1356","4.4259","3.6637","1.9099","3.7573","2.5229","4.5091","5.6563","4.6835","6.2073","4.8295","7.0299","12.8158","7.1833","8.0882"
"Current Ratio","0.456","0.508","0.525","0.43","0.588","0.562","0.627","0.705","0.797","0.97","0.825","1.028","1.081","1.09","0.915","0.819","0.775","0.795","0.868","0.708","0.46","0.513","0.562","0.735","0.714","0.938","0.886","0.661","0.462","0.497","0.59","0.626","0.764","0.679","0.685","0.82","0.587","1.055","1.105"
"Income Quality","3.417","2.2766","1.657","1.3006","18.125","1.7734","2.2114","3.5081","1.3831","1.8558","1.6835","1.8017","0.4833","3.6599","1.6099","0.7601","1.102","4.691","1.1263","2.0","7.3065","2.9619","0.786","1.7439","0.664","3.1693","2.208","2.2519","1.8874","8.3774","-0.0313","1.1325","1.9495","3.6044","1.21","-0.1948","0.5492","3.0207","1.8235"
"Payout Ratio","0.0","0.466","0.743","0.306","12.667","0.539","0.473","0.7","0.588","0.398","0.55","0.468","0.6","0.653","0.548","0.521","0.63","0.863","0.496","0.541","2.308","0.612","0.403","0.397","0.229","0.453","0.375","0.736","0.433","0.907","0.331","0.3","0.476","0.298","0.265","0.278","0.354","0.34","0.277"
"Intangible Assets out of Total Assets","0.0591","0.0606","0.0609","0.0559","0.0276","0.0299","0.0297","0.0309","0.0324","0.0332","0.0339","0.0351","0.0371","0.0379","0.0389","0.0399","0.0398","0.0415","0.0424","0.0438","0.0441","0.0445","0.0446","0.0448","0.0474","0.0175","0.0178","0.0187","0.0185","0.0182","0.0184","0.0186","0.0189","0.0194","0.0204","0.0","0.0","0.0","0.0062"
"Selling, General and Administrative Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-3296000000.0","-2859000000.0","-2817000000.0","-3870000000.0","-2339000000.0","-2249000000.0","-1721000000.0","-1512000000.0","-893000000.0","-114000000.0","-885000000.0","122000000.0","313000000.0","349000000.0","-372000000.0","-818000000.0","-1064000000.0","-1066000000.0","-563000000.0","-1271000000.0","-2394000000.0","-2182000000.0","-1820000000.0","-1057000000.0","-1024000000.0","-228000000.0","-433000000.0","-1282000000.0","-2178000000.0","-2131000000.0","-1593000000.0","-1614000000.0","-1029000000.0","-1573000000.0","-1136000000.0","-565000000.0","-1766000000.0","546000000.0","944000000.0"
