"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","50.686","47.918","48.058","49.262","48.794","47.584","46.094","46.128","44.922","44.643","44.095","42.224","41.775","41.074","40.231","39.47","39.253","39.565","39.223","38.164","38.519","37.968","37.701","37.975","36.969","38.471","46.66","47.301","46.48","45.697","45.519","46.357","57.492","61.607","64.146","51.315","51.352","53.181","52.193"
"Tangible Book Value per Share","412.488","403.139","400.617","398.189","381.911","369.198","360.211","349.734","350.321","349.988","350.331","339.705","330.232","323.598","314.819","307.441","306.318","308.001","310.488","310.41","320.138","320.253","318.464","310.326","308.938","325.838","332.812","337.386","328.862","330.653","335.64","333.488","423.059","488.694","516.172","475.325","483.877","492.334","495.227"
"FCF per Share","1.694","4.193","-0.395","-1.376","0.267","-0.437","2.724","2.353","1.967","-0.466","-3.4","-1.177","0.551","1.499","2.872","3.372","0.164","1.107","1.994","0.0","1.285","0.101","1.404","1.075","2.228","3.811","0.555","2.854","2.009","2.59","2.577","10.763","-4.964","-5.073","0.869","1.577","6.072","1.212","-0.423"
"Interest Debt per Share","36.5718","30.9983","33.5989","33.7797","34.1482","26.6241","25.7421","24.1438","31.3869","33.7684","42.5675","44.2054","42.0376","38.1127","36.5072","31.793","33.507","29.792","27.7579","36.6432","42.3324","40.257","42.0377","37.178","36.9994","41.5955","39.2746","47.6568","44.2575","46.2179","46.1877","46.7448","67.4353","87.2418","103.4784","94.5643","92.4976","103.6491","101.7105"
"Cash per Share","17.0652","16.8826","13.0696","19.6251","10.5011","8.5601","11.0116","9.5827","14.0976","14.8516","15.773","15.7849","12.9473","14.8862","9.8841","8.0288","7.7713","11.1298","15.4331","10.4901","12.6207","11.2193","8.4718","10.3397","12.7625","12.4422","10.849","8.3859","9.6763","12.7468","14.1359","10.4372","8.1597","20.0967","18.9222","13.0618","15.7942","15.1856","16.3137"
"Debt to Equity Ratio","0.7215","0.6469","0.6991","0.6857","0.6998","0.5595","0.5585","0.5234","0.6987","0.7564","0.9654","1.0469","1.0063","0.9279","0.9074","0.8055","0.8536","0.753","0.7077","0.9601","1.099","1.0603","1.115","0.979","1.0008","1.0812","0.8417","1.0075","0.9522","1.0114","1.0147","1.0084","1.173","1.4161","1.6132","1.8428","1.8012","1.949","1.9487"
"Total Debt To Total Assets","0.0852","0.0739","0.0806","0.0817","0.0861","0.0693","0.0686","0.0662","0.0859","0.0927","0.1167","0.1248","0.122","0.1128","0.1109","0.0988","0.1045","0.0926","0.0856","0.1131","0.1268","0.1204","0.1265","0.1146","0.1143","0.1217","0.1126","0.1352","0.1285","0.1332","0.1313","0.1337","0.1523","0.1711","0.1919","0.1893","0.182","0.2007","0.1959"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","1.8238","4.6519","-0.221","-1.2276","0.3705","-0.4581","3.2056","2.3988","2.1842","-0.5109","-4.5462","-1.0391","0.8217","2.112","3.9346","10.3966","0.2822","1.8265","3.1571","0.0525","2.7778","0.4163","11.2676","3.0379","6.8563","50.1316","3.2544","17.631","-18.5","-5.8079","-4.1977","-14.2406","11.6774","1.9824","-1.0281","2.0088","4.085","1.6131","9.1298"
"Payout Ratio","0.248","0.283","0.286","0.283","0.253","0.282","0.261","0.238","0.267","0.253","0.278","0.187","0.274","0.135","0.128","0.303","0.147","0.078","0.076","0.025","0.098","0.109","0.385","0.125","0.03","0.125","0.043","0.059","-0.091","-0.022","-0.018","-0.013","-0.244","-0.04","-1.0","0.885","0.507","0.951","-73.0"
"Intangible Assets out of Total Assets","0.0387","0.0392","0.039","0.0364","0.0373","0.0388","0.0402","0.0407","0.0411","0.0397","0.0397","0.041","0.0417","0.0427","0.0439","0.0446","0.0444","0.0432","0.0422","0.042","0.041","0.0421","0.0416","0.0434","0.0458","0.0467","0.0457","0.0431","0.0455","0.0473","0.0461","0.0458","0.0443","0.0414","0.0427","0.0484","0.0479","0.0467","0.0461"
"Selling, General and Administrative Expense of Revenue","0.5509","0.5874","0.5634","0.5586","0.5505","0.5815","0.5541","0.5497","0.5563","0.5841","0.5414","0.5647","0.5251","0.5943","0.5639","0.5784","0.5653","0.5881","0.5742","0.347","0.5789","0.6059","0.5834","0.5987","0.6121","0.6427","0.6176","0.6263","0.6921","0.999","1.0862","1.2627","0.8425","0.8746","1.0378","0.6157","0.4727","0.6222","0.7152"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","199196000000.0","197575000000.0","196881000000.0","197623000000.0","191480000000.0","186623000000.0","183155000000.0","179417000000.0","181105000000.0","182351000000.0","182772000000.0","179161000000.0","174945000000.0","171883000000.0","167632000000.0","164121000000.0","163933000000.0","164990000000.0","166117000000.0","165916000000.0","170942000000.0","170727000000.0","169498000000.0","165071000000.0","164291000000.0","162811000000.0","164980000000.0","167175310000.0","162902215000.0","163673458000.0","166135000000.0","164799229000.0","168903106000.0","171703638000.0","181059031000.0","166323926000.0","168734656000.0","170633646000.0","171289445000.0"
"Invested Capital","208616000000.0","204493000000.0","206970000000.0","204648000000.0","203336000000.0","195754000000.0","190645000000.0","186887000000.0","190043000000.0","192207000000.0","196751000000.0","194150000000.0","190356000000.0","184220000000.0","181808000000.0","176807000000.0","177706000000.0","174987000000.0","172711000000.0","179895000000.0","186807000000.0","186207000000.0","187363000000.0","179347000000.0","177180000000.0","177378000000.0","179071000000.0","186634103000.0","180032045000.0","180241625000.0","182000000000.0","182741338000.0","192568430000.0","195295205000.0","210719054000.0","194842951000.0","195482189000.0","201293418000.0","200826590000.0"
"Average Receivables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Average Payables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
