"","42916.0","42825.0","42734.0","42643.0","42552.0","42461.0","42370.0","42279.0","42188.0","42097.0","42006.0","41915.0","41824.0","41726.0","41635.0","41544.0","41453.0","41362.0","41271.0","41180.0","41089.0","40998.0","40907.0","40816.0","40725.0","40634.0","40543.0","40452.0","40361.0","40270.0","40179.0","40088.0","39997.0","39906.0","39815.0","39724.0","39633.0","39535.0","39447.0"
"Book Value per Share","5.565","5.642","6.369","6.229","6.144","5.664","8.111","8.639","8.645","8.652","8.578","8.546","8.436","8.365","8.273","8.093","7.887","7.913","7.44","7.248","6.986","6.988","6.334","6.111","6.045","5.934","5.786","5.761","5.701","5.657","5.464","5.174","5.039","5.063","5.067","13.357","13.189","13.0","12.708"
"Tangible Book Value per Share","7.123","10.587","12.365","12.373","12.987","12.598","12.52","8.858","9.295","13.939","9.549","9.178","9.477","9.975","9.473","8.874","9.211","11.113","10.179","9.211","9.036","8.034","6.92","6.209","6.216","7.489","6.566","5.895","6.073","6.776","6.256","5.708","5.458","5.419","4.954","5.526","5.592","5.914","5.263"
"FCF per Share","0.273","0.55","0.203","0.061","-1.292","0.313","-0.003","0.123","0.35","0.633","0.447","0.096","0.29","0.632","0.379","0.192","0.36","0.753","0.557","0.127","0.365","0.823","0.447","0.315","0.599","0.794","0.547","0.315","0.356","0.751","0.487","0.213","0.391","0.672","0.378","0.263","0.424","0.847","0.455"
"Interest Debt per Share","10.1839","13.246","11.5129","11.5742","5.2268","3.4006","2.6165","2.5513","3.063","3.0554","3.0406","3.0362","3.0275","3.0231","3.0086","2.9957","3.0043","4.4668","4.4387","4.3604","4.257","2.797","2.7589","2.7007","2.6477","3.3853","3.326","3.2481","2.3832","2.3271","2.2794","2.2389","2.1961","2.1563","2.5393","2.506","2.503","2.7248","2.6744"
"Cash per Share","3.7865","6.8722","8.9919","9.0484","9.9641","9.2188","3.3278","4.5411","4.371","4.1443","4.0116","4.3072","4.4321","5.3492","5.4784","5.3319","5.3788","6.7702","6.0606","5.7009","5.7011","4.3374","3.1703","2.9732","3.0331","3.8663","3.1753","2.8849","3.4246","3.7674","3.2052","2.8498","2.6863","2.1893","1.7522","2.6995","2.4377","2.2394","1.7262"
"Debt to Equity Ratio","1.83","2.3476","1.8075","1.8581","0.8508","0.6004","0.3226","0.2953","0.3543","0.3532","0.3545","0.3553","0.3589","0.3614","0.3637","0.3702","0.3809","0.5645","0.5966","0.6016","0.6094","0.4003","0.4356","0.4419","0.438","0.5705","0.5749","0.5638","0.418","0.4114","0.4172","0.4328","0.4358","0.4259","0.5011","0.1876","0.1898","0.2096","0.2104"
"Total Debt To Total Assets","0.3908","0.4504","0.4259","0.4255","0.2779","0.1876","0.1458","0.1396","0.1634","0.1584","0.1599","0.1626","0.1591","0.1547","0.1579","0.1621","0.1592","0.2131","0.2203","0.2274","0.2248","0.1566","0.1662","0.17","0.1663","0.2031","0.2106","0.2149","0.1746","0.1666","0.1684","0.1713","0.1702","0.166","0.1937","0.1192","0.1179","0.1271","0.1294"
"Interest Coverage","-0.869","-1.8919","1.7455","-1.4038","7.1481","168.0526","11.8824","11.0","8.6","4.3158","15.0","18.5263","15.5238","3.9474","20.35","13.55","9.8","7.2973","8.6316","8.5714","8.5172","26.5714","11.0741","9.8929","9.0625","6.3514","5.5135","6.0","5.7576","7.2727","9.4848","8.1935","4.625","-6.7742","-218.2903","6.9667","8.7879","2.9637","28.5439"
"Current Ratio","1.017","1.152","1.806","1.844","2.047","1.726","1.874","1.251","1.236","1.218","1.241","1.245","1.329","1.313","1.281","1.272","1.232","1.153","1.061","1.04","1.021","1.028","0.932","0.881","0.86","0.917","0.849","0.813","0.829","1.154","1.096","1.036","0.975","0.939","0.848","1.082","0.99","0.982","0.942"
"Income Quality","-1.6015","-2.4685","3.1304","-0.3819","-5.7037","0.1222","0.6588","0.859","2.5641","2.7727","1.6126","0.709","1.2415","2.0691","1.1625","0.7925","1.9873","3.2211","2.1435","0.9418","2.125","1.1969","1.6792","1.6923","2.6335","4.1012","3.4848","2.2794","2.0807","3.8207","1.3056","1.4581","5.0135","-2.2992","-0.0591","1.9603","2.407","5.0908","3.503"
"Payout Ratio","-0.318","-0.304","1.0","-0.304","0.318","1.356","0.577","0.652","0.882","0.6","0.469","0.429","0.441","0.484","0.366","0.441","0.652","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.7266","0.64","0.5426","0.5451","0.3095","0.3052","0.3024","0.5152","0.5041","0.2774","0.4979","0.5084","0.5018","0.4894","0.5027","0.5197","0.5118","0.4699","0.4948","0.5197","0.5227","0.5502","0.5831","0.6091","0.6097","0.5508","0.5843","0.61","0.5551","0.515","0.5378","0.5632","0.577","0.5828","0.6221","0.7372","0.7365","0.7241","0.7453"
"Selling, General and Administrative Expense of Revenue","0.4953","0.5892","0.488","0.4934","0.4242","0.441","0.4136","0.4437","0.4649","0.5239","0.5093","0.4069","0.4305","-0.0012","0.4152","0.4313","0.4511","0.4811","0.4696","0.4567","0.4664","0.4932","0.4805","0.4777","0.4658","0.4979","0.4994","0.4811","0.4641","0.4468","0.4696","0.4478","0.4525","0.4271","0.4386","0.4493","0.4582","0.4655","0.469"
"Research and Development Expense of Revenue","0.1983","0.2233","0.196","0.2043","0.1923","0.2027","0.1914","0.2196","0.2171","0.2314","0.199","0.1707","0.1775","0.0461","0.1478","0.1515","0.1533","0.1608","0.139","0.1454","0.1493","0.1434","0.1411","0.1469","0.1446","0.1351","0.1372","0.1405","0.1452","0.1411","0.1357","0.1425","0.1543","0.1533","0.1281","0.1443","0.1406","0.1449","0.1487"
"Working Capital","52000000.0","702000000.0","2906000000.0","2960000000.0","3477000000.0","2926000000.0","3346000000.0","935000000.0","958000000.0","969000000.0","1022000000.0","993000000.0","1309000000.0","1346000000.0","1167000000.0","1063000000.0","974000000.0","849000000.0","334000000.0","198000000.0","105000000.0","128000000.0","-283000000.0","-462000000.0","-567000000.0","-407000000.0","-691000000.0","-791000000.0","-775000000.0","580000000.0","344000000.0","120000000.0","-86000000.0","-216000000.0","-527713000.0","260762000.0","-33423000.0","-69668000.0","-206824000.0"
"Tangible Asset Value","4338000000.0","6543000000.0","7666000000.0","7671000000.0","7961000000.0","8176000000.0","8326000000.0","6041000000.0","6339000000.0","9562000000.0","6579000000.0","6333000000.0","6558000000.0","6913000000.0","6593000000.0","6203000000.0","6420000000.0","7690000000.0","7054000000.0","6466000000.0","6470000000.0","5857000000.0","5079000000.0","4626000000.0","4693000000.0","5714000000.0","5056000000.0","4610000000.0","4834000000.0","5448000000.0","5061000000.0","4635000000.0","4454000000.0","4438000000.0","4097253000.0","4630907000.0","4691853000.0","4992263000.0","4526224000.0"
"Net Current Asset Value","-9306000000.0","-9363000000.0","-6300000000.0","-6533000000.0","-965000000.0","-1132000000.0","631000000.0","-1904000000.0","-1866000000.0","-1876000000.0","-1937000000.0","-1948000000.0","-2038000000.0","-2090000000.0","-2184000000.0","-2287000000.0","-2475000000.0","-2616000000.0","-2990000000.0","-3154000000.0","-3255000000.0","-3215000000.0","-3562000000.0","-3764000000.0","-3895000000.0","-3628000000.0","-3729000000.0","-3787000000.0","-2573000000.0","-2333000000.0","-2585000000.0","-2917000000.0","-3111000000.0","-3194000000.0","-3708249000.0","-2997528000.0","-3343444000.0","-3388993000.0","-3463866000.0"
"Invested Capital","5113000000.0","5860000000.0","5624000000.0","5728000000.0","1735000000.0","367000000.0","4026000000.0","955000000.0","1383000000.0","4362000000.0","1677000000.0","1411000000.0","1607000000.0","995000000.0","725000000.0","663000000.0","560000000.0","529000000.0","448000000.0","517000000.0","322000000.0","229000000.0","608000000.0","528000000.0","351000000.0","454000000.0","588000000.0","660000000.0","-525000000.0","519000000.0","712000000.0","766000000.0","662000000.0","898000000.0","1277379000.0","1298333000.0","1313531000.0","1602452000.0","1760313000.0"
"Average Receivables","391000000.0","602500000.0","523500000.0","598500000.0","459000000.0","628000000.0","736000000.0","730000000.0","644500000.0","853500000.0","937000000.0","647500000.0","714500000.0","1019000000.0","986500000.0","654000000.0","685500000.0","985500000.0","1045000000.0","714500000.0","651000000.0","976500000.0","992500000.0","688000000.0","624000000.0","934500000.0","938500000.0","685000000.0","596000000.0","846500000.0","914024000.0","666589500.0","635729000.0","797600000.0","914331500.0","623508000.0","610589500.0","712584000.0","822302000.0"
"Average Payables","118000000.0","177500000.0","192000000.0","232500000.0","149500000.0","172000000.0","226500000.0","272500000.0","207000000.0","225500000.0","259000000.0","234000000.0","252000000.0","308000000.0","311500000.0","263500000.0","300000000.0","329000000.0","292500000.0","291000000.0","293000000.0","292000000.0","263500000.0","280500000.0","236500000.0","237000000.0","228500000.0","237500000.0","219500000.0","202000000.0","205737000.0","214013500.0","203663000.0","179815500.0","188172500.0","189724500.0","173520500.0","159381000.0","180746500.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","6000000.0","5500000.0","5500000.0","0.0","12500000.0","13500000.0","14000000.0","12000000.0","16500000.0","19500000.0","22000000.0","26000000.0","26000000.0","25500000.0","27500000.0","29000000.0","32000000.0","25500000.0","25000000.0","27500000.0","28000000.0","23000000.0","23000000.0","26000000.0","25709500.0","24795000.0","26162000.0","30569000.0","31005000.0","29662500.0","31495000.0","38160500.0","37915500.0"
