"","42947.0","42855.0","42766.0","42674.0","42582.0","42490.0","42400.0","42308.0","42216.0","42124.0","42035.0","41943.0","41851.0","41759.0","41670.0","41578.0","41486.0","41394.0","41305.0","41213.0","41121.0","41029.0","40939.0","40847.0","40755.0","40663.0","40574.0","40482.0","40390.0","40298.0","40209.0","40117.0","40025.0","39933.0","39844.0","39752.0","39660.0","39568.0","39478.0","39386.0"
"Book Value per Share","25.243","24.555","24.205","23.343","23.242","23.338","22.852","22.188","22.31","22.214","21.943","22.367","22.664","22.074","21.245","21.946","21.297","20.827","20.486","19.369","18.925","18.772","18.532","18.18","18.369","17.854","17.196","15.839","15.493","15.441","15.054","13.773","13.487","12.957","12.875","13.337","13.969","13.787","13.238","14.662"
"Tangible Book Value per Share","42.326","40.981","40.945","41.245","40.725","40.826","40.201","40.105","40.093","39.794","40.098","38.617","38.173","37.436","37.113","38.12","37.017","36.646","36.504","35.112","34.152","33.196","32.814","30.644","30.703","29.452","29.501","27.856","27.16","26.983","27.886","25.919","25.35","25.502","25.147","25.442","24.124","23.801","23.149","23.528"
"FCF per Share","0.968","0.629","1.868","1.14","0.567","0.29","2.291","0.447","0.816","0.822","2.655","-0.286","0.157","0.321","-0.963","0.181","0.514","-0.253","1.279","0.149","0.077","-1.3","1.66","-1.353","0.225","-0.751","2.183","0.051","0.052","-0.928","3.037","0.668","0.991","0.21","1.402","-0.32","0.279","-1.43","2.578","-0.554"
"Interest Debt per Share","8.9647","8.5963","8.8924","8.87","8.7183","8.7454","8.6013","8.3258","8.2705","8.2872","8.6416","8.3957","7.9312","7.6943","7.8368","7.8727","7.5432","7.6508","7.5618","7.7161","7.4196","6.5842","5.6187","5.5717","5.4181","5.3831","5.4352","5.9836","6.1628","5.9965","6.0278","6.0627","6.0585","6.6277","5.7455","6.6554","5.0845","4.8329","3.4955","3.4027"
"Cash per Share","6.5928","6.7319","7.4538","5.8387","5.3176","6.1824","6.6217","5.2348","5.8798","5.2307","5.6502","2.6994","3.0797","2.7874","2.7003","4.0717","3.8307","3.6516","3.9796","2.7183","2.8909","2.5377","3.4238","2.1941","4.1629","4.7368","5.3827","3.822","4.466","5.3177","6.2808","3.0182","2.6886","2.4494","1.3006","1.2997","1.2103","1.2623","1.9027","2.4599"
"Debt to Equity Ratio","0.3551","0.3501","0.3674","0.38","0.3751","0.3747","0.3764","0.3752","0.3707","0.3731","0.3938","0.3754","0.35","0.3486","0.3689","0.3587","0.3542","0.3673","0.3691","0.3984","0.3921","0.3507","0.3032","0.3065","0.295","0.3015","0.3161","0.3778","0.3978","0.3883","0.4004","0.4402","0.4492","0.5115","0.4462","0.499","0.364","0.3505","0.264","0.2321"
"Total Debt To Total Assets","0.2118","0.2098","0.2172","0.2151","0.2141","0.2142","0.214","0.2076","0.2063","0.2083","0.2155","0.2174","0.2078","0.2055","0.2112","0.2065","0.2038","0.2088","0.2071","0.2198","0.2172","0.1983","0.1712","0.1818","0.1765","0.1828","0.1842","0.2148","0.2269","0.2222","0.2162","0.2339","0.239","0.2599","0.2285","0.2616","0.2108","0.2031","0.151","0.1446"
"Interest Coverage","20.6023","15.3263","22.4261","16.0","13.0522","11.7043","23.8257","10.2895","12.7059","18.2796","20.3576","4.8506","12.9503","12.8712","-7.2472","11.0342","12.038","11.1043","15.1825","7.9345","10.8477","12.7899","15.7938","14.0649","14.6107","13.3996","15.7734","7.5077","10.2154","8.6849","12.0822","5.9021","7.3865","4.5347","6.8047","5.5176","39.6584","68.5073","9.4836","0.0"
"Current Ratio","5.746","6.171","5.647","5.52","4.984","4.907","4.807","4.917","5.672","5.945","5.333","5.532","5.15","5.203","4.634","5.22","5.502","5.326","5.373","5.462","5.953","4.298","4.611","5.259","5.314","6.791","5.594","5.554","4.343","4.299","4.074","4.424","7.605","5.792","3.404","2.502","3.15","3.455","3.287","4.926"
"Income Quality","1.5061","1.2239","1.8916","2.0778","1.2006","0.9394","2.3658","1.2923","1.5853","1.3689","2.2288","0.6527","0.614","0.6099","0.4869","0.899","1.1032","0.0273","1.7098","1.2539","0.6809","-1.479","1.5009","-1.1267","0.9789","-0.5458","1.7366","0.8047","0.4714","-1.4283","2.9097","2.2928","2.4425","1.673","7.0424","0.0254","0.951","-2.4005","2.8983","-0.137"
"Payout Ratio","0.543","0.6","0.354","0.592","0.536","0.58","0.313","0.563","0.494","0.469","0.25","1.267","0.396","0.351","-0.42","0.459","0.405","0.485","0.227","0.64","0.444","0.453","0.206","0.408","0.414","0.391","0.175","0.568","0.604","0.392","0.15","0.486","0.37","0.85","0.68","0.486","0.266","0.294","0.156","0.2"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.4344","0.458","0.4324","0.447","0.4317","0.4611","0.4152","0.435","0.4242","0.4146","0.3711","0.4193","0.3895","0.3752","0.3641","0.4014","0.3837","0.4043","0.3564","0.4069","0.3887","0.4078","0.3631","0.4012","0.4287","0.4044","0.3567","0.4415","0.4084","0.4112","0.3578","0.4363","0.4047","0.4438","0.3909","0.4311","0.3941","0.416","0.3604","0.4597"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","3074200000.0","3012000000.0","2940800000.0","2873500000.0","2779100000.0","2804400000.0","2778500000.0","2774500000.0","2893100000.0","2893400000.0","2850800000.0","2875800000.0","2780900000.0","2692600000.0","2531648000.0","2718388000.0","2651043000.0","2586599000.0","2564997000.0","2518384000.0","2499956000.0","2250751000.0","2262998000.0","2222599000.0","2246752000.0","2294674000.0","2204632000.0","2029395000.0","1860711000.0","1827467000.0","1845393000.0","1707767000.0","1844653000.0","1758751000.0","1446812000.0","1240477000.0","1327863000.0","1373639000.0","1337454000.0","1699316000.0"
"Tangible Asset Value","5269600000.0","5106200000.0","5097600000.0","5139100000.0","5102900000.0","5148200000.0","5121600000.0","5157500000.0","5172000000.0","5141400000.0","5180600000.0","4997000000.0","4935800000.0","4825500000.0","4752351000.0","4879501000.0","4731718000.0","4665756000.0","4630850000.0","4449995000.0","4324746000.0","4206669000.0","4158992000.0","3898284000.0","3930888000.0","3758132000.0","3735669000.0","3514787000.0","3446561000.0","3418707000.0","3488360000.0","3219229000.0","3145469000.0","3162252000.0","3102283000.0","3139575000.0","3032676000.0","3009851000.0","3000904000.0","3202709000.0"
"Net Current Asset Value","1610400000.0","1563000000.0","1504400000.0","1295200000.0","1302500000.0","1333300000.0","1316300000.0","1196300000.0","1235000000.0","1223400000.0","1178900000.0","1422100000.0","1459600000.0","1368400000.0","1210005000.0","1304955000.0","1243495000.0","1183173000.0","1132057000.0","1100032000.0","1088767000.0","1105335000.0","1079588000.0","1158946000.0","1188352000.0","1211069000.0","1126351000.0","958800000.0","936834000.0","919154000.0","840545000.0","697990000.0","651891000.0","570192000.0","534822000.0","572748000.0","668876000.0","666794000.0","637526000.0","925373000.0"
"Invested Capital","4917100000.0","4756000000.0","4643900000.0","4881100000.0","4831400000.0","4753600000.0","4643900000.0","4846700000.0","4861200000.0","4951200000.0","4909100000.0","5099500000.0","4893000000.0","4817300000.0","4713352000.0","4721927000.0","4617399000.0","4577045000.0","4498692000.0","4518977000.0","4393454000.0","4037093000.0","3810508000.0","3806045000.0","3570828000.0","3444321000.0","3262405000.0","3341898000.0","3105190000.0","2950720000.0","2856434000.0","3098553000.0","3284349000.0","3313335000.0","3048720000.0","2974380000.0","2902130000.0","2901907000.0","2622526000.0","2898167000.0"
"Average Receivables","219850000.0","227300000.0","216600000.0","210250000.0","198350000.0","207000000.0","200800000.0","191900000.0","185300000.0","193550000.0","192007000.0","171581000.0","176023000.0","188157500.0","181406000.0","163233000.0","166604500.0","181678000.0","179041500.0","165392500.0","176732000.0","178783500.0","185027000.0","174804500.0","169354500.0","157902500.0","172337500.0","165161500.0","148366500.0","137658000.0","161576500.0","157582000.0","160567000.0","164295500.0","179210500.0","166473500.0","166731000.0","176401000.0","179784000.0","158643000.0"
"Average Payables","301050000.0","290900000.0","320950000.0","318250000.0","305450000.0","285800000.0","323550000.0","333850000.0","305500000.0","288650000.0","330045000.0","327049000.0","288805000.0","293528000.0","318757000.0","296993500.0","268209000.0","283074500.0","312193000.0","285600500.0","266954500.0","250990500.0","293786500.0","251652500.0","220029000.0","190726500.0","245262000.0","219303000.0","160708000.0","163883500.0","227739500.0","229252000.0","172686500.0","169439500.0","213594000.0","220385000.0","176939000.0","169412000.0","201046500.0","207398500.0"
"Average Inventory","2280850000.0","2258750000.0","2191300000.0","2325050000.0","2341250000.0","2341550000.0","2293550000.0","2453700000.0","2444600000.0","2390700000.0","2344340000.0","2489555000.0","2430005000.0","2349395000.0","2280457000.0","2354140500.0","2279492000.0","2235129500.0","2153773000.0","2177518500.0","2033674000.0","1955382000.0","1849257000.0","1860009000.0","1694995500.0","1597312500.0","1526578500.0","1598220000.0","1545815500.0","1513723500.0","1514545500.0","1590183500.0","1525217500.0","1509941500.0","1486816500.0","1551990500.0","1440470000.0","1400947500.0","1259535500.0","1356295500.0"
