"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","21.423","20.542","20.575","19.447","19.584","19.195","18.965","18.241","19.061","19.185","20.8","19.872","20.072","19.209","18.467","17.455","16.621","15.928","15.091","15.203","14.339","14.321","13.54","12.754","13.139","13.344","12.855","11.954","11.401","11.61","11.193","10.697","10.099","9.634","9.632","10.269","10.216","9.852","10.517"
"Tangible Book Value per Share","24.317","23.047","22.837","24.372","23.835","22.315","17.687","17.957","18.227","20.314","19.194","19.396","19.043","18.294","16.739","17.149","15.937","15.299","13.878","14.734","13.529","13.457","12.289","12.38","12.384","12.434","11.606","11.303","10.546","10.528","9.882","9.743","8.966","8.327","8.335","9.487","9.173","8.715","9.512"
"FCF per Share","-0.352","0.582","-0.548","1.072","-0.527","0.15","0.399","1.843","1.168","1.927","0.325","1.778","0.777","1.761","0.167","1.527","0.963","1.693","0.081","1.369","0.826","0.975","-0.099","1.223","0.975","1.252","0.018","0.881","0.588","0.895","0.148","0.621","0.375","0.425","-0.163","0.928","0.659","0.874","0.106"
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","6.3921","6.4943","4.9496","5.6366","5.1377","5.3304","4.6687","4.5447","4.8706","6.9437","5.8064","6.2516","6.4868","6.6326","5.3582","6.5093","5.6139","4.987","3.4493","4.8654","3.8115","4.3533","3.5541","3.9061","3.9372","4.1117","3.1708","3.1613","2.8321","2.9503","2.8866","2.8865","2.6124","2.4346","2.3959","3.2961","2.624","2.3317","2.9733"
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","-0.1319","0.4885","-0.2572","0.9143","-0.4265","0.2384","0.4515","1.8293","1.0291","1.757","0.4046","1.6156","0.7799","1.6007","0.2603","1.5923","1.0835","1.8991","0.1802","1.482","1.1059","1.3458","0.0419","1.779","1.341","1.7266","0.1112","1.5334","1.2334","1.6778","0.4525","1.4808","1.304","2.8921","0.2222","1.8534","1.1998","1.7069","0.3713"
"Payout Ratio","0.375","0.365","0.353","0.415","0.667","0.446","0.433","0.481","1.969","0.448","0.364","0.383","0.379","0.379","0.345","0.369","0.4","0.409","1.473","0.351","0.42","0.436","0.419","0.425","0.392","0.413","0.365","0.409","0.443","0.458","0.424","0.481","0.641","1.316","2.4","0.407","0.387","0.414","0.333"
"Intangible Assets out of Total Assets","0.1019","0.1061","0.1069","0.099","0.1011","0.1073","0.1304","0.1264","0.1229","0.1117","0.1179","0.1154","0.1174","0.1219","0.1323","0.1298","0.1387","0.1444","0.1584","0.1511","0.1617","0.1633","0.1766","0.1734","0.1715","0.1713","0.1828","0.1868","0.1956","0.1962","0.2074","0.2106","0.2252","0.2384","0.2361","0.214","0.2192","0.2267","0.2095"
"Selling, General and Administrative Expense of Revenue","0.4315","0.4522","0.4487","0.4419","0.4425","0.4563","0.4389","0.449","0.423","0.4358","0.4281","0.4236","0.419","0.4301","0.4232","0.4177","0.4338","0.4455","0.4382","0.4374","0.4566","0.4649","0.4492","0.4714","0.4477","0.4524","0.4951","0.4455","0.452","0.4619","0.5223","0.4724","0.5378","0.5813","0.5677","0.4566","0.4486","0.4811","0.4453"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","5866900000.0","5609900000.0","5559300000.0","6057800000.0","5916000000.0","5538200000.0","4441200000.0","4600900000.0","4749800000.0","5296300000.0","4978700000.0","5102300000.0","5003300000.0","4797200000.0","4367400000.0","4461100000.0","4133200000.0","3944900000.0","3537100000.0","3739900000.0","3451200000.0","3411200000.0","3104600000.0","3173900000.0","3216700000.0","3220300000.0","2976300000.0","2897600000.0","2737300000.0","2726700000.0","2544600000.0","2495300000.0","2290700000.0","2126800000.0","2153700000.0","2454200000.0","2381300000.0","2280800000.0","2511600000.0"
"Invested Capital","4324700000.0","4029100000.0","4354400000.0","4656800000.0","4640800000.0","4215300000.0","3268900000.0","3436500000.0","3480600000.0","3485900000.0","3472600000.0","3457800000.0","3299000000.0","3057900000.0","2969400000.0","2767800000.0","2677300000.0","2659000000.0","2658000000.0","2504900000.0","2478900000.0","2307700000.0","2206700000.0","2172500000.0","2194000000.0","2155400000.0","2163200000.0","2087200000.0","2002200000.0","1962600000.0","1801300000.0","1756000000.0","1623300000.0","1505000000.0","1534600000.0","1601500000.0","1700100000.0","1670600000.0","1726500000.0"
"Average Receivables","458050000.0","455300000.0","450550000.0","439150000.0","438400000.0","437700000.0","444400000.0","427500000.0","437700000.0","433500000.0","420800000.0","394600000.0","396250000.0","392150000.0","376350000.0","348900000.0","345350000.0","343550000.0","329200000.0","314000000.0","324100000.0","321950000.0","306200000.0","285500000.0","290550000.0","290200000.0","277050000.0","249150000.0","227550000.0","213250000.0","211750000.0","228800000.0","230050000.0","213300000.0","221300000.0","243750000.0","255450000.0","241150000.0","244400000.0"
"Average Payables","183200000.0","178900000.0","175700000.0","188900000.0","174550000.0","417200000.0","157000000.0","161700000.0","144850000.0","390900000.0","123650000.0","123950000.0","117800000.0","108650000.0","96800000.0","94000000.0","100300000.0","90350000.0","86300000.0","95400000.0","90300000.0","81750000.0","81150000.0","90350000.0","97850000.0","79250000.0","79650000.0","79550000.0","91200000.0","80800000.0","83350000.0","87050000.0","87150000.0","91250000.0","124950000.0","113000000.0","118600000.0","114350000.0","142700000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
