"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","4.595","4.598","4.634","4.392","4.067","4.016","3.863","3.558","3.283","3.202","3.226","2.916","2.657","2.591","2.474","2.273","2.068","1.995","1.937","1.801","1.64","1.611","1.528","1.425","1.296","1.267","1.208","1.125","1.035","1.016","0.989","0.936","0.868","0.851","0.834","0.806","0.737","0.726","0.702"
"Tangible Book Value per Share","7.388","6.7","6.883","6.944","6.374","5.895","5.106","5.471","4.832","4.306","4.648","4.246","3.982","3.376","3.362","3.278","2.999","2.69","2.733","2.551","2.378","2.189","2.194","2.16","1.835","1.659","1.632","1.557","1.383","1.339","1.335","1.265","1.186","1.138","1.214","1.183","1.043","0.972","0.961"
"FCF per Share","-0.238","-0.285","0.761","-0.029","-0.276","-0.535","0.456","-0.451","-0.233","-0.567","0.592","-0.127","0.169","-0.438","0.485","-0.104","-0.088","-0.22","0.457","0.016","0.075","-0.196","0.368","-0.193","-0.042","-0.232","0.181","-0.066","-0.021","-0.047","0.222","0.034","0.014","-0.025","0.139","0.045","-0.042","-0.065","0.061"
"Interest Debt per Share","2.1677","1.9598","1.865","2.4525","2.3307","2.1551","1.5422","2.0894","1.6522","1.5571","0.679","0.4456","0.4579","0.3545","0.3591","0.1275","0.1309","0.143","0.1468","0.1716","0.1758","0.1811","0.1866","0.2636","0.0887","0.0329","0.0387","0.0452","0.0381","0.0441","0.05","0.0453","0.0508","0.0468","0.1148","0.0947","0.0749","0.0478","0.0359"
"Cash per Share","0.3762","0.3918","0.5715","0.411","0.2783","0.3621","0.3007","0.3694","0.3458","0.5201","1.4172","0.5801","0.6997","0.4206","0.8161","0.4384","0.5279","0.6052","0.8106","0.373","0.3401","0.2559","0.4211","0.1634","0.288","0.2674","0.4954","0.3264","0.3816","0.4086","0.4631","0.2316","0.1985","0.1647","0.2569","0.1013","0.0338","0.0447","0.1016"
"Debt to Equity Ratio","0.4718","0.4263","0.4025","0.5583","0.5731","0.5367","0.3993","0.5872","0.5033","0.4863","0.2105","0.1528","0.1724","0.1368","0.1452","0.0561","0.0633","0.0717","0.0758","0.0952","0.1072","0.1124","0.1221","0.185","0.0684","0.026","0.0321","0.0402","0.0369","0.0434","0.0506","0.0484","0.0585","0.0551","0.1377","0.1175","0.1017","0.0658","0.0511"
"Total Debt To Total Assets","0.2452","0.2407","0.2243","0.2914","0.2962","0.2904","0.2324","0.2973","0.2582","0.2646","0.1357","0.0969","0.1055","0.0948","0.0969","0.0388","0.0435","0.053","0.0535","0.067","0.0735","0.0823","0.0846","0.1217","0.0481","0.0197","0.0236","0.0288","0.0273","0.0326","0.0371","0.0354","0.0422","0.0407","0.0935","0.0791","0.0708","0.0484","0.0367"
"Interest Coverage","-0.9781","1.2923","20.3782","24.2445","2.8542","8.2932","43.2411","41.0141","7.4946","11.6864","83.3069","92.9974","28.4768","30.7116","121.5447","174.6975","44.3221","18.9407","67.1851","69.7997","9.2652","18.0701","39.1387","47.5335","37.0236","35.6339","59.4034","104.2528","11.5948","23.6245","61.3218","101.1996","5.1784","9.1965","51.7386","404.0901","9.3771","54.4333","-36.6021"
"Current Ratio","2.313","3.037","2.865","2.364","2.607","2.919","3.13","2.089","2.635","3.2","3.675","2.985","2.849","2.905","2.646","3.372","3.33","4.301","3.582","3.318","3.09","3.799","3.756","3.21","3.601","4.102","3.727","3.521","3.805","4.007","3.728","3.636","3.566","3.742","2.978","2.989","3.343","3.823","3.367"
