"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","10.835","11.38","11.606","10.976","11.067","11.327","11.116","11.093","11.083","10.942","10.768","11.04","10.719","10.956","11.247","11.313","11.466","11.729","11.977","12.215","13.289","11.436","10.615","10.879","9.591","8.95","8.879","10.109","8.512","9.02","9.138","9.56","10.053","10.644","10.874","10.554","11.084","11.201","7.666"
"Tangible Book Value per Share","29.096","28.996","28.816","28.731","28.581","28.963","29.38","26.717","26.914","26.704","26.884","27.411","27.701","27.317","27.232","27.026","26.976","27.572","27.449","27.663","29.794","31.343","30.831","31.826","31.299","30.142","30.566","33.115","31.571","32.766","33.61","33.402","33.263","35.967","39.501","37.139","36.502","35.569","36.105"
"FCF per Share","0.09","0.129","0.3","0.275","0.218","0.195","0.408","0.115","0.272","0.123","0.035","0.099","0.059","-0.02","-0.059","-0.004","-0.163","-0.183","-0.163","-0.036","-0.04","-0.061","0.073","0.007","0.106","0.055","0.121","0.126","0.005","0.001","-0.149","-0.037","-0.144","0.03","-0.315","-0.228","-0.118","-0.268","-0.015"
"Interest Debt per Share","13.6143","13.2587","12.7633","13.3097","13.0139","12.9996","13.6888","13.5586","13.8236","13.6924","14.0361","14.4173","14.9759","14.5027","14.0954","13.8535","13.5797","14.0011","13.6436","13.3802","14.2933","17.6677","17.9736","18.6578","19.4225","19.2777","19.7203","21.0375","21.2054","21.8668","22.4384","21.8336","21.506","23.3078","25.0434","24.3978","23.3353","22.3031","26.3403"
"Cash per Share","0.0787","0.0833","0.0829","0.0921","0.0965","0.0941","0.1056","0.0966","0.1005","0.115","0.1479","0.1533","0.2004","0.156","0.2122","0.1367","0.1355","0.127","0.1428","0.4302","0.8917","0.1254","0.1703","0.1549","0.2197","0.1482","0.1378","0.1511","0.1107","0.1829","0.0973","0.2216","0.0922","0.3173","0.1572","0.0942","0.072","0.4859","0.0607"
"Debt to Equity Ratio","1.2565","1.1651","1.0997","1.2126","1.176","1.1477","1.2314","1.2223","1.2473","1.2514","1.3035","1.3059","1.3971","1.3237","1.2533","1.2246","1.1843","1.1937","1.1391","1.0954","1.0755","1.5449","1.6933","1.715","2.0251","2.154","2.2209","2.0811","2.4912","2.4242","2.4556","2.2838","2.1393","2.1898","2.3031","2.3117","2.1053","1.9912","3.436"
"Total Debt To Total Assets","0.4679","0.4573","0.4429","0.4632","0.4553","0.4488","0.4659","0.5075","0.5136","0.5127","0.5221","0.526","0.5406","0.5309","0.5176","0.5126","0.5034","0.5078","0.4971","0.4837","0.4797","0.5637","0.583","0.5862","0.6206","0.6396","0.6452","0.6353","0.6717","0.6674","0.6676","0.6537","0.6466","0.648","0.634","0.6569","0.6393","0.627","0.7296"
"Interest Coverage","1.3107","1.8612","9.0","1.8465","1.5719","1.3212","5.9741","1.4187","3.8798","3.5485","2.7788","2.1502","1.8778","1.4571","2.1006","1.0171","1.0815","0.9277","0.5457","0.6235","4.5514","2.7349","1.9098","0.667","1.3932","0.1985","0.0622","0.3422","0.2441","0.3153","0.1682","-0.1199","0.6591","0.6555","0.761","0.7305","0.8862","18.8357","2.9421"
"Income Quality","12.9534","4.8112","0.6504","6.0188","6.6821","11.9147","0.9235","7.1838","1.408","1.3173","1.7884","2.4172","3.5662","4.7344","2.1976","39.3921","24.8132","-55.5963","-5.8573","-9.833","0.5608","0.866","1.5499","-4.3606","5.5249","-1.5856","-1.8391","-2.1317","-2.0805","-1.5703","-1.6025","-1.6102","-3.5292","-4.6378","-2.264","-5.721","-15.5214","0.0311","0.7845"
