"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","50.005","49.034","46.735","45.251","44.311","43.944","43.18","41.808","41.026","39.5","37.81","36.377","35.866","34.413","33.083","31.694","30.515","29.013","27.921","26.945","26.237","25.129","23.807","22.807","22.407","21.507","20.373","20.083","19.517","18.871","17.998","17.675","17.175","16.223","15.436","15.495","15.253","14.506","14.299"
"Tangible Book Value per Share","70.123","68.963","67.359","62.383","61.323","61.165","61.162","58.857","58.196","58.507","57.518","57.195","55.212","54.556","53.572","54.127","53.818","53.988","53.139","53.568","53.242","53.353","52.228","51.336","50.823","51.517","50.842","36.531","33.68","33.828","33.218","32.41","31.76","31.515","30.09","29.168","29.334","28.641","26.939"
"FCF per Share","-0.805","3.409","0.666","1.549","2.479","3.565","1.165","1.678","1.808","1.84","2.677","1.096","1.713","1.037","2.337","0.827","1.351","0.845","1.885","0.644","1.612","0.359","0.6","1.31","1.157","1.3","0.278","1.333","0.302","0.796","-0.452","0.899","0.446","0.752","-0.352","1.311","-0.074","0.487","-0.217"
"Interest Debt per Share","42.7548","40.3642","42.6413","37.4201","37.0118","33.6083","34.8658","31.3059","30.6586","31.752","33.1809","34.8788","31.8391","32.5934","33.6846","35.6586","36.1785","37.5646","38.3822","35.5667","35.7945","37.1078","37.882","37.863","38.4723","39.5754","40.3146","10.5045","9.1349","9.2516","9.8571","8.7466","9.4358","9.6286","9.9921","9.3356","10.4022","10.1933","9.5371"
"Cash per Share","0.6904","0.652","0.3479","0.6358","0.5795","0.5593","0.6221","0.3998","0.4289","0.3546","0.3246","0.4009","0.149","0.165","0.1755","0.1235","0.1281","0.178","0.2415","0.265","0.3407","0.4348","0.4274","0.4019","0.3569","0.5348","0.3035","2.7548","0.1276","0.0711","0.0944","0.1394","0.1087","0.0958","0.0546","0.0772","0.0613","0.087","0.1541"
"Debt to Equity Ratio","0.855","0.8232","0.9124","0.8269","0.8353","0.7648","0.8074","0.7488","0.7473","0.8038","0.8776","0.9588","0.8877","0.9471","1.0182","1.1251","1.1856","1.2947","1.3747","1.3199","1.3643","1.4767","1.5912","1.6601","1.717","1.8401","1.9788","0.5231","0.468","0.4903","0.5477","0.4948","0.5494","0.5935","0.6473","0.6025","0.682","0.7027","0.667"
"Total Debt To Total Assets","0.39","0.3731","0.4009","0.3757","0.3767","0.343","0.3569","0.3361","0.3343","0.3457","0.3653","0.3855","0.3683","0.3811","0.3981","0.4191","0.4264","0.4413","0.4548","0.4425","0.4461","0.4605","0.4767","0.4849","0.4961","0.5062","0.5201","0.2382","0.2214","0.2233","0.2419","0.2192","0.2403","0.2471","0.267","0.2552","0.2833","0.2835","0.2804"
"Interest Coverage","9.0534","9.842","9.4185","8.4711","10.624","11.1947","10.6212","9.6495","11.4211","10.2217","9.7547","5.0842","7.9371","7.3083","6.5633","6.696","7.5346","5.8533","6.3802","3.5206","4.8041","5.4606","4.2549","3.8335","4.414","4.3359","2.8227","8.2324","9.6853","10.4714","10.5151","8.7103","12.6239","9.6738","6.7047","5.4365","7.7511","8.3651","6.0375"
"Current Ratio","1.333","1.141","1.276","1.241","1.267","0.97","1.562","1.418","1.431","1.368","1.365","1.392","1.371","1.39","1.351","1.468","1.414","1.557","1.574","1.775","1.648","1.64","1.631","1.647","1.744","1.674","1.611","1.065","1.473","1.373","1.366","1.258","1.342","1.292","1.407","1.374","1.664","1.528","1.589"
"Income Quality","0.2728","2.3441","1.0813","1.9683","1.9464","2.4913","1.2915","1.7626","1.4289","1.5564","2.0042","2.7916","1.7391","1.4096","2.476","1.6145","1.399","1.4902","1.9506","2.2577","2.2837","0.9892","1.5554","2.4305","1.6652","1.6041","2.381","3.3284","1.3461","1.9418","0.9363","3.5916","1.8368","2.2542","1.7089","5.8463","1.2314","2.1354","1.4683"
"Payout Ratio","0.052","0.047","0.056","0.064","0.052","0.051","0.056","0.066","0.054","0.057","0.057","0.119","0.033","0.036","0.039","0.043","0.032","0.041","0.324","0.068","0.045","0.038","0.051","0.057","0.047","0.043","0.132","0.088","0.074","0.068","0.081","0.077","0.049","0.059","0.087","0.111","0.074","0.067","0.108"
"Intangible Assets out of Total Assets","0.3604","0.3625","0.3668","0.3737","0.3758","0.3758","0.374","0.368","0.3654","0.363","0.3667","0.3678","0.3614","0.3622","0.3668","0.3639","0.3657","0.3657","0.3703","0.3335","0.3365","0.3379","0.3428","0.3426","0.3446","0.341","0.344","0.1716","0.1837","0.1834","0.1848","0.1878","0.1913","0.1913","0.1958","0.2028","0.2012","0.2034","0.2079"
"Selling, General and Administrative Expense of Revenue","0.4732","0.4738","0.4672","0.4771","0.4652","0.4687","0.4662","0.4746","0.4589","0.4636","0.457","0.4677","0.4688","0.4826","0.4784","0.4973","0.489","0.4926","0.4963","0.4987","0.4961","0.4864","0.5014","0.4984","0.4879","0.4813","0.7271","0.4328","0.4211","0.4297","0.436","0.431","0.4157","0.4124","0.4305","0.4266","0.4183","0.4238","0.4336"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","440931000.0","214647000.0","363998000.0","308420000.0","338719000.0","-50002000.0","617898000.0","500358000.0","514648000.0","461965000.0","432311000.0","456630000.0","414008000.0","432665000.0","372441000.0","478963000.0","434830000.0","537282000.0","513438000.0","650076000.0","572834000.0","571155000.0","527972000.0","539055000.0","583571000.0","564002000.0","504817000.0","65477000.0","264095000.0","227586000.0","213380000.0","163039000.0","200774000.0","188157000.0","228292000.0","211557000.0","336730000.0","288903000.0","287136000.0"
"Tangible Asset Value","6749101000.0","6660744000.0","6533696000.0","6058554000.0","5955038000.0","5970108000.0","6019330000.0","5818500000.0","5761614000.0","5786919000.0","5683230000.0","5665234000.0","5458900000.0","5377719000.0","5262707000.0","5312574000.0","5275907000.0","5275182000.0","5164078000.0","5186326000.0","5148011000.0","5153516000.0","5037643000.0","4999980000.0","4958470000.0","5016782000.0","4938022000.0","3535374000.0","3257003000.0","3265685000.0","3231778000.0","3168824000.0","3102989000.0","3101435000.0","3009525000.0","2948497000.0","2970288000.0","2936443000.0","2858262000.0"
