"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","1.434","0.615","0.464","3.124","2.975","2.778","2.774","2.152","2.164","2.027","2.365","6.16","6.083","6.769","6.974","3.882","3.83","4.225","4.877","7.855","7.968","7.743","7.29","7.951","8.369","8.271","8.068","8.539","7.941","7.601","7.685","7.02","6.827","6.811","6.813","11.012","10.795","11.208","11.594"
"Tangible Book Value per Share","39.239","37.726","39.949","38.003","37.797","38.624","37.447","37.98","37.902","38.057","35.802","36.041","34.771","36.928","35.813","36.796","35.873","36.919","37.827","37.853","35.863","34.579","33.177","33.188","32.912","32.304","31.263","30.497","30.885","30.021","29.41","29.756","30.202","31.443","29.524","34.73","34.124","33.113","34.103"
"FCF per Share","1.514","-0.791","-0.007","-0.158","1.694","2.54","0.332","1.665","1.0","2.646","0.747","1.911","-1.005","2.112","1.937","1.151","1.216","1.381","1.674","0.655","1.107","1.952","1.307","1.477","1.516","0.902","-0.461","0.826","1.113","1.295","0.66","0.59","0.684","1.828","0.998","1.222","0.99","2.611","-4.691"
"Interest Debt per Share","20.8283","19.8154","18.4208","17.4543","16.2756","17.4561","16.0981","16.2923","14.5931","14.519","11.9075","13.411","12.9364","13.0912","11.7111","13.4289","12.6257","13.2844","13.4904","15.6577","13.5727","12.5146","11.5317","12.6449","12.331","12.2154","10.9674","9.7326","10.3496","10.0257","9.59","10.3624","10.9373","12.1384","9.9188","10.8703","10.6322","9.4764","10.4849"
"Cash per Share","4.0841","3.0884","3.9832","3.7571","3.4656","4.3951","3.066","3.8396","3.8058","4.966","2.5309","4.6021","3.3384","6.4427","5.025","5.5229","5.0914","6.7712","7.6802","8.7955","7.0016","5.354","3.1441","4.214","4.7566","4.7178","3.4077","3.0484","3.2833","2.5623","1.5532","2.2545","2.832","3.7551","0.5095","1.229","1.1539","0.9755","1.9289"
"Debt to Equity Ratio","14.5289","32.2243","39.6914","5.5873","5.4707","6.2833","5.8032","7.5692","6.7446","7.1646","5.0346","2.1772","2.1268","1.934","1.6793","3.4596","3.2964","3.1445","2.766","1.9932","1.7035","1.6163","1.5818","1.5904","1.4733","1.477","1.3593","1.1397","1.3034","1.3189","1.2478","1.4761","1.6021","1.7822","1.4559","0.9871","0.9849","0.8455","0.9044"
"Total Debt To Total Assets","0.455","0.4492","0.3981","0.3997","0.3747","0.3941","0.3741","0.3744","0.3531","0.351","0.3041","0.3412","0.3397","0.3258","0.3002","0.3362","0.3249","0.3333","0.3312","0.3842","0.3503","0.3336","0.3207","0.3519","0.346","0.3486","0.3228","0.293","0.3081","0.3062","0.2986","0.3199","0.3344","0.3578","0.3096","0.2871","0.2852","0.2616","0.2822"
"Interest Coverage","20.0901","17.6373","-4.16","21.7766","21.766","19.7849","24.1647","23.9518","22.8372","19.2759","8.6092","22.4828","8.6742","16.8111","20.4043","19.6304","17.8061","16.5104","-25.4679","7.8776","19.5217","16.7553","12.5521","20.0238","21.1325","17.4471","16.9255","17.9231","16.4762","12.2118","11.0","10.0538","4.8232","8.9146","8.2","15.5673","14.1154","11.5672","-50.7229"
"Current Ratio","1.118","1.008","1.181","1.18","1.317","1.254","1.235","1.144","1.336","1.311","1.301","1.464","1.48","1.59","1.877","1.759","1.841","1.802","1.858","1.588","1.75","1.786","1.886","1.681","1.7","1.659","1.96","1.582","1.434","1.366","1.487","1.412","1.423","1.293","1.132","1.123","0.996","1.07","1.195"
