"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","35.498","34.242","33.707","34.874","34.761","33.898","31.349","34.275","34.124","31.582","34.747","37.22","36.854","35.31","35.367","31.146","29.356","28.576","28.948","27.369","24.803","24.747","24.521","25.416","25.449","24.62","23.554","23.47","21.895","21.852","21.873","20.162","18.911","17.225","16.808","22.597","23.212","22.674","22.152"
"Tangible Book Value per Share","64.058","58.72","57.398","55.967","55.09","54.331","51.083","55.254","55.194","53.132","53.69","52.384","52.413","51.883","52.059","50.932","49.612","50.044","51.853","53.927","58.862","45.976","44.37","45.007","44.459","42.61","40.436","43.239","41.224","40.797","39.161","41.251","40.626","39.487","40.553","39.927","40.275","38.63","35.994"
"FCF per Share","2.122","0.829","1.435","1.85","-1.491","-2.05","2.326","0.569","1.356","1.088","1.965","1.775","1.457","1.095","2.294","1.363","1.731","0.435","1.488","1.455","1.627","1.227","1.853","1.98","1.185","1.324","1.451","1.655","1.368","1.102","1.254","1.845","1.487","0.346","1.721","1.68","1.179","0.684","1.648"
"Interest Debt per Share","33.2315","30.504","29.2117","27.0812","26.9302","27.5587","23.4044","25.4514","25.2111","24.2439","21.9314","21.8603","21.8952","21.8993","22.465","23.093","23.557","24.8996","25.9395","31.4766","22.7364","10.7728","11.4984","12.7858","12.7651","11.6691","11.3327","13.5844","13.2524","13.0823","10.6213","11.3762","11.7693","11.7941","12.2372","11.1168","11.3665","10.5221","9.4896"
"Cash per Share","11.6634","8.8799","8.7473","8.4918","8.1076","8.6259","8.107","6.1498","6.6648","5.8215","5.821","5.5039","5.4127","4.8916","5.1265","5.0365","5.3399","5.2005","5.3832","6.8459","18.3035","6.9152","6.6794","6.7124","6.0432","4.9405","4.4972","6.3284","5.4888","5.2408","4.8496","5.0513","4.37","3.5643","4.614","3.8746","3.6462","3.2973","3.0124"
"Debt to Equity Ratio","0.9362","0.8908","0.8666","0.7765","0.7747","0.813","0.7466","0.7426","0.7388","0.7676","0.6312","0.5873","0.5941","0.6202","0.6352","0.7414","0.8025","0.8713","0.8961","1.1501","0.9167","0.4353","0.4689","0.5031","0.5016","0.474","0.4811","0.5788","0.6053","0.5987","0.4856","0.5642","0.6224","0.6847","0.728","0.492","0.4897","0.4641","0.4284"
"Total Debt To Total Assets","0.2809","0.272","0.2664","0.2517","0.2519","0.2603","0.2335","0.246","0.2419","0.2408","0.216","0.2179","0.2178","0.2197","0.2234","0.2346","0.244","0.2579","0.2597","0.3121","0.2776","0.1586","0.167","0.1834","0.1834","0.1729","0.1759","0.2028","0.2068","0.2047","0.1747","0.1812","0.1913","0.1976","0.2019","0.1826","0.1835","0.1756","0.1676"
"Interest Coverage","9.7212","10.2582","4.1749","9.7644","9.7378","8.4081","18.6748","11.6196","10.9908","10.0138","8.9211","14.7935","10.8981","8.9111","9.2639","10.0531","11.1613","8.1356","10.6577","9.7917","11.6012","6.0388","26.4853","15.0432","14.6879","11.1216","10.0533","11.3478","11.9463","8.4327","17.0842","9.9059","8.7401","6.7029","29.1455","11.0056","11.358","9.6667","9.8563"
"Current Ratio","1.373","1.235","1.303","1.266","1.261","1.341","1.181","1.366","1.292","1.164","1.341","1.23","1.218","1.3","1.291","1.248","1.243","1.293","1.245","1.198","1.978","1.519","1.384","1.317","1.307","1.322","1.326","1.291","1.301","1.303","1.295","1.304","1.273","1.294","1.236","1.218","1.208","1.22","1.263"
