"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","15.219","14.561","14.951","15.358","15.184","13.406","13.386","13.602","12.895","12.674","12.469","12.238","12.111","12.003","8.692","11.419","8.567","8.436","8.557","8.559","8.073","8.792","8.416","8.17","7.894","7.877","7.665","7.479","7.362","7.146","6.969","6.893","6.736","6.544","6.418","9.24","5.23","6.154","5.392"
"Tangible Book Value per Share","10.323","10.4","10.413","10.142","10.058","14.337","14.443","7.375","7.31","7.048","7.022","6.877","6.439","6.273","4.258","5.493","3.882","3.762","3.962","5.239","4.822","4.236","3.898","3.602","3.432","3.425","3.325","3.135","3.462","3.271","3.154","3.326","3.407","3.215","3.181","6.069","3.095","3.521","2.517"
"FCF per Share","1.592","0.118","1.101","1.078","0.079","0.329","0.842","0.727","0.918","0.399","0.739","0.699","0.814","0.806","0.457","0.81","0.646","0.481","-0.907","0.391","0.355","0.319","0.366","0.232","0.396","0.16","0.279","0.239","0.344","0.169","-0.02","-0.092","0.083","0.049","0.035","0.08","0.124","-0.197","0.037"
"Interest Debt per Share","7.5707","7.5156","7.7526","7.4111","7.3446","7.306","7.2103","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0106","0.0111","0.0123","0.0132","0.014","0.0149","0.0157","0.0166","0.029","0.0302","0.0308","0.0463","0.0251","0.0309","0.0371"
"Cash per Share","4.0338","3.527","3.229","3.1013","3.198","7.8251","6.3115","2.0921","1.482","1.4439","1.5542","1.5487","1.4039","1.2863","0.6982","0.9499","0.4765","0.4473","0.429","2.0155","1.8025","1.9494","1.9402","1.5402","1.9779","1.9605","1.9058","1.7353","2.151","1.8281","1.7236","1.8823","1.7024","1.6166","1.5572","3.0188","1.7881","1.9568","0.5477"
"Debt to Equity Ratio","0.4975","0.5161","0.5185","0.4826","0.4837","0.545","0.5386","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0013","0.0014","0.0016","0.0018","0.0019","0.0021","0.0023","0.0024","0.0043","0.0046","0.0048","0.005","0.0048","0.005","0.0069"
"Total Debt To Total Assets","0.2483","0.2513","0.2596","0.248","0.2486","0.2922","0.2888","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.001","0.0011","0.0012","0.0013","0.0014","0.0016","0.0017","0.0017","0.003","0.0032","0.0033","0.003","0.0032","0.0033","0.0041"
"Interest Coverage","21.8143","21.0148","22.2786","19.5926","4.2214","19.4924","92.0","2284.0","-270.0","327.0","755.0","194.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-70.3684","141.3636","115.8333","-344.5","-19.9825","87.3077","40.7857","0.0","35.52","44.2333","30.6","32.7667","-14.963","24.8","10.0244","16.1778"
"Current Ratio","1.653","1.519","1.42","1.779","1.847","4.742","4.755","1.871","1.739","1.857","1.701","1.592","1.698","1.715","1.771","1.804","1.891","1.954","1.971","1.482","1.388","2.87","2.821","2.663","2.695","2.772","2.543","2.497","2.829","2.577","2.407","2.08","2.156","1.938","1.754","1.56","1.774","1.727","1.122"
"Income Quality","1.7178","0.9209","1.2116","1.2698","0.7354","0.4921","1.0196","1.1468","1.244","0.631","1.1224","1.671","1.4279","1.2071","1.0952","1.7156","1.7608","1.2945","-2.1841","0.8237","-0.6835","0.8491","1.2498","0.9864","1.3881","0.6844","1.138","1.1537","1.7011","0.8541","-0.038","-0.4066","0.4787","0.4347","0.3223","-0.7697","1.481","-1.7516","0.4292"
"Payout Ratio","0.195","0.944","0.198","0.175","0.824","0.197","0.175","0.194","0.174","0.19","0.19","0.233","0.185","0.159","0.182","0.174","0.17","0.167","0.167","0.098","-0.087","0.125","0.158","0.125","0.111","0.129","0.129","0.111","0.125","0.125","0.115","0.176","0.125","0.167","0.167","-0.25","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.6614","0.6523","0.6513","0.6606","0.6595","0.4265","0.4215","0.589","0.5884","0.5956","0.5953","0.6006","0.6149","0.6172","0.6349","0.6406","0.6532","0.6579","0.6437","0.5773","0.5967","0.6271","0.6464","0.6647","0.6712","0.6697","0.674","0.6862","0.6451","0.6577","0.665","0.6534","0.6466","0.66","0.6629","0.6031","0.6104","0.623","0.7187"
"Selling, General and Administrative Expense of Revenue","0.1211","0.1523","0.1085","0.1509","0.1579","0.1147","0.1184","0.1409","0.1259","0.1197","0.1186","0.1511","0.1382","0.1397","0.117","0.1665","0.1543","0.1332","0.136","0.1963","0.1766","0.1389","0.1421","0.1884","0.1934","0.1581","0.1644","0.2163","0.2173","0.1863","0.176","0.2033","0.2564","0.2149","0.2105","0.2996","0.2728","0.2533","0.2466"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","6207000000.0","5299000000.0","4348000000.0","6267000000.0","6591000000.0","19178000000.0","20116000000.0","4666000000.0","4279000000.0","4662000000.0","4066000000.0","3556000000.0","3711000000.0","3546000000.0","3380000000.0","3487000000.0","3270000000.0","3375000000.0","3640000000.0","3832000000.0","3045000000.0","6708000000.0","6441000000.0","5739000000.0","5985000000.0","6141000000.0","5676000000.0","5236000000.0","6368000000.0","5578000000.0","5116000000.0","4799000000.0","5127000000.0","3982000000.0","3477000000.0","4009000000.0","4696000000.0","4245000000.0","634000000.0"
"Tangible Asset Value","21669000000.0","21986000000.0","22097000000.0","21735000000.0","21745000000.0","31155000000.0","31804000000.0","16181000000.0","16229000000.0","15703000000.0","15736000000.0","15405000000.0","14507000000.0","14265000000.0","13233000000.0","12924000000.0","12236000000.0","11993000000.0","12775000000.0","16912000000.0","15623000000.0","13741000000.0","12646000000.0","11656000000.0","11326000000.0","11370000000.0","11079000000.0","10483000000.0","11605000000.0","10977000000.0","10624000000.0","11190000000.0","11528000000.0","10868000000.0","10726000000.0","13885000000.0","13420000000.0","12770000000.0","7804000000.0"
"Net Current Asset Value","-16338000000.0","-16939000000.0","-16955000000.0","-16810000000.0","-16666000000.0","-892000000.0","-28000000.0","496000000.0","-734000000.0","-493000000.0","-1078000000.0","-1594000000.0","-1364000000.0","-1461000000.0","-1469000000.0","-1264000000.0","-1341000000.0","-1250000000.0","-884000000.0","-597000000.0","-1684000000.0","1970000000.0","1511000000.0","867000000.0","1121000000.0","1338000000.0","910000000.0","340000000.0","1834000000.0","1034000000.0","515000000.0","153000000.0","-263000000.0","-1615000000.0","-2088000000.0","-1530000000.0","-1005000000.0","-1468000000.0","-5213000000.0"
