"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","13.455","11.888","11.229","10.779","10.32","9.818","9.324","8.889","7.225","5.722","8.164","8.872","9.699","10.144","10.793","11.084","14.119","14.002","14.287","14.578","14.279","14.517","14.555","15.2","15.725","15.735","15.698","15.258","15.034","14.608","14.33","13.221","12.348","11.605","11.304","11.553","11.116","10.974","10.933"
"Tangible Book Value per Share","27.744","28.649","28.67","27.2","27.41","27.256","26.727","25.997","25.829","24.788","28.127","26.51","27.161","28.681","25.669","26.619","23.021","22.53","20.953","21.29","20.218","20.521","20.852","19.949","18.56","18.683","18.117","17.413","16.455","16.035","16.857","15.175","15.343","15.137","16.922","17.234","17.076","16.077","16.674"
"FCF per Share","0.507","0.51","0.27","2.215","0.227","0.964","-0.383","2.967","0.941","1.476","0.054","2.844","1.21","1.126","0.614","2.109","1.469","1.409","1.063","1.403","0.355","1.567","1.088","1.284","0.613","1.188","1.153","0.501","0.584","0.629","0.584","0.884","-0.026","0.224","2.238","0.911","-0.289","0.005","0.898"
"Interest Debt per Share","27.7935","30.6102","30.9824","30.0227","31.1854","31.6309","31.6868","30.8668","32.9132","32.8696","33.5192","30.2934","29.8551","30.6787","26.7161","25.3682","18.4687","18.1565","16.7278","15.9503","15.5891","14.4707","14.1482","12.9506","11.9341","12.0407","11.1916","11.098","11.117","11.1669","11.1508","11.2827","12.1483","12.1457","13.0923","14.4644","14.6901","13.4615","12.6784"
"Cash per Share","1.0572","1.6851","1.1159","0.9551","0.4842","1.2118","0.8245","1.2714","1.0591","0.7602","2.886","2.3855","3.7033","5.9161","3.185","5.1291","2.3705","2.561","1.338","1.6598","1.4779","2.1116","2.0832","1.7953","1.6389","2.6161","1.5098","1.3757","1.1137","0.5892","0.4906","0.41","0.4119","0.4268","1.2958","0.8483","1.1713","1.2695","1.4145"
"Debt to Equity Ratio","2.0656","2.5748","2.7591","2.7854","3.0217","3.2217","3.3983","3.4723","4.5554","5.7447","4.1059","3.4146","3.0783","3.0242","2.4752","2.2887","1.308","1.2967","1.1708","1.0941","1.0917","0.9968","0.972","0.852","0.7589","0.7652","0.7129","0.7274","0.7395","0.7644","0.7781","0.8534","0.9839","1.0466","1.1582","1.252","1.3216","1.2267","1.1596"
"Total Debt To Total Assets","0.4831","0.5222","0.5276","0.5293","0.547","0.5552","0.562","0.5548","0.5921","0.6081","0.5878","0.551","0.5568","0.5607","0.5218","0.4988","0.3968","0.3981","0.3831","0.3662","0.3718","0.3468","0.3401","0.323","0.3117","0.3165","0.3011","0.3056","0.31","0.314","0.3093","0.3216","0.3447","0.3463","0.3559","0.3924","0.4038","0.3848","0.36"
"Interest Coverage","6.9097","1.9304","4.5513","2.14","5.0192","3.929","5.5484","6.1939","6.3735","0.3795","5.8563","7.3974","6.6835","5.7237","6.5503","9.2385","9.3509","7.6909","7.4182","9.9524","8.6923","8.7476","6.0286","8.8431","9.5","6.6176","10.0481","5.2621","7.4135","4.4602","11.1333","6.5701","4.9908","3.5505","3.2437","5.252","6.2358","4.735","7.9194"
"Current Ratio","1.352","1.44","1.186","1.231","0.994","1.059","1.052","1.188","1.153","1.229","1.354","1.335","1.686","1.685","1.69","1.775","1.435","1.5","1.242","1.267","1.214","1.193","1.062","1.335","1.363","1.353","1.268","1.3","1.131","1.17","1.181","0.972","0.892","0.821","0.93","0.997","0.987","0.91","0.917"
"Income Quality","0.3631","2.0331","0.4015","3.8228","0.2685","1.3531","-0.2806","1.3948","0.6768","-11.7736","0.112","1.6858","0.9016","1.0359","0.5356","1.3072","1.1493","1.5146","1.2106","1.1723","0.4345","1.4991","2.9575","1.4028","0.6829","1.9441","1.1689","1.9259","0.9167","1.6245","0.6037","1.2354","0.0361","0.8475","8.185","1.5387","-0.2162","0.337","1.2018"
"Payout Ratio","0.118","0.667","0.2","0.313","0.367","0.526","0.354","0.181","0.268","-2.538","0.27","0.191","0.231","0.261","0.244","0.176","0.226","0.289","0.298","0.224","0.275","0.229","0.641","0.248","0.253","0.238","0.149","0.484","0.217","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.5177","0.5113","0.5118","0.5205","0.5192","0.5216","0.526","0.5327","0.5353","0.5414","0.5068","0.5178","0.4934","0.4758","0.4986","0.4766","0.5054","0.506","0.5201","0.5111","0.5178","0.5082","0.4987","0.5024","0.5152","0.509","0.5126","0.5205","0.5412","0.5491","0.5325","0.5675","0.5647","0.5684","0.54","0.5325","0.5306","0.5404","0.5265"
