"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","44.872","44.252","44.597","44.408","44.06","44.043","42.854","43.424","42.481","40.495","39.994","39.076","38.206","37.505","36.306","33.833","33.002","33.351","32.785","31.57","30.14","28.964","29.644","29.528","28.187","26.898","26.687","27.305","26.734","26.096","26.201","28.324","31.251","30.745","30.154","37.766","35.513","34.271","33.834"
"Tangible Book Value per Share","103.545","102.783","102.835","101.015","97.328","94.369","92.332","93.33","94.255","89.164","88.104","92.12","88.871","88.699","88.172","85.431","81.064","82.36","80.48","79.373","74.491","76.964","76.816","73.461","69.319","69.553","66.425","65.695","64.394","64.482","62.891","65.198","70.476","69.189","66.01","75.667","74.808","68.297","70.225"
"FCF per Share","3.387","1.583","1.408","1.225","4.336","0.691","0.115","2.045","3.879","1.901","0.574","2.599","1.074","-0.271","3.914","-0.478","1.162","1.767","-0.871","2.557","1.084","1.485","-1.915","1.346","0.644","2.862","-0.144","0.729","0.684","1.068","-0.084","0.114","-1.015","0.064","-2.749","1.92","1.013","0.171","1.112"
"Interest Debt per Share","19.1149","18.9487","17.8196","19.5459","16.0814","15.6397","15.3132","15.0326","14.5525","14.4717","12.352","12.135","12.0699","12.3616","12.2463","12.1556","12.0884","12.4891","12.8164","12.8379","12.8036","13.7985","13.9729","13.5603","13.4444","13.8322","14.8082","14.2482","14.27","14.863","13.1673","13.1462","14.0343","14.7393","12.695","12.4042","12.3099","12.1692","12.5448"
"Cash per Share","11.7275","9.9621","10.7261","12.9891","10.546","8.0554","8.5887","10.7963","11.4139","9.4932","7.1354","7.9677","6.5784","6.8682","8.0075","3.5333","4.4162","3.3764","3.1327","4.643","2.3545","2.8294","1.8484","5.016","7.2434","7.3021","5.9218","4.1702","3.5773","3.5872","1.468","3.1176","3.36","3.607","2.0676","5.5326","3.3156","2.7669","4.5612"
"Debt to Equity Ratio","0.426","0.4282","0.3996","0.4401","0.365","0.3551","0.3573","0.3462","0.3426","0.3574","0.3088","0.3105","0.3159","0.3296","0.3373","0.3593","0.3663","0.3745","0.3909","0.4066","0.4248","0.4764","0.4714","0.4592","0.477","0.5143","0.5549","0.5218","0.5338","0.5695","0.5025","0.4641","0.4491","0.4794","0.421","0.3284","0.3466","0.3551","0.3708"
"Total Debt To Total Assets","0.1846","0.1844","0.1733","0.1935","0.1652","0.1657","0.1658","0.1611","0.1544","0.1623","0.1402","0.1317","0.1358","0.1394","0.1389","0.1418","0.1486","0.151","0.1585","0.1609","0.171","0.1783","0.1809","0.1835","0.1929","0.1977","0.2216","0.2156","0.2202","0.2291","0.208","0.2004","0.198","0.2118","0.1911","0.1478","0.1483","0.1592","0.1606"
"Interest Coverage","7.2521","4.4463","5.2857","7.5826","10.955","7.5926","5.2336","19.1607","18.3363","15.0","17.2277","17.1224","10.5","13.57","18.6765","5.2647","10.5128","12.9759","22.4789","18.6857","18.3378","-2.404","2.0449","22.5","12.1495","2.1795","-1.3471","5.0084","8.2735","-0.1417","-11.1736","-3.9389","-3.3095","6.7125","-29.0303","23.1605","14.1325","5.0722","8.1856"
"Current Ratio","2.048","2.014","2.017","2.052","1.87","2.194","2.13","2.03","1.875","1.944","1.665","1.461","1.473","1.472","1.469","1.36","1.393","1.354","1.38","1.328","1.3","1.21","1.257","1.358","1.436","1.447","1.539","1.446","1.434","1.398","1.399","1.401","1.526","1.678","1.522","1.26","1.187","1.232","1.258"
"Income Quality","3.2792","3.2393","2.7193","1.4078","2.8489","1.2929","1.6342","0.9891","1.7239","1.4865","0.8632","1.762","1.9286","0.2947","1.9635","0.7083","2.7146","2.3685","0.3198","3.135","1.5523","-3.5741","-6.4444","1.1421","1.2043","21.0","-0.9658","2.9178","1.3516","-8.6903","0.0831","-0.8474","-2.4646","2.5275","0.1297","1.4913","1.5995","2.4061","2.2081"
"Payout Ratio","0.569","1.029","0.732","0.451","0.345","0.571","0.725","0.143","0.15","0.214","0.126","0.139","0.225","0.161","0.097","0.397","4.14","0.169","0.093","0.139","0.1","-0.192","1.667","0.024","0.038","0.294","-0.065","0.096","0.049","-0.25","-0.058","-0.134","-0.313","0.25","-0.024","0.068","0.108","0.245","0.112"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0035","0.0036","0.0045","0.0048","0.0049","0.0053","0.0053","0.0053","0.006","0.0056","0.0057","0.006","0.006","0.0061","0.0062","0.0064","0.0062","0.0059","0.006","0.0065","0.0984","0.0987","0.1066","0.1009"
"Selling, General and Administrative Expense of Revenue","0.008","0.0087","0.01","0.0098","0.0081","0.0099","0.011","0.0079","0.0071","0.0069","0.0077","0.0052","0.0049","0.0048","0.0052","0.0047","0.0068","0.0053","0.0056","0.005","0.0049","0.0047","0.0037","0.0048","0.0048","0.0049","0.0074","0.0066","0.0064","0.0052","0.009","0.009","0.007","0.0109","0.0225","0.0047","0.0032","0.0048","0.007"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
