"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","34.756","34.084","34.492","33.86","33.573","33.037","33.341","32.69","31.757","31.36","31.623","31.876","31.157","30.817","30.203","29.654","29.278","28.536","28.941","29.034","28.864","28.903","29.279","29.862","29.913","30.187","30.741","31.291","31.438","31.953","32.05","32.59","35.551","31.505","32.189","36.042","35.623","34.489","36.996"
"Tangible Book Value per Share","44.811","36.295","34.757","33.905","33.286","32.871","33.237","33.38","32.554","33.678","31.709","31.985","31.993","31.778","34.36","34.782","33.322","33.013","33.452","34.264","33.918","34.211","34.325","35.509","35.503","34.881","35.365","36.854","36.746","37.008","37.677","39.79","44.707","45.934","46.715","46.043","46.27","46.37","49.451"
"FCF per Share","-0.677","-0.284","1.915","1.193","-0.179","-0.138","1.254","1.136","-0.395","-0.212","0.457","0.567","-0.303","-0.254","-0.452","2.0","-0.497","-0.293","1.175","0.646","-0.244","0.162","0.214","0.725","-0.45","0.158","0.468","0.7","-0.063","-0.097","0.746","1.226","0.272","0.746","0.973","0.465","0.353","-0.826","1.799"
"Interest Debt per Share","25.1869","17.5623","14.9577","14.9134","14.8604","14.8075","14.8245","14.8315","15.3743","16.9895","15.0276","15.0551","15.1238","15.3425","19.3457","19.3723","20.1503","20.4786","20.599","21.6766","21.6967","21.7177","21.7407","21.7883","22.3342","21.172","21.1242","21.4442","21.4287","21.5206","21.7363","22.7579","26.3834","31.7809","32.1353","33.3932","33.871","34.5826","35.9811"
"Cash per Share","8.5324","2.1635","2.0218","1.0176","0.6888","1.4339","2.1349","1.2638","0.5615","2.9599","1.0696","0.697","2.2095","2.5365","1.4859","1.887","0.6678","1.4447","2.1197","1.8738","1.2207","1.4752","1.204","1.1774","0.8255","0.4902","0.3737","0.6456","0.3583","0.3124","0.1768","0.3713","0.3852","0.429","0.0923","0.8261","1.3756","0.4696","0.3433"
"Debt to Equity Ratio","0.7247","0.5153","0.4337","0.4404","0.4426","0.4482","0.4446","0.4537","0.4841","0.5418","0.4752","0.4723","0.4854","0.4979","0.6405","0.6533","0.6882","0.7177","0.7118","0.7466","0.7517","0.7514","0.7425","0.7296","0.7466","0.7014","0.6872","0.6853","0.6816","0.6735","0.6782","0.6983","0.7421","1.0088","0.9983","0.9265","0.9508","1.0027","0.9726"
"Total Debt To Total Assets","0.3379","0.2664","0.2341","0.2373","0.2392","0.2403","0.2386","0.238","0.2497","0.2707","0.2468","0.2459","0.2507","0.2549","0.3054","0.3037","0.3232","0.33","0.3294","0.3419","0.344","0.3426","0.3421","0.3365","0.3447","0.3292","0.3259","0.3236","0.3236","0.322","0.3212","0.3256","0.3383","0.3977","0.3979","0.4029","0.4076","0.4147","0.4092"
"Interest Coverage","5.3113","2.2251","5.3052","6.7908","6.3386","1.8505","4.6188","5.476","1.8132","0.1397","2.3808","3.3967","2.577","1.6403","1.1304","2.0615","1.6865","-0.7754","1.0764","1.0616","0.3289","-0.7306","-0.0285","1.9825","0.3163","-1.1814","-0.5972","1.1515","-0.0343","-0.6852","0.0804","2.1087","1.7225","-0.0485","-3.991","2.7965","6.3478","1.4779","5.295"
"Current Ratio","2.36","3.208","3.055","2.983","3.076","2.826","3.068","2.775","2.018","1.699","2.037","2.617","3.154","3.091","3.181","3.07","2.327","1.974","2.257","1.66","1.543","1.91","2.125","2.635","2.043","1.208","1.329","1.373","0.798","0.831","0.855","1.31","1.238","0.693","0.537","0.592","0.589","0.444","0.458"
"Income Quality","0.5083","2.0959","2.1827","1.738","0.5314","2.2095","2.6798","1.7503","0.9444","-0.4827","2.9268","1.8947","0.6063","-0.0921","10.624","7.3824","-1.1288","0.2346","41.5492","6.7896","1.7615","-0.5599","-1.6981","5.7473","4.5502","-0.8048","-1.5933","8.2418","-0.5092","-0.1662","-7.3573","3.419","2.895","-3.2062","-0.7374","2.4418","0.8606","0.9271","3.3899"
"Payout Ratio","0.275","0.735","0.194","0.19","0.215","0.667","0.149","0.108","0.278","-0.333","0.207","0.118","0.143","0.122","0.143","0.031","0.045","-0.024","0.5","0.091","-0.071","-0.025","-0.045","1.667","-4.167","-0.595","-0.694","2.5","-1.316","-0.806","-2.083","0.581","2.45","-1.633","-0.253","0.907","0.383","3.769","0.568"
"Intangible Assets out of Total Assets","0.3988","0.4495","0.4561","0.4604","0.4643","0.4666","0.4651","0.4643","0.4713","0.4634","0.4792","0.4776","0.4696","0.472","0.4576","0.4548","0.4655","0.468","0.465","0.4595","0.4623","0.4604","0.4598","0.4515","0.4521","0.4576","0.4543","0.4438","0.4451","0.4462","0.4433","0.4308","0.4268","0.4252","0.4216","0.4445","0.4432","0.4439","0.4377"
"Selling, General and Administrative Expense of Revenue","0.0803","0.1043","0.0911","0.0757","0.0864","0.1013","0.0927","0.0687","0.0773","0.1058","0.096","0.0756","0.0855","0.1151","0.0941","0.0809","0.0879","0.1201","0.1099","0.0898","0.0892","0.1211","0.1167","0.0881","0.1055","0.1591","0.1366","0.1044","0.1133","0.1754","0.1406","0.1022","0.1099","0.1328","0.1112","0.0754","0.083","0.1133","0.0904"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","1259019000.0","796864000.0","764938000.0","715847000.0","690729000.0","651018000.0","731112000.0","731613000.0","515560000.0","491329000.0","468591000.0","589806000.0","752579000.0","712874000.0","652361000.0","742318000.0","519880000.0","457509000.0","548561000.0","417158000.0","334768000.0","437556000.0","456847000.0","622731000.0","456362000.0","131937000.0","191403000.0","250488000.0","-217226000.0","-153550000.0","-123806000.0","209658000.0","178491000.0","-389919000.0","-769176000.0","-777278000.0","-794712000.0","-1455344000.0","-1370958000.0"
"Tangible Asset Value","5933533000.0","4813969000.0","4607599000.0","4509947000.0","4440948000.0","4398829000.0","4440229000.0","4455347000.0","4333064000.0","4467629000.0","4188030000.0","4215465000.0","4195875000.0","4156844000.0","4480044000.0","4530880000.0","4340232000.0","4297773000.0","4347351000.0","4445892000.0","4398387000.0","4433471000.0","4445096000.0","4598107000.0","4595730000.0","4502374000.0","4550827000.0","4739522000.0","4709606000.0","4688631000.0","4745928000.0","4988102000.0","5073256000.0","5080226000.0","5157364000.0","5070006000.0","5086121000.0","5037843000.0","5025355000.0"
"Net Current Asset Value","-3083027000.0","-3065801000.0","-2761817000.0","-2777356000.0","-2787375000.0","-2818469000.0","-2762853000.0","-2809899000.0","-2946726000.0","-2971693000.0","-2943929000.0","-2913928000.0","-2722667000.0","-2787374000.0","-3369541000.0","-3346184000.0","-3395055000.0","-3436184000.0","-3380565000.0","-3409464000.0","-3485904000.0","-3551783000.0","-3574597000.0","-3512898000.0","-3621174000.0","-3637106000.0","-3609987000.0","-3575705000.0","-3600743000.0","-3662916000.0","-3754745000.0","-3792149000.0","-3889037000.0","-4471532000.0","-4468982000.0","-4032894000.0","-4079234000.0","-4153066000.0","-4019541000.0"
"Invested Capital","7213010000.0","6495501000.0","5950225000.0","5997440000.0","5999026000.0","5832014000.0","5782004000.0","5854212000.0","5798049000.0","5625442000.0","5579658000.0","5743005000.0","5540176000.0","5491132000.0","6509584000.0","6449976000.0","6486065000.0","6305863000.0","6312465000.0","6383272000.0","6437158000.0","6575664000.0","6698362000.0","6886105000.0","6942314000.0","6536977000.0","6638653000.0","6743009000.0","6336038000.0","6466317000.0","6604981000.0","7118670000.0","7274888000.0","7275620000.0","7031877000.0","6753274000.0","6723885000.0","6128751000.0","6118789000.0"
"Average Receivables","551440500.0","456298000.0","444554000.0","542483500.0","511603000.0","406857500.0","376111000.0","516366500.0","462371500.0","359144500.0","339152000.0","462489000.0","419507000.0","335254500.0","300454000.0","421322000.0","397406500.0","320174000.0","288352500.0","413726500.0","389956500.0","298151000.0","279990000.0","417486500.0","389552500.0","284769000.0","257783500.0","401973500.0","387412000.0","310737500.0","290478500.0","459104000.0","454402000.0","383669000.0","354616500.0","486609000.0","492111000.0","414645500.0","363571500.0"
"Average Payables","189614500.0","180779500.0","160385500.0","179337500.0","183690000.0","171741000.0","160438500.0","181686500.0","184571500.0","154228500.0","142246500.0","161144000.0","153190500.0","133652500.0","126341000.0","143830000.0","149988000.0","120889000.0","108634000.0","134031000.0","162781500.0","122401500.0","103123000.0","136657500.0","160999000.0","124338000.0","111819500.0","140173000.0","157006500.0","133956500.0","134214000.0","179740000.0","180789500.0","168234000.0","183326000.0","189490500.0","188433500.0","176768500.0","186881500.0"
"Average Inventory","361397500.0","350578500.0","346344500.0","332374000.0","344847000.0","335725000.0","334438500.0","316645000.0","325771000.0","319762500.0","333205000.0","317381500.0","325100500.0","323203500.0","339814000.0","332578500.0","337546500.0","340953500.0","331339500.0","327377500.0","331935500.0","335260000.0","323751000.0","317010500.0","320302500.0","318394000.0","322439000.0","323969500.0","337461500.0","334710500.0","344672000.0","351888000.0","373541500.0","373328000.0","360314500.0","319301500.0","334806000.0","325626000.0","299927500.0"
