"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","-11.905","-11.592","-11.538","-10.999","-10.432","-10.11","-9.651","-9.131","-8.597","-8.092","-7.358","-6.033","-4.893","-3.43","-3.122","-3.485","-1.844","-0.257","-0.06","-0.17","-0.376","-0.448","-0.554","-1.023","-0.025","3.204","3.923","7.175","2.34","3.185","2.898","3.801","3.5","3.028","2.432","0.541","1.973","1.83","6.463"
"Tangible Book Value per Share","22.677","22.085","21.931","21.122","20.928","20.724","20.784","22.352","21.773","21.813","15.396","17.363","17.55","19.164","19.226","16.072","16.64","13.233","12.999","12.352","11.985","11.48","11.324","9.835","10.396","13.372","13.855","16.527","12.898","11.924","11.374","11.975","11.54","10.966","10.617","11.895","11.607","9.573","12.696"
"FCF per Share","1.696","1.352","1.814","1.522","1.49","1.301","1.592","1.315","1.436","1.021","1.343","1.26","0.878","0.977","0.973","0.86","0.851","0.875","1.019","0.691","0.772","0.611","-0.031","0.457","-0.006","0.439","0.202","-0.621","0.697","0.443","0.677","0.392","0.327","0.091","0.457","0.458","0.974","0.216","0.668"
"Interest Debt per Share","18.4743","18.1867","17.9415","17.5303","17.2909","17.0199","16.8569","16.4798","16.0747","16.0959","11.3335","11.0956","10.577","10.2765","10.1285","9.6241","9.1285","4.6291","4.5117","4.4996","4.4285","4.348","4.3359","3.5975","3.4929","3.4305","3.3734","3.3315","3.1798","3.1421","3.0278","2.9671","2.9624","2.959","2.9476","6.5184","6.4609","6.7947","5.671"
"Cash per Share","2.3988","4.4365","2.229","1.6724","1.582","2.1354","2.0616","1.5747","1.6193","6.026","1.5958","1.885","1.835","2.0016","2.5005","0.8299","3.8923","0.5154","0.8455","1.7308","2.0027","8.4913","8.252","7.377","7.2858","8.4658","9.0457","11.8694","4.7644","5.9508","7.7867","7.436","6.7914","4.9003","4.0897","2.0816","3.1763","2.3385","6.1704"
"Debt to Equity Ratio","-1.5518","-1.569","-1.555","-1.5939","-1.6575","-1.6834","-1.7466","-1.8048","-1.8698","-1.9891","-1.5403","-1.8391","-2.1619","-2.9961","-3.2441","-2.7617","-4.9512","-18.0433","-74.8272","-26.4209","-11.7904","-9.7125","-7.8324","-3.5179","-139.178","1.0706","0.8598","0.4643","1.3587","0.9864","1.0448","0.7807","0.8464","0.9773","1.2121","12.04","3.2745","3.7121","0.8774"
"Total Debt To Total Assets","0.7964","0.8048","0.7997","0.811","0.8075","0.8027","0.793","0.7223","0.7232","0.723","0.7158","0.6238","0.589","0.5254","0.5164","0.5853","0.5372","0.3409","0.3382","0.3545","0.3594","0.368","0.3718","0.3538","0.3258","0.2505","0.238","0.1978","0.2408","0.2309","0.2325","0.218","0.2238","0.2339","0.2403","0.4697","0.4283","0.4577","0.3134"
"Interest Coverage","6.4958","6.0839","5.8945","6.1564","6.1671","5.8981","5.3889","5.2721","5.3386","6.2989","6.5812","6.1778","6.8923","6.8319","6.4831","6.0666","6.9787","10.1212","11.7329","9.1458","8.3373","8.2367","8.2359","7.8697","0.7624","5.877","0.5435","66.2529","5.29","6.6909","3.0705","0.0","0.0","0.0","-1.6009","0.0","0.0","0.0","0.0"
"Current Ratio","1.211","1.212","1.211","1.211","1.317","1.313","1.309","0.98","0.992","1.009","1.033","0.824","0.867","0.876","0.889","1.055","1.18","0.947","2.365","0.946","2.276","2.293","2.197","2.133","2.34","3.194","3.337","4.343","2.249","2.054","1.928","1.989","1.9","1.842","1.663","1.556","1.456","0.872","1.79"
"Income Quality","1.468","1.2729","1.8519","1.4698","1.4783","1.3926","1.8569","1.6799","1.881","1.5035","2.6038","1.7622","1.209","1.4999","0.5047","1.6624","1.6899","1.7824","1.6164","1.5611","1.9712","1.6215","2.3082","1.8408","-1.2205","2.2145","-1.1536","-0.1043","4.2371","1.969","1.8811","1.8798","2.375","0.5912","-1.2614","-0.5773","-2.5651","-8.623","-0.928"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-45.833","0.0","-16.667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0224","0.0227","0.0225","0.0229","0.0227","0.0226","0.0223","0.0204","0.0204","0.0201","0.0276","0.0238","0.0226","0.0201","0.0197","0.0225","0.0208","0.0254","0.0255","0.0268","0.0274","0.0284","0.029","0.0327","0.0303","0.0235","0.0226","0.019","0.0233","0.1236","0.1265","0.1201","0.1282","0.1331","0.1345","0.1429","0.2305","0.3552","0.2983"
"Selling, General and Administrative Expense of Revenue","0.1817","0.1709","0.191","0.1692","0.1646","0.1695","0.1839","0.1847","0.1867","0.1884","0.1911","0.205","0.182","0.1718","0.2081","0.1927","0.1827","0.1597","0.1564","0.2264","0.229","0.2495","0.2567","0.2532","0.2654","0.3086","0.3192","0.3014","0.3332","0.3475","0.3613","0.3562","0.3593","0.3424","0.1996","0.3713","0.3806","0.4381","0.6105"
"Research and Development Expense of Revenue","0.0468","0.0462","0.048","0.0498","0.0499","0.0594","0.0558","0.0565","0.0623","0.0664","0.0677","0.064","0.0627","0.0741","0.0723","0.0716","0.0706","0.0769","0.0698","0.0689","0.0722","0.0718","0.0644","0.0685","0.0689","0.0749","0.0737","0.084","0.0818","0.076","0.0794","0.0845","0.0841","0.0859","0.0534","0.0885","0.0973","0.1072","0.0736"
"Working Capital","320951000.0","317837000.0","320393000.0","312542000.0","468530000.0","464344000.0","464944000.0","-38752000.0","-15024000.0","17793000.0","47585000.0","-326279000.0","-246027000.0","-253599000.0","-225987000.0","97673000.0","312657000.0","-91208000.0","948446000.0","-86871000.0","857976000.0","831067000.0","788858000.0","724459000.0","873376000.0","1415009000.0","1525244000.0","2045148000.0","1177397000.0","894599000.0","822584000.0","943268000.0","860435000.0","777745000.0","647957000.0","538804000.0","429738000.0","-136025000.0","778426000.0"
"Tangible Asset Value","2291724000.0","2262992000.0","2282045000.0","2245452000.0","2261646000.0","2271146000.0","2305210000.0","2524778000.0","2518137000.0","2555183000.0","1848623000.0","2154895000.0","2270107000.0","2556822000.0","2608240000.0","2277424000.0","2472314000.0","2018586000.0","2009949000.0","1930202000.0","1888822000.0","1829235000.0","1802331000.0","1603537000.0","1741106000.0","2275780000.0","2388860000.0","2868612000.0","2336172000.0","2184118000.0","2157744000.0","2306568000.0","2223159000.0","2108893000.0","2048451000.0","2305810000.0","2269403000.0","1977271000.0","2832743000.0"
"Net Current Asset Value","-1703319000.0","-1686044000.0","-1692825000.0","-1672249000.0","-1496848000.0","-1485639000.0","-1460260000.0","-1667575000.0","-1634473000.0","-1615603000.0","-1304826000.0","-1433189000.0","-1358443000.0","-1276770000.0","-1281126000.0","-962025000.0","-745482000.0","-495050000.0","-428335000.0","-479387000.0","-470608000.0","-480410000.0","-496505000.0","-460757000.0","-274664000.0","274823000.0","410381000.0","978278000.0","204420000.0","-116302000.0","-162422000.0","57395000.0","-12599000.0","-104263000.0","-223616000.0","-957370000.0","-1073001000.0","-1634507000.0","-722456000.0"
"Invested Capital","2393174000.0","2172554000.0","2395104000.0","2448834000.0","2483135000.0","2420658000.0","2443251000.0","2228495000.0","2244455000.0","1812566000.0","1585605000.0","1448748000.0","1557812000.0","1617033000.0","1613887000.0","1759514000.0","1509661000.0","939701000.0","1881809000.0","745500000.0","1598501000.0","526400000.0","520145000.0","348084000.0","454142000.0","773717000.0","758145000.0","774923000.0","1106336000.0","820792000.0","368482000.0","492298000.0","529074000.0","811460000.0","851217000.0","2196751000.0","1968213000.0","1832253000.0","1736328000.0"
