"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42369.0","42280.0","42189.0","42098.0","42004.0","41909.0","41818.0","41727.0","41639.0","41545.0","41454.0","41363.0","41274.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40543.0","40453.0","40362.0","40271.0","40178.0","40089.0","39998.0","39907.0","39813.0","39718.0","39627.0","39536.0","39447.0"
"Book Value per Share","31.489","29.908","28.494","28.002","26.597","25.859","25.005","23.996","23.407","22.43","22.46","22.015","21.826","21.41","20.64","19.001","17.783","17.159","16.705","15.214","14.297","14.468","13.504","12.781","13.37","12.557","11.569","10.067","8.778","8.684","8.862","8.197","7.6","6.842","6.663","6.523","6.533","6.145","5.832"
"Tangible Book Value per Share","55.267","53.025","50.788","49.565","47.985","46.609","44.862","43.228","41.814","39.863","39.001","37.67","37.134","35.986","35.038","33.505","32.181","31.112","29.954","28.234","26.923","26.126","24.596","23.653","22.722","21.41","20.076","18.863","16.999","16.127","14.955","14.813","13.863","12.468","12.146","17.019","16.435","15.498","14.594"
"FCF per Share","1.993","1.954","1.86","1.445","1.657","1.684","1.529","1.367","1.079","1.604","1.672","1.214","0.99","1.11","1.377","0.86","0.917","1.129","1.138","0.861","0.834","1.075","1.277","1.227","0.86","1.156","1.284","0.904","1.086","0.993","1.111","1.07","0.599","0.602","0.93","0.872","0.895","0.813","0.879"
"Interest Debt per Share","23.9103","23.321","22.6186","22.0882","21.7416","21.148","20.2625","19.8715","18.898","17.89","17.3391","17.0925","16.4974","15.6761","15.4911","15.1877","14.8325","14.3317","13.4081","13.13","12.4705","11.5023","10.9083","10.7134","9.1224","8.6236","8.292","8.6382","8.1724","7.6086","6.5949","6.769","6.5603","6.0435","5.4045","10.3901","9.8811","9.2559","8.7978"
"Cash per Share","7.092","7.2989","6.2589","5.3325","5.7341","5.1232","5.9229","5.6014","4.4314","5.3092","5.0046","4.2667","5.0755","4.6528","5.16","5.0596","5.3233","5.4858","5.4762","4.0761","4.183","4.8003","4.2274","4.6746","3.7629","3.2391","3.3393","2.8653","3.3568","3.1722","3.5608","4.0995","3.7281","3.9891","4.3198","9.0261","8.3413","6.9776","5.9436"
"Debt to Equity Ratio","0.7593","0.7798","0.7938","0.7888","0.8174","0.8178","0.8103","0.8281","0.8074","0.7976","0.772","0.7764","0.7559","0.7322","0.7505","0.7993","0.8341","0.8352","0.8027","0.863","0.8722","0.795","0.8078","0.8382","0.6823","0.6868","0.7167","0.8581","0.931","0.8762","0.7442","0.8258","0.8632","0.8834","0.8111","1.5928","1.5124","1.5062","1.5086"
"Total Debt To Total Assets","0.3827","0.3882","0.3919","0.3894","0.395","0.3935","0.3908","0.3956","0.3873","0.3835","0.3775","0.3812","0.3738","0.365","0.3694","0.3777","0.3859","0.3845","0.3718","0.3829","0.3819","0.3605","0.3638","0.3681","0.3251","0.323","0.3291","0.3592","0.3717","0.3596","0.3311","0.3419","0.3499","0.3512","0.3303","0.4884","0.4767","0.4707","0.47"
"Interest Coverage","11.5142","9.9184","17.7393","13.4242","14.2436","11.5376","20.0373","15.3686","14.6825","13.6292","18.0103","15.5015","15.0665","12.0469","22.3605","16.3108","14.8148","15.3921","21.1437","17.2969","17.6147","17.0984","24.7653","20.7626","24.0261","28.5594","38.3444","27.3835","29.2825","35.4575","54.2262","33.8328","32.9521","27.6035","17.0886","9.8448","9.3786","8.5398","9.165"
"Current Ratio","6.042","5.977","6.987","6.803","6.517","6.318","5.697","5.773","5.5","5.341","4.853","4.699","4.508","4.462","5.243","4.928","4.936","4.797","4.477","2.785","2.862","3.121","3.227","3.077","3.852","2.35","4.112","3.446","3.618","4.093","2.971","2.596","2.645","2.803","3.303","2.153","2.239","2.345","1.879"
"Income Quality","1.3431","1.6504","0.9919","1.1149","1.2394","1.7172","1.0172","1.1962","1.0691","1.6093","1.0689","1.1264","1.1016","1.6465","1.0121","1.0685","1.2207","1.0557","0.7483","1.0226","1.0752","1.2541","1.0942","1.2575","0.9715","1.2992","1.0591","1.1502","1.315","1.366","1.1511","1.6405","1.3324","1.1001","1.1295","1.4369","1.2912","1.4009","1.0472"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.1153","0.1174","0.1199","0.1263","0.1282","0.1328","0.1347","0.1395","0.1431","0.1454","0.1509","0.16","0.1586","0.1621","0.1645","0.1667","0.1627","0.1653","0.1695","0.1765","0.1754","0.1812","0.1796","0.1874","0.1902","0.1982","0.2032","0.2156","0.2269","0.2379","0.2491","0.2519","0.2606","0.2755","0.2576","0.2","0.2072","0.2119","0.2203"
"Selling, General and Administrative Expense of Revenue","0.2332","0.2621","0.2071","0.2351","0.2415","0.2722","0.2194","0.249","0.2479","0.2601","0.2259","0.2478","0.2738","0.2942","0.2311","0.2636","0.2728","0.2757","0.2341","0.2563","0.2717","0.2786","0.2421","0.2667","0.2802","0.2739","0.2492","0.2775","0.2735","0.2902","0.2565","0.2746","0.302","0.2977","0.2425","0.2782","0.2807","0.2847","0.2334"
"Research and Development Expense of Revenue","0.059","0.0618","0.0521","0.0577","0.0607","0.0619","0.0483","0.0613","0.0618","0.0629","0.0492","0.0553","0.056","0.0575","0.0477","0.0516","0.0546","0.0588","0.0478","0.0528","0.053","0.0555","0.0455","0.0514","0.0514","0.052","0.0473","0.0512","0.0532","0.0546","0.0461","0.0516","0.0544","0.055","0.0469","0.0516","0.0557","0.0532","0.0477"
"Working Capital","3293946000.0","3146213000.0","3115124000.0","3014869000.0","2883332000.0","2786589000.0","2649457000.0","2557893000.0","2460263000.0","2337502000.0","2236558000.0","2124931000.0","2086016000.0","2023261000.0","2068723000.0","1936178000.0","1869325000.0","1810815000.0","1753484000.0","1369936000.0","1343635000.0","1375196000.0","1340241000.0","1257780000.0","1332711000.0","967105000.0","1200791000.0","1020917000.0","949287000.0","944013000.0","777808000.0","689633000.0","658161000.0","619452000.0","666796000.0","767844000.0","769432000.0","758018000.0","578628000.0"
"Tangible Asset Value","4420531000.0","4245858000.0","4102924000.0","3998717000.0","3877693000.0","3788151000.0","3693791000.0","3546287000.0","3452344000.0","3309597000.0","3290030000.0","3151558000.0","3136387000.0","3058008000.0","2993167000.0","2854152000.0","2750861000.0","2677179000.0","2631171000.0","2468001000.0","2377773000.0","2324973000.0","2234171000.0","2145013000.0","2082762000.0","1962213000.0","1854697000.0","1730040000.0","1574267000.0","1509951000.0","1432689000.0","1410675000.0","1332898000.0","1213159000.0","1204882000.0","1682989000.0","1636653000.0","1555999000.0","1466670000.0"
"Net Current Asset Value","1469129000.0","1362535000.0","1275335000.0","1216728000.0","1107207000.0","1043910000.0","1003707000.0","941159000.0","910711000.0","865487000.0","837020000.0","789554000.0","796561000.0","777346000.0","736799000.0","622397000.0","578861000.0","556864000.0","556933000.0","470237000.0","444419000.0","471594000.0","445448000.0","382827000.0","453686000.0","386966000.0","327768000.0","155943000.0","88409000.0","81017000.0","113394000.0","16944000.0","-13611000.0","-45835000.0","-5591000.0","-24657000.0","-23440000.0","-35685000.0","-57917000.0"
"Invested Capital","5112453000.0","4896587000.0","4904235000.0","4831015000.0","4648665000.0","4566534000.0","4310386000.0","4180991000.0","4100072000.0","3815644000.0","3750060000.0","3650117000.0","3506509000.0","3410282000.0","3388185000.0","3224008000.0","3088772000.0","2961497000.0","2823675000.0","2491849000.0","2388041000.0","2273120000.0","2239150000.0","2087086000.0","2106727000.0","1739470000.0","1926404000.0","1842081000.0","1657670000.0","1620117000.0","1328782000.0","1232694000.0","1205114000.0","1069530000.0","1022974000.0","1151679000.0","1169123000.0","1221060000.0","1095079000.0"
